TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,8449,0,165,2,X,07,2023
1,0101,39,5,1220,5333,0,463,1,X,07,2023
1,0101,40,5,1220,5656,0,264,1,X,07,2023
1,0101,72,6,1220,260414,0,8955,1,X,07,2023
1,0101,73,5,1220,2925,0,136,1,X,07,2023
1,0101,73,5,1220,3894,0,18,2,X,07,2023
1,0101,76,6,1220,11629,0,350,1,X,07,2023
1,0101,84,5,1220,28243,0,491,1,X,07,2023
1,0101,84,5,1220,28485,0,1146,2,X,07,2023
1,0101,85,5,1220,151588,0,2131,1,X,07,2023
1,0101,85,5,1220,3130,0,136,2,X,07,2023
1,0101,87,5,1220,12828,0,158,2,X,07,2023
1,0101,90,5,1220,11594,0,405,1,X,07,2023
1,0101,94,5,1220,2986,0,13,2,X,07,2023
1,0101,95,5,1220,17316,0,378,2,X,07,2023
1,0102,72,5,1220,26714,0,302,1,X,07,2023
1,0102,72,6,1220,70721,0,906,1,X,07,2023
1,0102,84,5,1220,5048,0,150,1,X,07,2023
1,0103,44,5,1220,6497,0,161,1,X,07,2023
1,0103,61,5,1220,6293,0,195,2,X,07,2023
1,0103,63,5,1220,2873,0,108,1,X,07,2023
1,0103,72,5,1220,5274,0,130,1,X,07,2023
1,0103,84,5,1220,35203,0,99,2,X,07,2023
1,0104,01,5,1220,214453,0,4113,1,X,07,2023
1,0104,05,5,1220,8159,0,237,1,X,07,2023
1,0104,08,5,1220,367067,0,7191,1,X,07,2023
1,0104,17,5,1220,3702,0,183,1,X,07,2023
1,0104,21,5,1220,46642,0,46,1,X,07,2023
1,0104,25,5,1220,5088,0,99,1,X,07,2023
1,0104,28,5,1220,26437,0,3406,1,X,07,2023
1,0104,31,5,1220,51682,0,6489,1,X,07,2023
1,0104,34,5,1220,2757,0,53,1,X,07,2023
1,0104,38,5,1220,44346,0,1011,1,X,07,2023
1,0104,39,5,1220,4709,0,160,1,X,07,2023
1,0104,40,5,1220,33005,0,438,1,X,07,2023
1,0104,40,5,1220,6149,0,140,2,X,07,2023
1,0104,44,5,1220,5458230,0,170299,1,X,07,2023
1,0104,44,5,1220,209307,0,2883,2,X,07,2023
1,0104,44,6,1220,524856,0,13620,1,X,07,2023
1,0104,47,5,1220,848774,0,34118,1,X,07,2023
1,0104,48,5,1220,4902713,0,350409,1,X,07,2023
1,0104,48,5,1220,114385,0,1835,2,X,07,2023
1,0104,48,6,1220,358273,0,3617,1,X,07,2023
1,0104,49,5,1220,3544,0,102,1,X,07,2023
1,0104,54,5,1220,416016,0,1456,1,X,07,2023
1,0104,55,5,1220,658926,0,2905,1,X,07,2023
