TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,8939,0,175,2,X,06,2023
1,0101,33,5,1220,7570,0,59,2,X,06,2023
1,0101,39,5,1220,11282,0,74,1,X,06,2023
1,0101,42,5,1220,19015,0,232,2,X,06,2023
1,0101,72,6,1220,242872,0,5567,1,X,06,2023
1,0101,73,5,1220,5162,0,135,2,X,06,2023
1,0101,84,5,1220,13783,0,393,1,X,06,2023
1,0101,84,5,1220,6888,0,95,2,X,06,2023
1,0101,85,5,1220,6495,0,270,1,X,06,2023
1,0101,85,5,1220,21788,0,452,2,X,06,2023
1,0101,88,5,1220,2907,0,16,1,X,06,2023
1,0101,89,8,1220,109010,0,1079,2,X,06,2023
1,0101,90,5,1220,6227,0,135,1,X,06,2023
1,0101,90,5,1220,4010,0,106,2,X,06,2023
1,0102,38,5,1220,32381,0,29,1,X,06,2023
1,0102,39,5,1220,4065,0,5,2,X,06,2023
1,0102,72,6,1220,96841,0,1331,1,X,06,2023
1,0102,76,6,1220,12576,0,173,1,X,06,2023
1,0102,84,5,1220,6869,0,7,1,X,06,2023
1,0102,84,5,1220,26626,0,29,2,X,06,2023
1,0102,85,5,1220,4443,0,3,2,X,06,2023
1,0102,87,5,1220,42981,0,425,1,X,06,2023
1,0102,89,8,1220,200433,0,1984,1,X,06,2023
1,0102,90,5,1220,197887,0,186,1,X,06,2023
1,0102,90,5,1220,395025,0,371,2,X,06,2023
1,0103,03,5,1220,448713,0,8669,1,X,06,2023
1,0103,05,5,1220,18981,0,647,1,X,06,2023
1,0103,61,5,1220,3961,0,123,2,X,06,2023
1,0104,01,5,1220,233487,0,4508,1,X,06,2023
1,0104,10,6,1220,36457,0,715,1,X,06,2023
1,0104,17,5,1220,2144083,0,101142,1,X,06,2023
1,0104,25,5,1220,40666,0,795,1,X,06,2023
1,0104,27,5,1220,43938,0,627,1,X,06,2023
1,0104,31,5,1220,26129,0,3280,1,X,06,2023
1,0104,32,5,1220,7927,0,155,1,X,06,2023
1,0104,32,5,1220,11556,0,268,2,X,06,2023
1,0104,38,5,1220,54647,0,1589,1,X,06,2023
1,0104,39,5,1220,12850,0,252,1,X,06,2023
1,0104,39,5,1220,27105,0,922,2,X,06,2023
1,0104,40,5,1220,2800,0,54,1,X,06,2023
1,0104,44,5,1220,4404480,0,119324,1,X,06,2023
1,0104,44,5,1220,53529,0,529,2,X,06,2023
1,0104,47,5,1220,1110027,0,39005,1,X,06,2023
1,0104,48,5,1220,5672251,0,414891,1,X,06,2023
1,0104,48,6,1220,677378,0,6724,1,X,06,2023
1,0104,49,5,1220,4433,0,129,1,X,06,2023
1,0104,54,5,1220,396664,0,987,1,X,06,2023
1,0104,54,5,1220,8817,0,91,2,X,06,2023
1,0104,55,5,1220,635134,0,3240,1,X,06,2023
1,0104,56,5,1220,147963,0,1117,1,X,06,2023
1,0104,68,5,1220,527778,0,24728,1,X,06,2023
1,0104,69,5,1220,14649,0,426,1,X,06,2023
