TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,TM,,2010,6206,0,0,1,0,03,2023
1,AK,03,3,,XC,1220,27785,3454,544,1,X,03,2023
1,AK,03,5,,XC,1220,901319,0,18416,1,X,03,2023
1,AK,15,5,,XC,1220,532855,0,4670,1,X,03,2023
1,AK,15,5,,XM,1220,92336,0,0,1,X,03,2023
1,AK,19,5,,XC,1220,4841,0,95,1,X,03,2023
1,AK,20,5,CO,,2010,72721,0,0,2,0,03,2023
1,AK,22,5,,XA,1220,3389,0,13,1,X,03,2023
1,AK,23,5,,XC,1220,852658,0,5527,1,X,03,2023
1,AK,23,5,,XO,1220,35344,0,1362,1,X,03,2023
1,AK,27,5,,XC,1220,7486530,0,80433,1,X,03,2023
1,AK,27,5,MO,,2010,3036,0,0,1,0,03,2023
1,AK,28,5,GT,,2010,6699,0,0,1,0,03,2023
1,AK,28,5,GT,,2010,3066,0,0,2,0,03,2023
1,AK,29,5,SL,,2010,5285,0,0,1,0,03,2023
1,AK,30,5,MX,,2010,37461,0,0,1,0,03,2023
1,AK,34,5,TM,,2010,4176,0,0,1,0,03,2023
1,AK,38,5,MX,,2010,3282,0,0,1,0,03,2023
1,AK,38,5,TM,,2010,33495,0,0,2,0,03,2023
1,AK,39,3,,XO,1220,4102,42,73,1,X,03,2023
1,AK,39,5,,XC,1220,8873,0,181,1,X,03,2023
1,AK,39,5,,XY,1220,9343,0,95,2,X,03,2023
1,AK,39,5,GT,,2010,33356,0,0,1,0,03,2023
1,AK,39,5,JA,,2010,4319,0,0,1,0,03,2023
1,AK,39,5,NL,,2010,26344,0,0,1,0,03,2023
1,AK,39,5,NL,,2010,5355,0,0,2,0,03,2023
1,AK,39,5,PU,,2010,2600,0,0,1,0,03,2023
1,AK,40,3,,XY,1220,10644,1575,135,1,X,03,2023
1,AK,40,5,MX,,2010,33250,0,0,2,0,03,2023
1,AK,56,3,,XQ,1220,6097,119,56,1,X,03,2023
1,AK,56,5,NL,,2010,4390,0,0,2,0,03,2023
1,AK,63,3,,XC,1220,3020,68,73,1,X,03,2023
1,AK,63,3,,XM,1220,5924,129,146,1,X,03,2023
1,AK,63,3,,XO,1220,9622,857,395,1,X,03,2023
1,AK,63,3,,XQ,1220,3097,9,77,1,X,03,2023
1,AK,63,5,,XO,1220,16069,0,608,1,X,03,2023
1,AK,72,5,HG,,2010,8480,0,0,1,0,03,2023
1,AK,73,5,CM,,2010,3422,0,0,1,0,03,2023
1,AK,73,5,NL,,2010,21480,0,0,1,0,03,2023
1,AK,73,5,NL,,2010,9184,0,0,2,0,03,2023
1,AK,73,5,SL,,2010,23468,0,0,1,0,03,2023
1,AK,76,3,,XY,1220,5072,167,20,1,X,03,2023
1,AK,76,5,NL,,2010,108199,0,0,1,0,03,2023
1,AK,76,5,NL,,2010,8515,0,0,2,0,03,2023
1,AK,76,6,MX,,2010,261671,0,0,2,0,03,2023
1,AK,81,3,,XA,1220,35404,286,73,2,X,03,2023
1,AK,82,5,CH,,2010,54231,0,0,1,0,03,2023
1,AK,83,3,,XC,1220,2535,99,35,1,X,03,2023
1,AK,83,5,MX,,2010,2703,0,0,1,0,03,2023
1,AK,84,3,,XC,1220,2664,10,52,2,X,03,2023
1,AK,84,3,,XO,1220,2591,24,77,1,X,03,2023
1,AK,84,3,,XO,1220,20737,74,72,2,X,03,2023
1,AK,84,3,,XQ,1220,54322,111,73,1,X,03,2023
1,AK,84,3,,XQ,1220,12809,23,519,2,X,03,2023
1,AK,84,3,,XY,1220,11500,97,62,1,X,03,2023
1,AK,84,5,,XA,1220,654231,0,13181,1,X,03,2023
1,AK,84,5,,XA,1220,17094,0,335,2,X,03,2023
1,AK,84,5,,XC,1220,75715,0,3295,1,X,03,2023
1,AK,84,5,,XM,1220,2780,0,54,1,X,03,2023
1,AK,84,5,,XS,1220,25076,0,491,1,X,03,2023
1,AK,84,5,,XY,1220,2276124,0,4250,1,X,03,2023
1,AK,84,5,CM,,2010,6804,0,0,1,0,03,2023
1,AK,84,5,CO,,2010,19472,0,0,1,0,03,2023
1,AK,84,5,NL,,2010,16449,0,0,2,0,03,2023
1,AK,84,5,SI,,2010,9233,0,0,2,0,03,2023
1,AK,84,5,SL,,2010,47185,0,0,1,0,03,2023
1,AK,84,6,MX,,2010,9319,0,0,1,0,03,2023
1,AK,85,3,,XA,1220,16365,346,146,1,X,03,2023
1,AK,85,3,,XQ,1220,4769,3,34,1,X,03,2023
1,AK,85,3,,XY,1220,58171,875,232,1,X,03,2023
1,AK,85,5,,XM,1220,16496,0,511,1,X,03,2023
1,AK,85,5,NL,,2010,79310,0,0,2,0,03,2023
1,AK,86,5,CM,,2010,47596,0,0,2,0,03,2023
1,AK,87,3,,XQ,1220,3389,100,150,1,X,03,2023
1,AK,87,5,,XC,1220,29800,0,584,1,X,03,2023
1,AK,87,5,,XY,1220,14371,0,282,1,X,03,2023
1,AK,87,5,CH,,2010,10550,0,0,1,0,03,2023
1,AK,87,5,GT,,2010,932216,0,0,1,0,03,2023
1,AK,87,5,NL,,2010,40635,0,0,1,0,03,2023
1,AK,87,5,NL,,2010,4554,0,0,2,0,03,2023
1,AK,87,8,TM,,2010,3619,0,0,1,X,03,2023
1,AK,88,3,,XA,1220,15574,103,226,1,X,03,2023
1,AK,88,3,,XC,1220,122990,173,10449,1,X,03,2023
1,AK,88,3,,XC,1220,3094,15,87,2,X,03,2023
1,AK,88,3,,XM,1220,5793,42,73,1,X,03,2023
1,AK,88,3,,XO,1220,14020,201,143,1,X,03,2023
1,AK,88,3,,XO,1220,2563,1,76,2,X,03,2023
1,AK,88,3,,XQ,1220,14620,6,132,1,X,03,2023
1,AK,88,3,,XY,1220,72997,52,317,1,X,03,2023
1,AK,88,5,,XA,1220,19627,0,284,1,X,03,2023
1,AK,88,5,,XC,1220,20314,0,398,1,X,03,2023
1,AK,88,5,,XM,1220,31971,0,790,1,X,03,2023
1,AK,88,5,,XO,1220,12910,0,252,1,X,03,2023
1,AK,88,5,,XY,1220,31351,0,310,1,X,03,2023
1,AK,88,5,,XY,1220,80941,0,2411,2,X,03,2023
1,AK,90,3,,XA,1220,6240,2,219,2,X,03,2023
1,AK,90,3,,XC,1220,4969,12,438,1,X,03,2023
1,AK,90,3,,XO,1220,26852,9,526,1,X,03,2023
1,AK,90,3,,XO,1220,30277,18,593,2,X,03,2023
1,AK,90,3,,XQ,1220,39201,145,0,1,X,03,2023
1,AK,90,5,,XY,1220,49480,0,489,2,X,03,2023
1,AK,90,5,MX,,2010,10007,0,0,1,0,03,2023
1,AK,90,5,NL,,2010,55265,0,0,2,0,03,2023
1,AK,94,5,,XC,1220,9174,0,179,1,X,03,2023
1,AK,98,3,,XA,1220,5118,14,73,2,X,03,2023
1,AK,98,5,,XC,1220,11141,0,393,1,X,03,2023
1,AK,98,8,,XA,1220,4968,0,106,1,X,03,2023
1,AK,98,8,,XA,1220,1008,0,20,2,X,03,2023
1,AK,98,8,,XC,1220,1865,0,168,1,X,03,2023
1,AK,98,8,,XO,1220,303,0,5,1,X,03,2023
1,AK,98,8,,XY,1220,33,0,0,1,X,03,2023
1,AL,01,3,,XA,1220,24466,70,488,1,X,03,2023
1,AL,01,3,XX,,2010,778485,1042,0,1,0,03,2023
1,AL,01,5,,XO,1220,13162,0,73,2,X,03,2023
1,AL,02,5,,XO,1220,330447,0,2702,1,X,03,2023
1,AL,02,5,GT,,2010,102295,0,0,1,0,03,2023
1,AL,02,5,MX,,2010,73808,0,0,1,0,03,2023
1,AL,02,5,NL,,2010,21800,0,0,1,1,03,2023
1,AL,02,5,YU,,2010,118016,0,0,1,0,03,2023
1,AL,02,5,YU,,2010,35139,0,0,1,1,03,2023
1,AL,03,5,,XO,1220,12645,0,271,1,X,03,2023
