TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,27,5,1220,3525,0,344,1,X,03,2023
1,0101,38,5,1220,159957,0,365,1,X,03,2023
1,0101,49,5,1220,7323,0,143,2,X,03,2023
1,0101,62,5,1220,3416,0,13,2,X,03,2023
1,0101,72,6,1220,57623,0,1821,1,X,03,2023
1,0101,73,5,1220,59072,0,1158,1,X,03,2023
1,0101,73,6,1220,13072,0,621,1,X,03,2023
1,0101,74,5,1220,13577,0,139,2,X,03,2023
1,0101,76,6,1220,23796,0,516,1,X,03,2023
1,0101,84,5,1220,38428,0,516,1,X,03,2023
1,0101,84,5,1220,18270,0,284,2,X,03,2023
1,0101,85,5,1220,34793,0,592,1,X,03,2023
1,0101,85,5,1220,71840,0,315,2,X,03,2023
1,0101,87,5,1220,9089,0,121,2,X,03,2023
1,0101,90,5,1220,46131,0,682,1,X,03,2023
1,0101,94,5,1220,19462,0,1289,2,X,03,2023
1,0101,95,5,1220,2630,0,7,2,X,03,2023
1,0103,05,5,1220,7246,0,247,1,X,03,2023
1,0103,15,6,1220,119379,0,146,1,X,03,2023
1,0103,40,5,1220,3079,0,67,1,X,03,2023
1,0103,72,5,1220,4875,0,121,1,X,03,2023
1,0103,73,5,1220,34763,0,1344,1,X,03,2023
1,0103,85,5,1220,14342,0,211,1,X,03,2023
1,0104,01,5,1220,170974,0,3270,1,X,03,2023
1,0104,08,5,1220,117505,0,2301,2,X,03,2023
1,0104,10,6,1220,74201,0,734,1,X,03,2023
1,0104,11,5,1220,3677,0,72,1,X,03,2023
1,0104,17,5,1220,14227,0,707,1,X,03,2023
1,0104,19,5,1220,287375,0,17639,1,X,03,2023
1,0104,28,5,1220,28153,0,3288,1,X,03,2023
1,0104,29,5,1220,37759,0,2529,1,X,03,2023
1,0104,31,5,1220,46794,0,5540,1,X,03,2023
1,0104,33,5,1220,5650,0,164,1,X,03,2023
1,0104,35,5,1220,2837,0,141,2,X,03,2023
1,0104,38,5,1220,105470,0,3854,1,X,03,2023
1,0104,39,5,1220,103381,0,3211,1,X,03,2023
1,0104,39,5,1220,14577,0,496,2,X,03,2023
1,0104,40,5,1220,18059,0,483,1,X,03,2023
1,0104,44,5,1220,14863871,0,436215,1,X,03,2023
1,0104,44,5,1220,76262,0,2730,2,X,03,2023
1,0104,44,6,1220,46628,0,1169,1,X,03,2023
1,0104,47,5,1220,657878,0,20564,1,X,03,2023
1,0104,48,5,1220,7943359,0,627054,1,X,03,2023
1,0104,48,6,1220,558930,0,5609,1,X,03,2023
1,0104,49,5,1220,21657,0,629,1,X,03,2023
1,0104,54,5,1220,423313,0,1860,1,X,03,2023
1,0104,55,5,1220,615481,0,3341,1,X,03,2023
1,0104,59,5,1220,27172,0,532,1,X,03,2023
1,0104,64,5,1220,4538,0,89,2,X,03,2023
1,0104,68,5,1220,524893,0,24067,1,X,03,2023
1,0104,69,5,1220,21674,0,630,1,X,03,2023
1,0104,72,5,1220,19087,0,500,1,X,03,2023
1,0104,73,5,1220,36139,0,910,1,X,03,2023
1,0104,73,6,1220,94598,0,73,1,X,03,2023
1,0104,74,5,1220,144843,0,1002,1,X,03,2023
1,0104,75,5,1220,8385,0,53,1,X,03,2023
1,0104,76,5,1220,260802,0,18422,1,X,03,2023
1,0104,82,5,1220,17721,0,346,1,X,03,2023
1,0104,83,5,1220,4521,0,131,1,X,03,2023
1,0104,83,5,1220,6466,0,188,2,X,03,2023
1,0104,84,5,1220,247305,0,4544,1,X,03,2023
1,0104,84,5,1220,96656,0,3102,2,X,03,2023
1,0104,85,5,1220,23629,0,462,1,X,03,2023
