TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,09XX,3,,XC,1220,37034,87,725,1,X,11,2023
1,AK,20XX,3,,XA,1220,65178,479,1225,1,X,11,2023
1,AK,20XX,3,,XA,1220,29689,142,584,2,X,11,2023
1,AK,20XX,3,,XC,1220,128179,1852,2300,1,X,11,2023
1,AK,20XX,3,,XC,1220,27935,19,216,2,X,11,2023
1,AK,20XX,3,,XO,1220,371127,865,144,1,X,11,2023
1,AK,2303,5,CO,,2010,4839,0,0,2,0,11,2023
1,AK,2303,6,MX,,2010,46179,0,0,1,0,11,2023
1,AK,2304,5,CM,,2010,14956,0,0,1,0,11,2023
1,AK,2304,5,CM,,2010,188691,0,0,2,0,11,2023
1,AK,2304,5,CO,,2010,12548,0,0,1,0,11,2023
1,AK,2304,5,CO,,2010,11211,0,0,2,0,11,2023
1,AK,2304,5,DG,,2010,12230,0,0,2,0,11,2023
1,AK,2304,5,GT,,2010,260473,0,0,1,0,11,2023
1,AK,2304,5,JA,,2010,45541,0,0,1,0,11,2023
1,AK,2304,5,MX,,2010,56801,0,0,1,0,11,2023
1,AK,2304,5,MX,,2010,13466,0,0,2,0,11,2023
1,AK,2304,5,NL,,2010,325946,0,0,1,0,11,2023
1,AK,2304,5,NL,,2010,450192,0,0,2,0,11,2023
1,AK,2304,5,PU,,2010,7132,0,0,2,0,11,2023
1,AK,2304,5,SL,,2010,28441,0,0,1,0,11,2023
1,AK,2304,5,TM,,2010,31907,0,0,1,0,11,2023
1,AK,2304,8,NL,,2010,9900,0,0,1,X,11,2023
1,AK,2305,5,CO,,2010,106121,0,0,1,0,11,2023
1,AK,2305,5,JA,,2010,43448,0,0,2,0,11,2023
1,AK,2305,5,NL,,2010,5313,0,0,2,0,11,2023
1,AK,2305,5,TM,,2010,16335,0,0,1,0,11,2023
1,AK,2309,5,TM,,2010,65778,0,0,1,0,11,2023
