TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,XX,,2010,52800,24500,0,1,1,11,2023
1,AK,03,5,,XC,1220,214117,0,3445,1,X,11,2023
1,AK,03,5,,XY,1220,125327,0,1718,1,X,11,2023
1,AK,04,5,,XA,1220,3656,0,71,1,X,11,2023
1,AK,05,5,,XC,1220,65212,0,859,1,X,11,2023
1,AK,05,5,,XO,1220,55729,0,551,1,X,11,2023
1,AK,08,5,JA,,2010,43448,0,0,2,0,11,2023
1,AK,12,5,MX,,2010,41052,0,0,1,0,11,2023
1,AK,12,5,TM,,2010,65778,0,0,1,0,11,2023
1,AK,15,5,,XC,1220,1041813,0,6372,1,X,11,2023
1,AK,16,5,,XC,1220,6225325,0,74430,1,X,11,2023
1,AK,22,5,MX,,2010,3522,0,0,1,0,11,2023
1,AK,23,5,,XC,1220,576644,0,4533,1,X,11,2023
1,AK,26,1,,XC,1220,59738032,39948471,145907,1,X,11,2023
1,AK,26,3,,XC,1220,4047,1,72,1,X,11,2023
1,AK,27,5,,XC,1220,6064100,0,62136,1,X,11,2023
1,AK,33,5,CO,,2010,86250,0,0,1,0,11,2023
1,AK,38,5,TM,,2010,8415,0,0,1,0,11,2023
1,AK,39,5,,XC,1220,2857,0,62,1,X,11,2023
1,AK,39,5,CO,,2010,12548,0,0,1,0,11,2023
1,AK,39,5,NL,,2010,39537,0,0,1,0,11,2023
1,AK,39,5,TM,,2010,39827,0,0,1,0,11,2023
1,AK,40,5,CM,,2010,4388,0,0,2,0,11,2023
1,AK,44,1,,XC,1220,95652,1594506,946,1,X,11,2023
1,AK,47,6,MX,,2010,46179,0,0,1,0,11,2023
1,AK,48,5,,XC,1220,16356,0,145,1,X,11,2023
1,AK,48,5,JA,,2010,19491,0,0,1,0,11,2023
1,AK,48,5,MX,,2010,13466,0,0,2,0,11,2023
1,AK,56,5,NL,,2010,397080,0,0,2,0,11,2023
1,AK,61,5,,XO,1220,6143,0,120,1,X,11,2023
1,AK,63,3,,XC,1220,5588,210,64,1,X,11,2023
1,AK,68,5,NL,,2010,8037,0,0,1,0,11,2023
1,AK,70,3,,XA,1220,3854,54,115,1,X,11,2023
1,AK,72,5,DG,,2010,12230,0,0,2,0,11,2023
1,AK,72,5,NL,,2010,23562,0,0,1,0,11,2023
1,AK,73,3,,XC,1220,7970,656,185,1,X,11,2023
1,AK,73,5,,XC,1220,7715,0,151,2,X,11,2023
1,AK,73,5,SL,,2010,11142,0,0,1,0,11,2023
1,AK,76,3,,XC,1220,7353,24,156,1,X,11,2023
1,AK,76,5,NL,,2010,106001,0,0,1,0,11,2023
1,AK,82,5,,XY,1220,11041,0,216,1,X,11,2023
1,AK,82,5,NL,,2010,4694,0,0,2,0,11,2023
1,AK,83,5,JA,,2010,26050,0,0,1,0,11,2023
1,AK,83,5,PU,,2010,7132,0,0,2,0,11,2023
1,AK,84,3,,XA,1220,18254,319,363,1,X,11,2023
1,AK,84,3,,XC,1220,40396,95,792,1,X,11,2023
1,AK,84,3,,XO,1220,12733,15,249,1,X,11,2023
1,AK,84,5,,XC,1220,103921,0,1027,1,X,11,2023
1,AK,84,5,,XC,1220,463250,0,4585,2,X,11,2023
1,AK,84,5,,XY,1220,1588730,0,27391,1,X,11,2023
1,AK,84,5,,XY,1220,90521,0,1817,2,X,11,2023
1,AK,84,5,CM,,2010,14956,0,0,1,0,11,2023
1,AK,84,5,CM,,2010,60974,0,0,2,0,11,2023
1,AK,84,5,MX,,2010,12227,0,0,1,0,11,2023
1,AK,84,5,NL,,2010,82084,0,0,1,0,11,2023
1,AK,84,5,NL,,2010,41688,0,0,2,0,11,2023
1,AK,84,5,SL,,2010,17299,0,0,1,0,11,2023
1,AK,84,5,SO,,2010,2676,0,0,1,1,11,2023
1,AK,85,3,,XA,1220,2599,2,72,1,X,11,2023
1,AK,85,3,,XA,1220,29689,142,584,2,X,11,2023
1,AK,85,3,,XC,1220,2859,5,54,1,X,11,2023
1,AK,85,3,,XQ,1220,3130,1,99,2,X,11,2023
1,AK,85,5,,XA,1220,6568,0,129,1,X,11,2023
1,AK,85,5,,XC,1220,13697,0,268,1,X,11,2023
1,AK,85,5,,XY,1220,56344,0,468,2,X,11,2023
1,AK,85,5,CO,,2010,19871,0,0,1,0,11,2023
1,AK,85,5,CO,,2010,16050,0,0,2,0,11,2023
1,AK,85,5,NL,,2010,13659,0,0,1,0,11,2023
1,AK,85,5,NL,,2010,12043,0,0,2,0,11,2023
1,AK,86,5,CM,,2010,123329,0,0,2,0,11,2023
1,AK,87,5,GT,,2010,260473,0,0,1,0,11,2023
1,AK,87,5,NL,,2010,53066,0,0,1,0,11,2023
1,AK,87,8,CH,,2010,13836,0,0,1,X,11,2023
1,AK,87,8,NL,,2010,9900,0,0,1,X,11,2023
1,AK,88,3,,XA,1220,50896,164,919,1,X,11,2023
1,AK,88,3,,XC,1220,100753,937,1769,1,X,11,2023
1,AK,88,3,,XC,1220,27935,19,216,2,X,11,2023
1,AK,88,3,,XO,1220,371127,865,144,1,X,11,2023
1,AK,88,5,,XC,1220,10324,0,202,1,X,11,2023
1,AK,88,5,,XC,1220,24521,0,609,2,X,11,2023
1,AK,88,5,,XO,1220,10591,0,109,1,X,11,2023
1,AK,88,5,,XY,1220,69904,0,4366,1,X,11,2023
1,AK,90,3,,XA,1220,3757,1,127,1,X,11,2023
1,AK,90,3,,XC,1220,3632,14,72,1,X,11,2023
1,AK,90,5,,XO,1220,3554,0,13,1,X,11,2023
1,AK,90,5,,XY,1220,227824,0,573,2,X,11,2023
1,AK,95,5,,XY,1220,22095,0,433,1,X,11,2023
1,AK,98,5,,XC,1220,10738,0,377,1,X,11,2023
1,AK,98,8,,XA,1220,1449,0,26,1,X,11,2023
1,AK,98,8,,XA,1220,149,0,4,2,X,11,2023
1,AK,98,8,,XC,1220,5456,0,125,1,X,11,2023
1,AK,98,8,,XQ,1220,4672,0,180,1,X,11,2023
1,AL,01,3,XX,,2010,910870,1232,0,1,0,11,2023
1,AL,01,5,,XA,1220,247317,0,247,1,X,11,2023
1,AL,01,5,,XM,1220,11307,0,364,1,X,11,2023
1,AL,01,5,,XO,1220,4251,0,202,1,X,11,2023
1,AL,01,5,PU,,2010,5440,0,0,1,0,11,2023
1,AL,02,5,,XO,1220,513762,0,6562,1,X,11,2023
1,AL,02,5,NL,,2010,52000,0,0,1,1,11,2023
1,AL,04,5,,XC,1220,337072,0,728,1,X,11,2023
1,AL,04,5,,XM,1220,328480,0,1995,1,X,11,2023
1,AL,04,5,QT,,2010,469000,0,0,1,0,11,2023
1,AL,05,5,,XM,1220,2669,0,62,1,X,11,2023
1,AL,05,5,,XO,1220,31174,0,2004,1,X,11,2023
1,AL,07,5,,XA,1220,80875,0,3282,1,X,11,2023
