TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,38,5,1220,3200,0,55,1,X,11,2023
1,0101,72,6,1220,91212,0,3245,1,X,11,2023
1,0101,73,5,1220,5682,0,87,2,X,11,2023
1,0101,73,6,1220,52880,0,1386,1,X,11,2023
1,0101,84,5,1220,5867,0,193,1,X,11,2023
1,0101,85,5,1220,9937,0,84,2,X,11,2023
1,0101,90,5,1220,6374,0,171,1,X,11,2023
1,0101,90,5,1220,14273,0,147,2,X,11,2023
1,0102,73,5,1220,4677,0,189,1,X,11,2023
1,0102,98,8,1220,81496,0,806,1,X,11,2023
1,0103,05,5,1220,159047,0,5414,1,X,11,2023
1,0103,14,5,1220,11474,0,617,2,X,11,2023
1,0103,73,5,1220,9475,0,384,1,X,11,2023
1,0104,01,5,1220,1109751,0,7992,1,X,11,2023
1,0104,03,5,1220,255605,0,4112,2,X,11,2023
1,0104,17,5,1220,111081,0,765,1,X,11,2023
1,0104,19,5,1220,41461,0,3290,1,X,11,2023
1,0104,21,5,1220,212750,0,211,1,X,11,2023
1,0104,25,5,1220,38577,0,752,1,X,11,2023
1,0104,28,5,1220,29022,0,3282,1,X,11,2023
1,0104,31,5,1220,54069,0,3811,1,X,11,2023
1,0104,35,5,1220,2786,0,138,1,X,11,2023
1,0104,37,5,1220,4460,0,164,2,X,11,2023
1,0104,38,5,1220,22243,0,534,1,X,11,2023
1,0104,39,5,1220,18424,0,359,1,X,11,2023
1,0104,39,5,1220,2627,0,89,2,X,11,2023
1,0104,40,5,1220,4526,0,97,2,X,11,2023
1,0104,41,5,1220,8754,0,171,1,X,11,2023
1,0104,44,5,1220,7861237,0,219619,1,X,11,2023
1,0104,44,5,1220,46914,0,464,2,X,11,2023
1,0104,47,5,1220,356778,0,7824,1,X,11,2023
1,0104,48,5,1220,7795092,0,448001,1,X,11,2023
1,0104,49,5,1220,20928,0,410,1,X,11,2023
1,0104,49,5,1220,17615,0,345,2,X,11,2023
1,0104,54,5,1220,319755,0,1648,1,X,11,2023
1,0104,55,5,1220,415684,0,2916,1,X,11,2023
1,0104,55,5,1220,2744,0,26,2,X,11,2023
1,0104,56,5,1220,3426,0,9,1,X,11,2023
1,0104,59,5,1220,11002,0,215,1,X,11,2023
1,0104,63,5,1220,2987,0,8,2,X,11,2023
1,0104,68,5,1220,496726,0,23635,1,X,11,2023
1,0104,69,5,1220,14364,0,416,1,X,11,2023
1,0104,69,5,1220,2926,0,84,2,X,11,2023
1,0104,72,5,1220,45884,0,3405,1,X,11,2023
1,0104,72,6,1220,420382,0,17430,1,X,11,2023
1,0104,73,5,1220,35977,0,2467,1,X,11,2023
1,0104,73,5,1220,34124,0,2530,2,X,11,2023
1,0104,73,6,1220,26921,0,693,1,X,11,2023
1,0104,74,5,1220,132852,0,1190,1,X,11,2023
1,0104,75,5,1220,31798,0,179,1,X,11,2023
1,0104,76,5,1220,273413,0,22995,1,X,11,2023
1,0104,76,5,1220,74689,0,1036,2,X,11,2023
1,0104,78,5,1220,7434,0,113,1,X,11,2023
1,0104,82,5,1220,3761,0,73,2,X,11,2023
1,0104,84,5,1220,1020818,0,14451,1,X,11,2023
1,0104,84,5,1220,1932513,0,55125,2,X,11,2023
1,0104,85,5,1220,18750,0,1412,1,X,11,2023
1,0104,85,5,1220,5532,0,121,2,X,11,2023
1,0104,87,5,1220,1220592,0,29008,1,X,11,2023
1,0104,87,5,1220,9408,0,264,2,X,11,2023
1,0104,89,5,1220,107960,0,1592,1,X,11,2023
1,0104,90,5,1220,8435,0,210,2,X,11,2023
1,0104,95,5,1220,17562,0,412,1,X,11,2023
1,0104,95,5,1220,13229,0,232,2,X,11,2023
1,0104,98,5,1220,37286,0,809,1,X,11,2023
1,0105,23,6,1220,13416,0,638,1,X,11,2023
1,0105,25,6,1220,53907,0,432,1,X,11,2023
1,0105,25,6,1220,1377368,0,119073,2,X,11,2023
1,0105,27,6,1220,275918,0,6564,1,X,11,2023
1,0105,44,5,1220,10276,0,201,1,X,11,2023
1,0105,44,6,1220,517461,0,9792,1,X,11,2023
1,0105,48,5,1220,22716,0,445,1,X,11,2023
1,0105,54,5,1220,18781,0,890,1,X,11,2023
1,0105,54,5,1220,25053,0,962,2,X,11,2023
1,0105,73,6,1220,672897,0,432,2,X,11,2023
1,0106,01,5,1220,185138,0,3876,1,X,11,2023
1,0106,03,5,1220,6275452,0,101962,1,X,11,2023
1,0106,03,5,1220,986073,0,15390,2,X,11,2023
1,0106,04,5,1220,46863,0,729,1,X,11,2023
1,0106,05,5,1220,36636,0,718,1,X,11,2023
1,0106,05,5,1220,37964,0,3442,2,X,11,2023
1,0106,06,5,1220,34437,0,1000,1,X,11,2023
1,0106,06,5,1220,54089,0,49,2,X,11,2023
1,0106,07,5,1220,171233,0,7597,1,X,11,2023
1,0106,08,5,1220,9816,0,192,1,X,11,2023
1,0106,08,5,1220,1117994,0,21874,2,X,11,2023
1,0106,09,5,1220,11721,0,187,1,X,11,2023
1,0106,09,5,1220,17214,0,336,2,X,11,2023
1,0106,10,5,1220,117895,0,2567,1,X,11,2023
1,0106,11,5,1220,66590,0,10347,1,X,11,2023
1,0106,12,5,1220,104286,0,9864,1,X,11,2023
1,0106,12,5,1220,640902,0,601,2,X,11,2023
1,0106,15,5,1220,477458,0,6262,1,X,11,2023
1,0106,16,5,1220,27942,0,518,1,X,11,2023
1,0106,17,5,1220,2751,0,150,2,X,11,2023
1,0106,18,5,1220,133645,0,9138,1,X,11,2023
1,0106,19,5,1220,1685082,0,122513,1,X,11,2023
1,0106,20,5,1220,233567,0,15177,1,X,11,2023
1,0106,20,5,1220,236349,0,2620,2,X,11,2023
1,0106,21,5,1220,110218,0,4799,1,X,11,2023
1,0106,21,5,1220,24851,0,366,2,X,11,2023
