TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0708,5,,XQ,1220,24775,0,145,2,X,10,2023
1,AK,0712,5,,XQ,1220,14546,0,379,1,X,10,2023
1,AK,0712,5,,XQ,1220,364290,0,3607,2,X,10,2023
1,AK,0901,5,,XO,1220,18827,0,1538,1,X,10,2023
1,AK,20XX,3,,XA,1220,15656,207,339,1,X,10,2023
1,AK,20XX,3,,XA,1220,2555,17,50,2,X,10,2023
1,AK,20XX,3,,XC,1220,63750,190,1356,1,X,10,2023
1,AK,20XX,3,,XC,1220,27681,154,195,2,X,10,2023
1,AK,20XX,3,,XO,1220,16540,309,210,1,X,10,2023
1,AK,20XX,3,,XO,1220,2575,1,76,2,X,10,2023
1,AK,20XX,3,,XQ,1220,71308,98,1073,1,X,10,2023
1,AK,20XX,3,,XQ,1220,9587,4,317,2,X,10,2023
1,AK,2303,6,CO,,2010,190026,0,0,1,0,10,2023
1,AK,2304,5,CM,,2010,49414,0,0,2,0,10,2023
1,AK,2304,5,CO,,2010,48691,0,0,1,0,10,2023
1,AK,2304,5,CO,,2010,4500,0,0,2,0,10,2023
1,AK,2304,5,GT,,2010,1265268,0,0,1,0,10,2023
1,AK,2304,5,GT,,2010,67335,0,0,2,0,10,2023
1,AK,2304,5,JA,,2010,37807,0,0,1,0,10,2023
1,AK,2304,5,MI,,2010,71041,0,0,1,0,10,2023
1,AK,2304,5,MO,,2010,11270,0,0,2,0,10,2023
1,AK,2304,5,MX,,2010,41826,0,0,1,0,10,2023
1,AK,2304,5,MX,,2010,5213,0,0,1,1,10,2023
1,AK,2304,5,MX,,2010,30371,0,0,2,0,10,2023
1,AK,2304,5,NL,,2010,205307,0,0,1,0,10,2023
1,AK,2304,5,NL,,2010,511437,0,0,2,0,10,2023
1,AK,2304,5,OT,,2010,3120,0,0,1,0,10,2023
1,AK,2304,5,PU,,2010,64739,0,0,2,0,10,2023
1,AK,2304,5,SL,,2010,49766,0,0,1,0,10,2023
1,AK,2304,5,SL,,2010,39767,0,0,2,0,10,2023
1,AK,2304,6,MX,,2010,223135,0,0,1,0,10,2023
1,AK,2305,5,CO,,2010,63840,0,0,2,0,10,2023
1,AK,2305,5,JA,,2010,20495,0,0,1,0,10,2023
1,AK,2305,5,JA,,2010,85680,0,0,2,0,10,2023
1,AK,2305,5,TM,,2010,25520,0,0,1,0,10,2023
1,AK,2401,5,CH,,2010,7785,0,0,2,0,10,2023
1,AK,2408,5,CH,,2010,4050,0,0,1,0,10,2023
1,AK,3004,5,,XC,1220,18965278,0,209672,1,X,10,2023
1,AK,3009,5,,XC,1220,822412,0,5852,1,X,10,2023
1,AK,3023,5,,XC,1220,437345,0,4325,1,X,10,2023
1,AK,30XX,1,,XC,1220,176037,1251671,1742,1,X,10,2023
1,AK,30XX,3,,XC,1220,4694,17,116,1,X,10,2023
1,AK,3101,5,,XC,1220,142563,0,3116,1,X,10,2023
1,AK,3103,5,,XC,1220,8450682,0,84841,1,X,10,2023
1,AK,3103,5,,XC,1220,3432,0,82,2,X,10,2023
1,AK,3104,5,,XY,1220,486569,0,6922,1,X,10,2023
1,AK,3104,5,,XY,1220,274403,0,3089,2,X,10,2023
1,AK,3106,5,,XC,1220,974594,0,10712,1,X,10,2023
1,AK,3126,5,,XY,1220,1753887,0,24120,1,X,10,2023
1,AK,31XX,1,,XC,1220,59970778,38736132,72927,1,X,10,2023
1,AK,31XX,3,,XC,1220,9193,1,180,1,X,10,2023
1,AK,31XX,3,,XY,1220,17723,240,528,1,X,10,2023
1,AK,3302,5,,XC,1220,406011,0,4255,1,X,10,2023
1,AK,3310,5,,XA,1220,12313,0,207,1,X,10,2023
1,AK,3310,5,,XA,1220,2708,0,131,2,X,10,2023
1,AK,3401,5,,XM,1220,8976,0,892,1,X,10,2023
1,AK,34XX,3,,XM,1220,5551,20,126,1,X,10,2023
1,AK,35XX,3,,XA,1220,6621,138,418,1,X,10,2023
1,AK,3802,5,,XO,1220,90833,0,1465,1,X,10,2023
1,AK,4101,3,,XC,1220,7161,82,140,1,X,10,2023
1,AK,4101,3,,XO,1220,5899,83,114,1,X,10,2023
1,AK,5301,8,QR,,2010,21013,0,0,1,X,10,2023
1,AK,70XX,5,,XC,1220,14104,0,495,1,X,10,2023
1,AK,70XX,8,,XA,1220,171,0,4,1,X,10,2023
1,AK,70XX,8,,XC,1220,2019,0,45,1,X,10,2023
1,AK,70XX,8,,XO,1220,113,0,3,1,X,10,2023
1,AL,0106,5,,XB,1220,590212,0,14095,1,X,10,2023
1,AL,0108,5,,XB,1220,7912,0,155,1,X,10,2023
1,AL,0115,5,,XB,1220,525792,0,13232,1,X,10,2023
1,AL,0115,5,,XB,1220,68207,0,1368,2,X,10,2023
1,AL,0115,5,,XO,1220,30247,0,167,1,X,10,2023
1,AL,0212,5,,XQ,1220,23709,0,690,1,X,10,2023
1,AL,0701,5,,XO,1220,4565,0,95,1,X,10,2023
1,AL,0701,5,,XO,1220,19192,0,376,2,X,10,2023
1,AL,0708,5,,XO,1220,4935118,0,83216,1,X,10,2023
1,AL,0708,5,,XO,1220,232478,0,3844,2,X,10,2023
1,AL,0708,5,,XQ,1220,740588,0,23108,1,X,10,2023
1,AL,0708,5,,XQ,1220,179353,0,72,2,X,10,2023
1,AL,0712,5,,XA,1220,20385,0,987,1,X,10,2023
1,AL,0712,5,,XC,1220,54296,0,3180,1,X,10,2023
1,AL,0712,5,,XO,1220,701897,0,13294,1,X,10,2023
1,AL,0712,5,,XO,1220,11858,0,1293,2,X,10,2023
1,AL,0712,5,,XQ,1220,3999721,0,80053,1,X,10,2023
1,AL,0712,5,,XQ,1220,3501248,0,53620,2,X,10,2023
