TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,2465949,0,35316,1,X,10,2023
1,AK,03,5,,XY,1220,1749371,0,23975,1,X,10,2023
1,AK,05,5,,XC,1220,74518,0,691,1,X,10,2023
1,AK,08,5,JA,,2010,85680,0,0,2,0,10,2023
1,AK,15,5,,XC,1220,1271976,0,10791,1,X,10,2023
1,AK,16,5,,XC,1220,16556784,0,176438,1,X,10,2023
1,AK,16,5,,XO,1220,70759,0,1045,1,X,10,2023
1,AK,17,5,JA,,2010,37807,0,0,1,0,10,2023
1,AK,23,5,,XC,1220,381158,0,3496,1,X,10,2023
1,AK,25,5,MX,,2010,5213,0,0,1,1,10,2023
1,AK,26,1,,XC,1220,59970778,38736132,72927,1,X,10,2023
1,AK,27,5,,XC,1220,9304128,0,93107,1,X,10,2023
1,AK,28,5,GT,,2010,318539,0,0,1,0,10,2023
1,AK,28,5,TM,,2010,25520,0,0,1,0,10,2023
1,AK,29,5,MX,,2010,29390,0,0,1,0,10,2023
1,AK,32,5,,XC,1220,2680,0,94,1,X,10,2023
1,AK,33,5,CO,,2010,63840,0,0,2,0,10,2023
1,AK,34,5,NL,,2010,5937,0,0,1,0,10,2023
1,AK,38,5,,XC,1220,20810,0,408,1,X,10,2023
1,AK,39,5,,XC,1220,6599,0,257,1,X,10,2023
1,AK,39,5,,XO,1220,14115,0,1458,1,X,10,2023
1,AK,39,5,CM,,2010,14101,0,0,2,0,10,2023
1,AK,39,5,CO,,2010,45770,0,0,1,0,10,2023
1,AK,39,5,CO,,2010,4500,0,0,2,0,10,2023
1,AK,39,5,GT,,2010,44538,0,0,1,0,10,2023
1,AK,39,5,JA,,2010,20495,0,0,1,0,10,2023
1,AK,39,5,MX,,2010,30371,0,0,2,0,10,2023
1,AK,39,5,NL,,2010,110945,0,0,1,0,10,2023
1,AK,39,6,MX,,2010,223135,0,0,1,0,10,2023
1,AK,40,5,,XY,1220,10613,0,134,2,X,10,2023
1,AK,42,3,,XC,1220,8456,113,411,1,X,10,2023
1,AK,44,1,,XC,1220,164608,1197240,1629,1,X,10,2023
