TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,39,5,1220,7819,0,131,1,X,10,2023
1,0101,39,5,1220,6982,0,378,2,X,10,2023
1,0101,63,5,1220,8182,0,166,1,X,10,2023
1,0101,68,5,1220,8061,0,366,1,X,10,2023
1,0101,72,6,1220,175633,0,5025,1,X,10,2023
1,0101,73,5,1220,3272,0,86,2,X,10,2023
1,0101,73,6,1220,25542,0,692,1,X,10,2023
1,0101,84,5,1220,7686,0,34,2,X,10,2023
1,0101,85,5,1220,552427,0,571,2,X,10,2023
1,0101,90,5,1220,13003,0,364,1,X,10,2023
1,0101,94,5,1220,5700,0,143,2,X,10,2023
1,0101,95,5,1220,136010,0,2680,1,X,10,2023
1,0102,72,5,1220,18095,0,364,1,X,10,2023
1,0102,72,6,1220,273703,0,4147,1,X,10,2023
1,0103,05,5,1220,44571,0,1181,1,X,10,2023
1,0103,39,5,1220,2672,0,91,1,X,10,2023
1,0103,40,5,1220,10848,0,237,1,X,10,2023
1,0103,72,5,1220,2668,0,66,1,X,10,2023
1,0103,73,5,1220,13596,0,550,1,X,10,2023
1,0103,84,5,1220,22358,0,536,1,X,10,2023
1,0103,85,5,1220,5806,0,114,1,X,10,2023
1,0104,01,5,1220,198804,0,3800,1,X,10,2023
1,0104,16,5,1220,3930,0,16,1,X,10,2023
1,0104,17,5,1220,133776,0,2323,1,X,10,2023
1,0104,19,5,1220,320495,0,29849,1,X,10,2023
1,0104,21,5,1220,113835,0,623,1,X,10,2023
1,0104,28,5,1220,26502,0,790,1,X,10,2023
1,0104,29,5,1220,3811,0,94,2,X,10,2023
1,0104,31,5,1220,25839,0,3244,1,X,10,2023
1,0104,31,5,1220,8701,0,170,2,X,10,2023
1,0104,32,5,1220,6673,0,130,1,X,10,2023
1,0104,32,5,1220,6104,0,213,2,X,10,2023
1,0104,33,5,1220,2775,0,82,2,X,10,2023
1,0104,35,5,1220,2803,0,139,1,X,10,2023
1,0104,38,5,1220,78210,0,1579,1,X,10,2023
1,0104,39,5,1220,79411,0,1542,1,X,10,2023
1,0104,39,5,1220,41790,0,1422,2,X,10,2023
1,0104,40,5,1220,45744,0,753,1,X,10,2023
1,0104,44,5,1220,8303646,0,237663,1,X,10,2023
1,0104,44,5,1220,121386,0,1397,2,X,10,2023
1,0104,47,5,1220,312516,0,7252,1,X,10,2023
1,0104,47,6,1220,309538,0,22805,1,X,10,2023
1,0104,48,5,1220,10120240,0,643643,1,X,10,2023
1,0104,48,5,1220,4565,0,209,2,X,10,2023
1,0104,49,5,1220,5528,0,108,1,X,10,2023
1,0104,54,5,1220,422547,0,1355,1,X,10,2023
1,0104,55,5,1220,537775,0,2118,1,X,10,2023
1,0104,55,5,1220,12404,0,122,2,X,10,2023
1,0104,56,5,1220,5820,0,53,1,X,10,2023
1,0104,56,5,1220,14175,0,140,2,X,10,2023
1,0104,59,5,1220,28846,0,565,1,X,10,2023
1,0104,64,5,1220,19278,0,2552,2,X,10,2023
1,0104,68,5,1220,455537,0,24478,1,X,10,2023
1,0104,69,5,1220,5792,0,168,1,X,10,2023
1,0104,71,5,1220,50496,0,500,1,X,10,2023
1,0104,72,5,1220,391513,0,7962,1,X,10,2023
1,0104,72,6,1220,186638,0,4629,1,X,10,2023
1,0104,73,5,1220,25299,0,87,1,X,10,2023
1,0104,73,5,1220,11654,0,234,2,X,10,2023
1,0104,74,5,1220,193417,0,1722,1,X,10,2023
1,0104,76,5,1220,313061,0,23259,1,X,10,2023
1,0104,76,6,1220,26225,0,323,1,X,10,2023
1,0104,78,5,1220,19493,0,258,1,X,10,2023
1,0104,82,5,1220,8340,0,251,2,X,10,2023
1,0104,84,5,1220,2473870,0,14368,1,X,10,2023
1,0104,84,5,1220,1179880,0,30146,2,X,10,2023
1,0104,85,5,1220,10804,0,546,2,X,10,2023
1,0104,87,5,1220,1293862,0,32501,1,X,10,2023
1,0104,87,5,1220,32041,0,931,2,X,10,2023
1,0104,88,5,1220,8143,0,159,2,X,10,2023
1,0104,89,5,1220,83320,0,1227,1,X,10,2023
1,0104,90,5,1220,118737,0,124,1,X,10,2023
1,0104,90,5,1220,8387,0,61,2,X,10,2023
1,0104,94,5,1220,6077,0,8,1,X,10,2023
1,0104,94,5,1220,26447,0,523,2,X,10,2023
1,0104,95,5,1220,9633,0,241,2,X,10,2023
1,0104,98,5,1220,92205,0,2002,1,X,10,2023
1,0105,25,6,1220,54801,0,432,1,X,10,2023
1,0105,25,6,1220,1414952,0,114569,2,X,10,2023
1,0105,27,6,1220,119756,0,3281,1,X,10,2023
1,0105,44,5,1220,8922,0,175,1,X,10,2023
1,0105,44,6,1220,1163969,0,22300,1,X,10,2023
1,0105,54,5,1220,12681,0,444,1,X,10,2023
1,0105,73,6,1220,1822298,0,17488,2,X,10,2023
1,0105,87,5,1220,2853,0,61,1,X,10,2023
1,0106,01,5,1220,33209,0,881,1,X,10,2023
1,0106,03,5,1220,9481198,0,163971,1,X,10,2023
1,0106,03,5,1220,320218,0,9300,2,X,10,2023
1,0106,04,5,1220,80202,0,815,1,X,10,2023
1,0106,05,5,1220,92301,0,6989,1,X,10,2023
1,0106,06,5,1220,16934,0,331,1,X,10,2023
1,0106,06,5,1220,14321,0,13,2,X,10,2023
1,0106,07,5,1220,166823,0,7457,1,X,10,2023
1,0106,08,5,1220,33149,0,1602,1,X,10,2023
1,0106,08,5,1220,1107035,0,21668,2,X,10,2023
1,0106,09,5,1220,6534,0,103,1,X,10,2023
1,0106,10,5,1220,13866,0,302,1,X,10,2023
1,0106,11,5,1220,28908,0,566,1,X,10,2023
1,0106,12,5,1220,60358,0,3284,1,X,10,2023
1,0106,12,5,1220,518187,0,491,2,X,10,2023
1,0106,15,5,1220,170053,0,5360,1,X,10,2023
1,0106,15,5,1220,11450,0,1397,2,X,10,2023
1,0106,15,6,1220,392127,0,3281,2,X,10,2023
1,0106,16,5,1220,96498,0,4738,1,X,10,2023
1,0106,17,5,1220,29370,0,683,2,X,10,2023
1,0106,18,5,1220,33625,0,3873,1,X,10,2023
1,0106,19,5,1220,1963644,0,149641,1,X,10,2023
1,0106,20,5,1220,633977,0,31720,1,X,10,2023
1,0106,21,5,1220,128680,0,7928,1,X,10,2023
1,0106,22,5,1220,231476,0,14276,1,X,10,2023
1,0106,22,5,1220,99596,0,6796,2,X,10,2023
1,0106,23,5,1220,63958,0,2397,1,X,10,2023
1,0106,25,5,1220,291779,0,16512,1,X,10,2023
1,0106,27,5,1220,1611116,0,38879,1,X,10,2023
1,0106,28,5,1220,659250,0,47536,1,X,10,2023
1,0106,28,5,1220,27785,0,3281,2,X,10,2023
1,0106,29,5,1220,70199,0,3718,1,X,10,2023
1,0106,29,5,1220,162839,0,6744,2,X,10,2023
1,0106,31,5,1220,169552,0,19570,1,X,10,2023
1,0106,32,5,1220,321346,0,9065,1,X,10,2023
1,0106,32,5,1220,81437,0,1772,2,X,10,2023
1,0106,33,5,1220,475053,0,8303,2,X,10,2023
1,0106,34,5,1220,483519,0,19439,1,X,10,2023
1,0106,35,5,1220,122404,0,3995,1,X,10,2023
1,0106,38,5,1220,514139,0,7405,1,X,10,2023
1,0106,38,5,1220,3604,0,24,2,X,10,2023
1,0106,39,5,1220,5079571,0,133178,1,X,10,2023
1,0106,39,5,1220,455573,0,22504,2,X,10,2023
1,0106,40,5,1220,7875579,0,462819,1,X,10,2023
1,0106,40,5,1220,279055,0,6938,2,X,10,2023
1,0106,42,5,1220,17618,0,302,2,X,10,2023
1,0106,44,5,1220,1329981,0,51216,1,X,10,2023
1,0106,44,5,1220,125524,0,1337,2,X,10,2023
1,0106,47,5,1220,31409,0,615,1,X,10,2023
1,0106,48,5,1220,3281328,0,107991,1,X,10,2023
1,0106,48,5,1220,124207,0,3763,2,X,10,2023
1,0106,49,5,1220,67702,0,864,2,X,10,2023
1,0106,52,5,1220,5852,0,145,2,X,10,2023
1,0106,54,5,1220,141084,0,3483,1,X,10,2023
1,0106,54,5,1220,11584,0,114,2,X,10,2023
1,0106,56,5,1220,917692,0,4374,1,X,10,2023
1,0106,57,5,1220,220847,0,4799,1,X,10,2023
1,0106,58,5,1220,73685,0,1444,1,X,10,2023
1,0106,58,5,1220,3209,0,96,2,X,10,2023
1,0106,59,5,1220,488019,0,20132,1,X,10,2023
1,0106,59,5,1220,22726,0,445,2,X,10,2023
1,0106,62,5,1220,14567,0,14,2,X,10,2023
1,0106,63,5,1220,61209,0,1690,1,X,10,2023
1,0106,68,5,1220,1291393,0,50747,1,X,10,2023
1,0106,69,5,1220,8471,0,299,1,X,10,2023
1,0106,69,5,1220,46777,0,463,2,X,10,2023
1,0106,70,5,1220,621048,0,7659,1,X,10,2023
1,0106,72,5,1220,372993,0,15958,1,X,10,2023
1,0106,72,5,1220,167644,0,3224,2,X,10,2023
1,0106,73,5,1220,4805869,0,324263,1,X,10,2023
1,0106,73,5,1220,352248,0,13873,2,X,10,2023
1,0106,74,5,1220,66621,0,818,1,X,10,2023
1,0106,75,5,1220,25554,0,363,1,X,10,2023
1,0106,76,5,1220,1242705,0,54390,1,X,10,2023
1,0106,76,5,1220,76413,0,145,2,X,10,2023
1,0106,82,5,1220,56209,0,2593,1,X,10,2023
1,0106,82,5,1220,10110,0,252,2,X,10,2023
1,0106,83,5,1220,119838,0,1127,1,X,10,2023
1,0106,83,5,1220,15609,0,364,2,X,10,2023
1,0106,84,5,1220,8300585,0,139837,1,X,10,2023
1,0106,84,5,1220,4687174,0,84458,2,X,10,2023
1,0106,85,5,1220,1685364,0,32927,1,X,10,2023
1,0106,85,5,1220,195312,0,4052,2,X,10,2023
1,0106,85,8,1220,3756,0,86,1,X,10,2023
1,0106,86,5,1220,101312,0,6468,1,X,10,2023
1,0106,87,5,1220,12471382,0,187636,1,X,10,2023
1,0106,87,5,1220,2440615,0,27155,2,X,10,2023
1,0106,88,5,1220,9752,0,1010,1,X,10,2023
1,0106,89,5,1220,807776,0,10387,1,X,10,2023
1,0106,90,5,1220,955108,0,4708,1,X,10,2023
1,0106,90,5,1220,1018843,0,10634,2,X,10,2023
1,0106,94,5,1220,1777918,0,22988,1,X,10,2023
1,0106,94,5,1220,290990,0,8313,2,X,10,2023
1,0106,95,5,1220,77460,0,1001,1,X,10,2023
1,0106,95,5,1220,270192,0,4035,2,X,10,2023
1,0106,96,5,1220,581058,0,21678,1,X,10,2023
1,0107,11,5,1220,17308,0,2689,1,X,10,2023
1,0107,20,5,1220,57153,0,958,1,X,10,2023
1,0107,29,5,1220,4543,0,112,1,X,10,2023
1,0107,31,5,1220,522259,0,10233,1,X,10,2023
1,0107,39,5,1220,103555,0,1481,1,X,10,2023
1,0107,44,5,1220,434208,0,4858,1,X,10,2023
1,0107,72,5,1220,32064,0,2184,1,X,10,2023
1,0107,73,5,1220,26308,0,1065,1,X,10,2023
1,0107,76,5,1220,4395,0,95,2,X,10,2023
1,0107,84,5,1220,50416,0,1292,1,X,10,2023
1,0107,97,5,1220,7681,0,291,1,X,10,2023
1,0108,20,5,1220,21521,0,422,1,X,10,2023
1,0108,27,5,1220,271961,0,26591,1,X,10,2023
1,0108,32,5,1220,8666,0,15,1,X,10,2023
1,0108,39,5,1220,51160,0,641,1,X,10,2023
1,0108,44,5,1220,370596,0,4117,1,X,10,2023
1,0108,44,6,1220,1012330,0,9720,1,X,10,2023
1,0108,47,5,1220,5091,0,72,1,X,10,2023
1,0108,48,5,1220,1740676,0,44286,1,X,10,2023
1,0108,63,5,1220,107223,0,1061,1,X,10,2023
1,0108,68,5,1220,13826,0,271,1,X,10,2023
1,0108,84,5,1220,23751,0,804,1,X,10,2023
1,0108,84,5,1220,10016,0,417,2,X,10,2023
1,0108,87,5,1220,124872,0,3713,1,X,10,2023
1,0108,88,5,1220,443115,0,9623,1,X,10,2023
1,0109,28,6,1220,861280,0,0,1,X,10,2023
1,0109,39,5,1220,34069,0,1312,1,X,10,2023
1,0109,39,5,1220,6523,0,222,2,X,10,2023
1,0109,48,5,1220,196207,0,2556,1,X,10,2023
1,0109,49,5,1220,70906,0,702,1,X,10,2023
1,0109,54,5,1220,20810,0,1377,1,X,10,2023
1,0109,84,5,1220,34910,0,820,1,X,10,2023
1,0109,84,5,1220,37045,0,1014,2,X,10,2023
1,0109,85,5,1220,5246,0,115,1,X,10,2023
1,0109,85,5,1220,17487,0,404,2,X,10,2023
1,0109,87,5,1220,21669,0,364,1,X,10,2023
1,0109,90,5,1220,7882,0,229,1,X,10,2023
1,0110,01,5,1220,99586,0,1990,1,X,10,2023
1,0110,19,5,1220,37393,0,2509,1,X,10,2023
1,0110,44,5,1220,120614,0,2644,1,X,10,2023
1,0110,47,5,1220,232260,0,21648,1,X,10,2023
1,0110,48,5,1220,848900,0,21246,1,X,10,2023
1,0110,72,5,1220,5925,0,715,1,X,10,2023
1,0110,84,5,1220,14486,0,317,1,X,10,2023
1,0110,85,5,1220,75246,0,3279,1,X,10,2023
1,0111,39,5,1220,25091,0,98,1,X,10,2023
1,0111,44,5,1220,40864,0,118,1,X,10,2023
1,0112,23,5,1220,114022,0,728,1,X,10,2023
1,0112,84,5,1220,41996,0,728,1,X,10,2023
1,0112,84,5,1220,6263,0,364,2,X,10,2023
1,0115,01,5,1220,14817,0,821,1,X,10,2023
1,0115,03,5,1220,38270644,0,575067,1,X,10,2023
1,0115,03,5,1220,249373,0,5949,2,X,10,2023
1,0115,05,5,1220,573517,0,13253,1,X,10,2023
1,0115,05,5,1220,41613,0,4049,2,X,10,2023
1,0115,07,5,1220,51105,0,1968,1,X,10,2023
1,0115,08,5,1220,70135,0,1371,2,X,10,2023
1,0115,09,5,1220,5055,0,99,1,X,10,2023
1,0115,09,5,1220,19110,0,877,2,X,10,2023
1,0115,11,5,1220,48654,0,4704,1,X,10,2023
1,0115,12,5,1220,33693,0,3423,1,X,10,2023
1,0115,12,5,1220,10843,0,241,2,X,10,2023
1,0115,13,5,1220,8427,0,472,2,X,10,2023
1,0115,15,5,1220,16933,0,238,2,X,10,2023
1,0115,17,5,1220,175841,0,13081,1,X,10,2023
1,0115,17,5,1220,4867,0,5,2,X,10,2023
1,0115,18,5,1220,73212,0,2608,1,X,10,2023
1,0115,19,5,1220,212220,0,20534,1,X,10,2023
1,0115,20,5,1220,75159,0,5852,1,X,10,2023
1,0115,21,5,1220,160110,0,6024,1,X,10,2023
1,0115,21,5,1220,19298,0,19,2,X,10,2023
1,0115,22,5,1220,18929,0,1470,1,X,10,2023
1,0115,22,5,1220,18787,0,1129,2,X,10,2023
1,0115,23,5,1220,83414,0,6000,1,X,10,2023
1,0115,25,5,1220,42466,0,1649,1,X,10,2023
1,0115,26,5,1220,5876,0,729,1,X,10,2023
1,0115,27,5,1220,274427,0,9760,1,X,10,2023
1,0115,27,5,1220,7104,0,476,2,X,10,2023
1,0115,27,6,1220,183131,0,6562,1,X,10,2023
1,0115,27,7,1220,3584753,0,0,1,X,10,2023
1,0115,28,5,1220,305429,0,15357,1,X,10,2023
1,0115,28,5,1220,33793,0,1254,2,X,10,2023
1,0115,29,5,1220,477224,0,9969,1,X,10,2023
1,0115,29,5,1220,80614,0,1960,2,X,10,2023
1,0115,30,5,1220,48324,0,72,1,X,10,2023
1,0115,31,5,1220,49149,0,3425,1,X,10,2023
1,0115,32,5,1220,587562,0,25621,1,X,10,2023
1,0115,32,5,1220,30777,0,1531,2,X,10,2023
1,0115,33,5,1220,265491,0,9868,1,X,10,2023
1,0115,33,5,1220,113768,0,1508,2,X,10,2023
1,0115,34,5,1220,141132,0,6020,1,X,10,2023
1,0115,34,5,1220,25249,0,705,2,X,10,2023
1,0115,35,5,1220,109072,0,6147,1,X,10,2023
1,0115,35,5,1220,119234,0,1229,2,X,10,2023
1,0115,36,5,1220,29133,0,1398,2,X,10,2023
1,0115,37,5,1220,26586,0,295,1,X,10,2023
1,0115,38,5,1220,739145,0,38683,1,X,10,2023
1,0115,38,5,1220,47254,0,4575,2,X,10,2023
1,0115,39,5,1220,3367538,0,121713,1,X,10,2023
1,0115,39,5,1220,618188,0,17720,2,X,10,2023
1,0115,39,6,1220,124220,0,2435,1,X,10,2023
1,0115,40,5,1220,456345,0,16424,1,X,10,2023
1,0115,40,5,1220,274364,0,6912,2,X,10,2023
1,0115,42,5,1220,10581,0,234,1,X,10,2023
1,0115,42,5,1220,36199,0,640,2,X,10,2023
1,0115,43,5,1220,4595,0,37,2,X,10,2023
1,0115,44,5,1220,1127824,0,40011,1,X,10,2023
1,0115,44,5,1220,47311,0,3984,2,X,10,2023
1,0115,45,5,1220,5953,0,98,1,X,10,2023
1,0115,47,5,1220,385309,0,26715,1,X,10,2023
1,0115,47,6,1220,992138,0,35932,1,X,10,2023
1,0115,48,5,1220,3579119,0,250516,1,X,10,2023
1,0115,48,5,1220,34704,0,3353,2,X,10,2023
1,0115,49,5,1220,189953,0,3176,1,X,10,2023
1,0115,49,5,1220,15818,0,186,2,X,10,2023
1,0115,51,5,1220,2846,0,64,1,X,10,2023
1,0115,54,5,1220,79843,0,2073,1,X,10,2023
1,0115,55,5,1220,57849,0,1489,1,X,10,2023
1,0115,56,5,1220,265546,0,3023,1,X,10,2023
1,0115,56,5,1220,24923,0,1013,2,X,10,2023
1,0115,57,5,1220,54548,0,1317,1,X,10,2023
1,0115,57,5,1220,11139,0,177,2,X,10,2023
1,0115,58,5,1220,10091,0,396,1,X,10,2023
1,0115,59,5,1220,46208,0,2380,1,X,10,2023
1,0115,59,5,1220,3652,0,113,2,X,10,2023
1,0115,60,5,1220,2727,0,151,1,X,10,2023
1,0115,61,5,1220,133636,0,3248,2,X,10,2023
1,0115,62,5,1220,19577,0,470,1,X,10,2023
1,0115,62,5,1220,244067,0,1720,2,X,10,2023
1,0115,63,5,1220,52067,0,3635,1,X,10,2023
1,0115,63,5,1220,630782,0,28047,2,X,10,2023
1,0115,64,5,1220,22563,0,807,1,X,10,2023
1,0115,64,5,1220,13884,0,334,2,X,10,2023
1,0115,65,5,1220,7002,0,222,1,X,10,2023
1,0115,67,5,1220,3185,0,65,2,X,10,2023
1,0115,68,5,1220,460519,0,17449,1,X,10,2023
1,0115,68,5,1220,24787,0,455,2,X,10,2023
1,0115,69,5,1220,5494,0,688,1,X,10,2023
1,0115,69,5,1220,2893,0,62,2,X,10,2023
1,0115,70,5,1220,388319,0,15599,1,X,10,2023
1,0115,70,5,1220,36979,0,1229,2,X,10,2023
1,0115,72,5,1220,86871,0,3121,1,X,10,2023
1,0115,72,5,1220,68822,0,3030,2,X,10,2023
1,0115,72,6,1220,14859,0,364,1,X,10,2023
1,0115,73,5,1220,2268435,0,68874,1,X,10,2023
1,0115,73,5,1220,396642,0,16712,2,X,10,2023
1,0115,74,5,1220,142248,0,2728,1,X,10,2023
1,0115,75,5,1220,31255,0,612,1,X,10,2023
1,0115,76,5,1220,493196,0,35590,1,X,10,2023
1,0115,76,5,1220,28274,0,1526,2,X,10,2023
1,0115,78,5,1220,16857,0,1779,1,X,10,2023
1,0115,79,5,1220,2704,0,155,1,X,10,2023
1,0115,80,5,1220,62868,0,1716,1,X,10,2023
1,0115,81,5,1220,821939,0,8217,1,X,10,2023
1,0115,81,5,1220,91140,0,2800,2,X,10,2023
1,0115,82,5,1220,233956,0,7489,1,X,10,2023
1,0115,82,5,1220,26008,0,1056,2,X,10,2023
1,0115,83,5,1220,159319,0,2831,1,X,10,2023
1,0115,83,5,1220,117373,0,1704,2,X,10,2023
1,0115,84,5,1220,10144820,0,203781,1,X,10,2023
1,0115,84,5,1220,3853603,0,85835,2,X,10,2023
1,0115,84,8,1220,25535,0,442,1,X,10,2023
1,0115,85,5,1220,5687187,0,111394,1,X,10,2023
1,0115,85,5,1220,2497730,0,70762,2,X,10,2023
1,0115,85,6,1220,23969,0,469,1,X,10,2023
1,0115,86,5,1220,16706,0,371,1,X,10,2023
1,0115,87,5,1220,7332825,0,109215,1,X,10,2023
1,0115,87,5,1220,828377,0,16053,2,X,10,2023
1,0115,88,5,1220,113607,0,1933,1,X,10,2023
1,0115,89,5,1220,413541,0,8848,1,X,10,2023
1,0115,89,5,1220,2816,0,131,2,X,10,2023
1,0115,90,5,1220,1474775,0,10624,1,X,10,2023
1,0115,90,5,1220,332339,0,4897,2,X,10,2023
1,0115,91,5,1220,6203,0,134,1,X,10,2023
1,0115,93,5,1220,55956,0,555,1,X,10,2023
1,0115,94,5,1220,1353577,0,31866,1,X,10,2023
1,0115,94,5,1220,749588,0,22890,2,X,10,2023
1,0115,95,5,1220,267783,0,6745,1,X,10,2023
1,0115,95,5,1220,218320,0,7667,2,X,10,2023
1,0115,96,5,1220,32999,0,512,1,X,10,2023
1,0115,96,5,1220,10335,0,493,2,X,10,2023
1,0115,98,5,1220,9551,0,69,2,X,10,2023
1,0118,87,5,1220,3168,0,61,1,X,10,2023
1,0127,10,5,1220,20754,0,453,1,X,10,2023
1,0127,12,5,1220,13184,0,495,1,X,10,2023
1,0127,20,5,1220,1134589,0,21929,1,X,10,2023
1,0127,27,5,1220,48584,0,2891,1,X,10,2023
1,0127,31,5,1220,172223,0,3375,1,X,10,2023
1,0127,38,5,1220,21663,0,535,1,X,10,2023
1,0127,39,5,1220,76709,0,6632,1,X,10,2023
1,0127,48,5,1220,53946,0,6704,1,X,10,2023
1,0127,84,5,1220,15970,0,473,1,X,10,2023
1,0127,84,5,1220,63143,0,1783,2,X,10,2023
1,0127,85,5,1220,8672,0,190,1,X,10,2023
1,0127,87,5,1220,6183,0,104,1,X,10,2023
1,0127,87,5,1220,5950,0,116,2,X,10,2023
1,0152,84,5,1220,2975,0,58,1,X,10,2023
1,01XX,03,1,1220,1777749,239025,71280,1,X,10,2023
1,01XX,20,5,2010,32616,0,0,1,0,10,2023
1,01XX,22,1,1220,57283,10818,2967,1,X,10,2023
1,01XX,38,3,1220,24976,78,106,1,X,10,2023
