TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01XX,1,,XB,1220,730029,154980,15992,1,X,09,2023
1,AK,0708,5,,XO,1220,103176,0,73,2,X,09,2023
1,AK,0901,5,,XO,1220,6955,0,136,1,X,09,2023
1,AK,09XX,3,,XC,1220,4826,12,95,1,X,09,2023
1,AK,19XX,1,XX,,2010,39690,24780,0,1,0,09,2023
1,AK,20XX,3,,XA,1220,10338,65,206,1,X,09,2023
1,AK,20XX,3,,XA,1220,76801,943,495,2,X,09,2023
1,AK,20XX,3,,XC,1220,39968,1607,668,1,X,09,2023
1,AK,20XX,3,,XM,1220,7646,54,141,1,X,09,2023
1,AK,20XX,3,,XO,1220,68243,316,73,2,X,09,2023
1,AK,20XX,3,,XQ,1220,35326,53,122,1,X,09,2023
1,AK,20XX,3,,XQ,1220,14192,1,88,2,X,09,2023
1,AK,2303,5,CO,,2010,36378,0,0,1,0,09,2023
1,AK,2303,6,CO,,2010,149753,0,0,1,0,09,2023
1,AK,2303,6,GT,,2010,57115,0,0,1,0,09,2023
1,AK,2304,5,CM,,2010,113706,0,0,1,0,09,2023
1,AK,2304,5,CM,,2010,41960,0,0,2,0,09,2023
1,AK,2304,5,CO,,2010,47653,0,0,2,0,09,2023
1,AK,2304,5,DF,,2010,100000,0,0,1,0,09,2023
1,AK,2304,5,DG,,2010,5820,0,0,1,0,09,2023
1,AK,2304,5,GT,,2010,795303,0,0,1,0,09,2023
1,AK,2304,5,GT,,2010,58172,0,0,2,0,09,2023
1,AK,2304,5,JA,,2010,3398,0,0,1,0,09,2023
1,AK,2304,5,MO,,2010,5735,0,0,1,0,09,2023
1,AK,2304,5,MX,,2010,1197382,0,0,1,0,09,2023
1,AK,2304,5,MX,,2010,119976,0,0,2,0,09,2023
1,AK,2304,5,NL,,2010,237247,0,0,1,0,09,2023
1,AK,2304,5,NL,,2010,1151224,0,0,2,0,09,2023
1,AK,2304,5,PU,,2010,7352,0,0,1,0,09,2023
1,AK,2304,5,SL,,2010,133481,0,0,1,0,09,2023
1,AK,2304,5,SL,,2010,25541,0,0,2,0,09,2023
1,AK,2304,5,SO,,2010,35000,0,0,1,0,09,2023
1,AK,2304,8,CO,,2010,8207,0,0,1,X,09,2023
1,AK,2305,5,NL,,2010,149502,0,0,1,0,09,2023
1,AK,3004,5,,XC,1220,13142572,0,144192,1,X,09,2023
1,AK,3004,5,,XC,1220,6985,0,144,2,X,09,2023
1,AK,3009,5,,XC,1220,733992,0,3907,1,X,09,2023
1,AK,3023,5,,XC,1220,441532,0,4368,1,X,09,2023
1,AK,30XX,1,,XC,1220,511062,40888,8569,1,X,09,2023
1,AK,30XX,1,XX,,2010,52800,24518,0,1,1,09,2023
1,AK,30XX,3,,XC,1220,11918,59,427,1,X,09,2023
1,AK,30XX,3,XX,,2010,11528,68,0,1,0,09,2023
1,AK,3101,5,,XC,1220,55525,0,1213,1,X,09,2023
1,AK,3101,8,,XC,1220,80554,0,1578,2,X,09,2023
