TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,,XO,1220,51087,0,505,1,X,09,2023
1,AK,02,5,CM,,2010,41960,0,0,2,0,09,2023
1,AK,02,5,NL,,2010,54200,0,0,1,0,09,2023
1,AK,03,1,,XB,1220,1436368,312765,31467,1,X,09,2023
1,AK,03,1,,XC,1220,761825,62375,12006,1,X,09,2023
1,AK,03,1,XX,,2010,52800,24518,0,1,1,09,2023
1,AK,03,5,,XC,1220,3204225,0,47035,1,X,09,2023
1,AK,03,5,,XY,1220,2175131,0,29806,1,X,09,2023
1,AK,05,5,,XC,1220,35739,0,325,1,X,09,2023
1,AK,05,5,,XY,1220,22835,0,447,1,X,09,2023
1,AK,15,5,,XC,1220,2180263,0,21055,1,X,09,2023
1,AK,16,5,,XC,1220,9634487,0,95387,1,X,09,2023
1,AK,23,5,,XC,1220,431023,0,2176,1,X,09,2023
1,AK,23,6,GT,,2010,57115,0,0,1,0,09,2023
1,AK,26,1,,XC,1220,86377680,45699250,114547,1,X,09,2023
1,AK,27,5,,XC,1220,9638418,0,110531,1,X,09,2023
1,AK,28,5,GT,,2010,121296,0,0,1,0,09,2023
1,AK,29,5,MO,,2010,5735,0,0,1,0,09,2023
1,AK,29,5,MX,,2010,37328,0,0,1,0,09,2023
1,AK,38,5,MX,,2010,998940,0,0,1,0,09,2023
1,AK,38,5,NL,,2010,780166,0,0,2,0,09,2023
1,AK,39,5,GT,,2010,66697,0,0,1,0,09,2023
1,AK,39,5,MX,,2010,18938,0,0,1,0,09,2023
1,AK,39,5,MX,,2010,116596,0,0,2,0,09,2023
1,AK,39,5,NL,,2010,108162,0,0,1,0,09,2023
1,AK,39,5,PU,,2010,7352,0,0,1,0,09,2023
1,AK,40,3,,XY,1220,3049,9,39,1,X,09,2023
1,AK,40,5,SL,,2010,26610,0,0,1,0,09,2023
1,AK,47,5,GT,,2010,26758,0,0,1,0,09,2023
1,AK,47,5,GT,,2010,53840,0,0,2,0,09,2023
1,AK,48,3,,XC,1220,3132,44,61,1,X,09,2023
1,AK,49,5,NL,,2010,46280,0,0,1,0,09,2023
1,AK,56,5,NL,,2010,248247,0,0,2,0,09,2023
1,AK,60,5,CO,,2010,36378,0,0,1,0,09,2023
1,AK,63,3,,XC,1220,2669,31,52,1,X,09,2023
1,AK,71,3,,XC,1220,2568,2,101,1,X,09,2023
1,AK,72,1,XX,,2010,39690,24780,0,1,0,09,2023
1,AK,72,6,CO,,2010,149753,0,0,1,0,09,2023
1,AK,73,3,,XC,1220,5508,1547,159,1,X,09,2023
1,AK,73,5,,XY,1220,51837,0,972,1,X,09,2023
1,AK,73,5,,XY,1220,15825,0,100,2,X,09,2023
1,AK,73,5,JA,,2010,3398,0,0,1,0,09,2023
1,AK,73,5,NL,,2010,19210,0,0,1,0,09,2023
1,AK,73,5,SL,,2010,34482,0,0,1,0,09,2023
1,AK,82,5,DG,,2010,2700,0,0,1,0,09,2023
1,AK,83,5,NL,,2010,15640,0,0,2,0,09,2023
1,AK,84,3,,XA,1220,76801,943,495,2,X,09,2023
1,AK,84,3,,XC,1220,11838,28,323,1,X,09,2023
1,AK,84,3,,XQ,1220,5366,35,62,1,X,09,2023
1,AK,84,3,XX,,2010,11528,68,0,1,0,09,2023
1,AK,84,5,,XA,1220,61447,0,738,1,X,09,2023
1,AK,84,5,,XC,1220,303022,0,1694,1,X,09,2023
1,AK,84,5,,XC,1220,47549,0,206,2,X,09,2023
1,AK,84,5,,XO,1220,108025,0,506,2,X,09,2023
1,AK,84,5,,XY,1220,59189,0,1850,1,X,09,2023
1,AK,84,5,,XY,1220,238777,0,3405,2,X,09,2023
1,AK,84,5,CM,,2010,106398,0,0,1,0,09,2023
1,AK,84,5,CO,,2010,40682,0,0,2,0,09,2023
1,AK,84,5,DG,,2010,3120,0,0,1,0,09,2023
1,AK,84,5,MX,,2010,117099,0,0,1,0,09,2023
1,AK,84,5,NL,,2010,95297,0,0,1,0,09,2023
1,AK,84,5,NL,,2010,27946,0,0,2,0,09,2023
1,AK,84,5,SL,,2010,72389,0,0,1,0,09,2023
1,AK,84,5,SL,,2010,25541,0,0,2,0,09,2023
1,AK,84,8,,XC,1220,25289,0,609,2,X,09,2023
1,AK,85,3,,XA,1220,5557,50,319,1,X,09,2023
1,AK,85,3,,XO,1220,68243,316,73,2,X,09,2023
1,AK,85,3,,XY,1220,39215,843,480,1,X,09,2023
1,AK,85,5,,XC,1220,3925,0,85,2,X,09,2023
1,AK,85,5,,XO,1220,6955,0,136,1,X,09,2023
1,AK,85,5,,XY,1220,700518,0,3865,1,X,09,2023
1,AK,85,5,CM,,2010,7308,0,0,1,0,09,2023
1,AK,85,5,GT,,2010,4332,0,0,2,0,09,2023
1,AK,85,5,MX,,2010,6702,0,0,1,0,09,2023
1,AK,85,5,MX,,2010,3380,0,0,2,0,09,2023
1,AK,85,5,NL,,2010,22292,0,0,2,0,09,2023
1,AK,87,5,,XS,1220,62917,0,623,1,X,09,2023
1,AK,87,5,,XY,1220,29865,0,1200,1,X,09,2023
1,AK,87,5,GT,,2010,580552,0,0,1,0,09,2023
1,AK,87,5,MX,,2010,18375,0,0,1,0,09,2023
1,AK,87,5,SO,,2010,35000,0,0,1,0,09,2023
1,AK,87,8,CO,,2010,8207,0,0,1,X,09,2023
1,AK,88,3,,XC,1220,20153,9,365,1,X,09,2023
1,AK,88,3,,XM,1220,4038,30,84,1,X,09,2023
1,AK,88,3,,XQ,1220,14192,1,88,2,X,09,2023
1,AK,88,3,,XY,1220,47142,503,182,1,X,09,2023
1,AK,88,5,,XA,1220,4037,0,29,1,X,09,2023
1,AK,88,5,,XY,1220,41540,0,1817,1,X,09,2023
1,AK,90,3,,XA,1220,30243,84,596,1,X,09,2023
1,AK,90,3,,XC,1220,10844,17,129,1,X,09,2023
1,AK,90,3,,XM,1220,3608,24,57,1,X,09,2023
1,AK,90,3,,XQ,1220,29960,18,60,1,X,09,2023
1,AK,90,5,,XY,1220,74920,0,297,1,X,09,2023
1,AK,90,5,,XY,1220,627765,0,2483,2,X,09,2023
1,AK,90,5,NL,,2010,35500,0,0,2,0,09,2023
1,AK,94,5,CO,,2010,6971,0,0,2,0,09,2023
1,AK,94,5,NL,,2010,63600,0,0,1,0,09,2023
1,AK,94,5,NL,,2010,21433,0,0,2,0,09,2023
1,AK,98,5,,XC,1220,11732,0,412,1,X,09,2023
1,AK,98,5,DF,,2010,100000,0,0,1,0,09,2023
1,AK,98,8,,XC,1220,4516,0,104,1,X,09,2023
1,AK,98,8,,XC,1220,55671,0,1013,2,X,09,2023
1,AK,98,8,,XY,1220,33,0,0,1,X,09,2023
1,AL,01,3,XX,,2010,1326676,1959,0,1,0,09,2023
1,AL,01,5,,XO,1220,27073,0,73,2,X,09,2023
1,AL,02,5,,XO,1220,445008,0,6770,1,X,09,2023
1,AL,02,5,JA,,2010,57730,0,0,1,0,09,2023
1,AL,02,5,NL,,2010,25220,0,0,1,0,09,2023
1,AL,02,5,NL,,2010,115232,0,0,1,1,09,2023
1,AL,02,5,TM,,2010,19600,0,0,1,1,09,2023
1,AL,03,5,,XO,1220,20614,0,306,1,X,09,2023
1,AL,04,5,,XM,1220,1039961,0,4725,1,X,09,2023
1,AL,04,5,QT,,2010,688345,0,0,1,0,09,2023
1,AL,05,5,,XO,1220,34615,0,2090,1,X,09,2023
1,AL,06,5,,XM,1220,4240,0,74,2,X,09,2023
1,AL,07,5,,XA,1220,91781,0,3538,1,X,09,2023
1,AL,07,5,,XO,1220,11786,0,454,1,X,09,2023
1,AL,08,5,,XO,1220,5150,0,206,1,X,09,2023
1,AL,09,5,,XA,1220,16230,0,318,1,X,09,2023
1,AL,09,5,,XO,1220,4809,0,76,1,X,09,2023
1,AL,09,5,,XQ,1220,20655,0,404,1,X,09,2023
1,AL,12,5,,XO,1220,651251,0,28824,1,X,09,2023
1,AL,12,5,JA,,2010,75240,0,0,1,0,09,2023
1,AL,12,5,MX,,2010,2226379,0,0,1,0,09,2023
1,AL,12,5,MX,,2010,28160,0,0,1,1,09,2023
1,AL,12,5,NL,,2010,155760,0,0,1,0,09,2023
1,AL,12,6,,XC,1220,75780,0,1107,1,X,09,2023
1,AL,12,8,MX,,2010,45760,0,0,1,X,09,2023
1,AL,12,8,NL,,2010,1164740,0,0,1,X,09,2023
1,AL,15,5,,XM,1220,48506,0,951,1,X,09,2023
1,AL,15,5,,XO,1220,79508,0,3585,1,X,09,2023
1,AL,15,5,,XO,1220,25199,0,494,2,X,09,2023
1,AL,15,5,MX,,2010,19210,0,0,1,0,09,2023
1,AL,15,5,NL,,2010,119607,0,0,1,0,09,2023
1,AL,15,6,,XQ,1220,22553,0,503,1,X,09,2023
1,AL,16,5,SO,,2010,206110,0,0,1,0,09,2023
1,AL,17,1,XX,,2010,2023435,4985509,0,1,1,09,2023
1,AL,17,5,,XO,1220,43990,0,679,1,X,09,2023
1,AL,18,5,,XO,1220,12498,0,86,1,X,09,2023
1,AL,19,5,,XC,1220,57003,0,3833,1,X,09,2023
1,AL,19,5,,XM,1220,108737,0,10898,1,X,09,2023
1,AL,19,5,,XO,1220,13547,0,264,1,X,09,2023
1,AL,19,5,,XS,1220,92797,0,3208,1,X,09,2023
1,AL,20,5,,XO,1220,1259446,0,47745,1,X,09,2023
1,AL,20,5,NL,,2010,16425,0,0,1,0,09,2023
1,AL,21,5,,XC,1220,34195,0,3324,1,X,09,2023
1,AL,21,5,,XM,1220,32641,0,3325,1,X,09,2023
1,AL,21,5,,XO,1220,250768,0,2888,1,X,09,2023
1,AL,21,5,,XS,1220,30988,0,3203,1,X,09,2023
1,AL,23,5,,XM,1220,20102,0,393,1,X,09,2023
1,AL,23,5,,XO,1220,396257,0,8152,1,X,09,2023
1,AL,23,5,,XS,1220,36801,0,721,1,X,09,2023
1,AL,23,5,JA,,2010,14809,0,0,1,0,09,2023
1,AL,23,6,,XA,1220,146046,0,2859,1,X,09,2023
1,AL,25,5,,XA,1220,33195,0,647,1,X,09,2023
1,AL,25,5,,XC,1220,48911,0,954,1,X,09,2023
1,AL,25,5,,XM,1220,112703,0,2492,1,X,09,2023
1,AL,25,5,,XO,1220,72218,0,2946,1,X,09,2023
1,AL,25,5,,XO,1220,127521,0,2499,2,X,09,2023
1,AL,25,5,,XS,1220,40960,0,803,1,X,09,2023
1,AL,25,5,NL,,2010,5360,0,0,1,0,09,2023
1,AL,25,5,QT,,2010,44105,0,0,1,0,09,2023
1,AL,25,5,SO,,2010,3872,0,0,1,0,09,2023
1,AL,25,6,,XO,1220,22036,0,507,1,X,09,2023
1,AL,27,1,XX,,2010,210442,188058,0,1,1,09,2023
1,AL,27,5,,XO,1220,249666,0,10477,1,X,09,2023
1,AL,27,5,,XQ,1220,3079,0,60,1,X,09,2023
1,AL,27,5,,XS,1220,48657,0,1847,1,X,09,2023
1,AL,27,5,HG,,2010,496193,0,0,1,0,09,2023
1,AL,27,5,NL,,2010,397352,0,0,1,0,09,2023
1,AL,27,5,OT,,2010,106609,0,0,1,0,09,2023
1,AL,27,5,OT,,2010,4000,0,0,2,0,09,2023
1,AL,27,6,CO,,2010,952638,0,0,1,0,09,2023
1,AL,27,6,HG,,2010,112224,0,0,1,0,09,2023
