TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,7772,0,152,2,X,09,2023
1,0101,39,5,1220,3267,0,7,1,X,09,2023
1,0101,39,5,1220,12698,0,52,2,X,09,2023
1,0101,72,6,1220,308376,0,10971,1,X,09,2023
1,0101,73,6,1220,26973,0,702,1,X,09,2023
1,0101,83,5,1220,3903,0,131,1,X,09,2023
1,0101,84,5,1220,2941,0,133,1,X,09,2023
1,0101,84,5,1220,11966,0,219,2,X,09,2023
1,0101,85,5,1220,13749,0,37,2,X,09,2023
1,0101,90,5,1220,50341,0,603,1,X,09,2023
1,0101,90,5,1220,2950,0,104,2,X,09,2023
1,0101,95,5,1220,14197,0,55,2,X,09,2023
1,0102,72,6,1220,46136,0,811,1,X,09,2023
1,0102,73,6,1220,26522,0,295,1,X,09,2023
1,0102,74,6,1220,87813,0,295,1,X,09,2023
1,0103,39,5,1220,4356,0,148,1,X,09,2023
1,0103,40,5,1220,9187,0,201,1,X,09,2023
1,0103,61,5,1220,5703,0,177,2,X,09,2023
1,0103,73,5,1220,3845,0,155,1,X,09,2023
1,0103,82,5,1220,2777,0,28,2,X,09,2023
1,0103,83,5,1220,3055,0,76,1,X,09,2023
1,0103,84,5,1220,81376,0,806,2,X,09,2023
1,0103,87,5,1220,5374,0,88,1,X,09,2023
1,0104,01,5,1220,228055,0,4319,1,X,09,2023
1,0104,19,5,1220,169228,0,13617,1,X,09,2023
1,0104,20,5,1220,31098,0,609,1,X,09,2023
1,0104,25,5,1220,16366,0,319,1,X,09,2023
1,0104,27,5,1220,62062,0,735,1,X,09,2023
1,0104,28,5,1220,24522,0,3244,1,X,09,2023
1,0104,29,5,1220,3724,0,91,1,X,09,2023
1,0104,31,5,1220,34004,0,3704,1,X,09,2023
1,0104,32,5,1220,10286,0,366,1,X,09,2023
1,0104,38,5,1220,118104,0,2427,1,X,09,2023
1,0104,39,5,1220,27899,0,220,1,X,09,2023
1,0104,39,5,1220,11608,0,227,2,X,09,2023
1,0104,39,6,1220,89121,0,1274,1,X,09,2023
1,0104,40,5,1220,8368,0,126,1,X,09,2023
1,0104,40,5,1220,12004,0,322,2,X,09,2023
1,0104,41,5,1220,4178,0,82,2,X,09,2023
1,0104,44,5,1220,8957239,0,291789,1,X,09,2023
1,0104,44,6,1220,33444,0,1108,1,X,09,2023
1,0104,47,5,1220,674755,0,26383,1,X,09,2023
1,0104,48,5,1220,7772593,0,484123,1,X,09,2023
1,0104,48,5,1220,6625,0,140,2,X,09,2023
1,0104,48,6,1220,271014,0,2748,1,X,09,2023
1,0104,54,5,1220,290470,0,2000,1,X,09,2023
1,0104,55,5,1220,549000,0,3897,1,X,09,2023
1,0104,56,5,1220,8139,0,94,1,X,09,2023
1,0104,58,5,1220,4264,0,127,1,X,09,2023
1,0104,59,5,1220,8222,0,255,1,X,09,2023
1,0104,68,5,1220,468403,0,22292,1,X,09,2023
1,0104,69,5,1220,17435,0,506,1,X,09,2023
1,0104,72,5,1220,130013,0,2546,1,X,09,2023
1,0104,73,5,1220,5481,0,222,1,X,09,2023
1,0104,74,5,1220,201668,0,1357,1,X,09,2023
1,0104,74,6,1220,76901,0,702,1,X,09,2023
1,0104,76,5,1220,286019,0,16241,1,X,09,2023
1,0104,76,6,1220,18260,0,702,1,X,09,2023
1,0104,78,5,1220,6769,0,66,1,X,09,2023
1,0104,82,5,1220,17472,0,342,1,X,09,2023
1,0104,82,5,1220,14110,0,336,2,X,09,2023
1,0104,83,5,1220,2639,0,0,1,X,09,2023
1,0104,84,5,1220,187427,0,4111,1,X,09,2023
1,0104,84,5,1220,204248,0,2254,2,X,09,2023
1,0104,85,5,1220,250560,0,3361,1,X,09,2023
1,0104,85,5,1220,3255,0,71,2,X,09,2023
1,0104,87,5,1220,1775870,0,38812,1,X,09,2023
1,0104,87,5,1220,22996,0,449,2,X,09,2023
1,0104,94,5,1220,26515,0,879,1,X,09,2023
1,0104,94,5,1220,2887,0,33,2,X,09,2023
1,0104,95,5,1220,10354,0,232,2,X,09,2023
1,0104,97,5,1220,6293,0,137,1,X,09,2023
1,0104,97,5,1220,3186,0,62,2,X,09,2023
1,0104,98,5,1220,256877,0,5578,1,X,09,2023
1,0104,98,5,1220,5604,0,591,2,X,09,2023
1,0105,23,6,1220,92815,0,4427,1,X,09,2023
1,0105,25,6,1220,108772,0,876,1,X,09,2023
1,0105,25,6,1220,1413102,0,133438,2,X,09,2023
1,0105,27,6,1220,466396,0,13300,1,X,09,2023
1,0105,44,5,1220,27158,0,531,1,X,09,2023
1,0105,44,6,1220,1009709,0,20990,1,X,09,2023
1,0105,72,6,1220,12195,0,295,1,X,09,2023
1,0105,73,6,1220,563715,0,5540,2,X,09,2023
1,0106,01,5,1220,81142,0,1608,1,X,09,2023
1,0106,03,5,1220,6449439,0,109855,1,X,09,2023
1,0106,03,5,1220,381580,0,8353,2,X,09,2023
1,0106,04,5,1220,307530,0,2216,1,X,09,2023
1,0106,05,5,1220,638807,0,43052,1,X,09,2023
1,0106,06,5,1220,29739,0,2555,1,X,09,2023
1,0106,06,5,1220,3887,0,3,2,X,09,2023
1,0106,07,5,1220,442709,0,26090,1,X,09,2023
1,0106,08,5,1220,210457,0,3797,1,X,09,2023
1,0106,08,5,1220,1264355,0,26587,2,X,09,2023
1,0106,09,5,1220,22007,0,349,1,X,09,2023
1,0106,09,5,1220,16085,0,314,2,X,09,2023
1,0106,11,5,1220,70567,0,10030,1,X,09,2023
1,0106,12,5,1220,162760,0,19950,1,X,09,2023
1,0106,12,5,1220,118399,0,109,2,X,09,2023
1,0106,15,5,1220,205654,0,2317,1,X,09,2023
1,0106,16,5,1220,39092,0,1598,1,X,09,2023
1,0106,16,5,1220,34276,0,33,2,X,09,2023
1,0106,17,5,1220,61495,0,551,2,X,09,2023
1,0106,18,5,1220,182284,0,8497,1,X,09,2023
1,0106,19,5,1220,1173099,0,92805,1,X,09,2023
1,0106,20,5,1220,498100,0,33550,1,X,09,2023
1,0106,21,5,1220,131954,0,4460,1,X,09,2023
1,0106,22,5,1220,249600,0,11135,1,X,09,2023
1,0106,22,5,1220,137971,0,6621,2,X,09,2023
1,0106,23,5,1220,15454,0,302,1,X,09,2023
1,0106,25,5,1220,271310,0,10580,1,X,09,2023
1,0106,27,5,1220,1620697,0,38868,1,X,09,2023
1,0106,28,5,1220,943387,0,68083,1,X,09,2023
1,0106,29,5,1220,96539,0,3660,1,X,09,2023
1,0106,29,5,1220,163605,0,5172,2,X,09,2023
1,0106,31,5,1220,258372,0,19951,1,X,09,2023
1,0106,32,5,1220,637069,0,13282,1,X,09,2023
1,0106,33,5,1220,12981,0,234,1,X,09,2023
1,0106,33,5,1220,374385,0,8747,2,X,09,2023
1,0106,34,5,1220,225986,0,6095,1,X,09,2023
1,0106,35,5,1220,83226,0,3731,1,X,09,2023
1,0106,38,5,1220,1070275,0,24622,1,X,09,2023
1,0106,38,5,1220,64430,0,1263,2,X,09,2023
1,0106,38,6,1220,777990,0,6650,1,X,09,2023
1,0106,39,5,1220,5824110,0,165254,1,X,09,2023
1,0106,39,5,1220,265391,0,13846,2,X,09,2023
1,0106,40,5,1220,7641769,0,410801,1,X,09,2023
1,0106,40,5,1220,271015,0,7002,2,X,09,2023
1,0106,42,5,1220,2619,0,13,1,X,09,2023
1,0106,44,5,1220,2439366,0,147134,1,X,09,2023
1,0106,44,5,1220,104623,0,1486,2,X,09,2023
1,0106,47,5,1220,46520,0,2854,1,X,09,2023
1,0106,48,5,1220,3474436,0,148535,1,X,09,2023
1,0106,48,5,1220,369408,0,1190,2,X,09,2023
1,0106,49,5,1220,27009,0,73,1,X,09,2023
1,0106,49,5,1220,46817,0,607,2,X,09,2023
1,0106,54,5,1220,365418,0,9680,1,X,09,2023
1,0106,55,5,1220,126118,0,125,1,X,09,2023
1,0106,55,5,1220,10896,0,455,2,X,09,2023
1,0106,56,5,1220,2137247,0,10799,1,X,09,2023
1,0106,57,5,1220,211283,0,7203,1,X,09,2023
1,0106,59,5,1220,380667,0,14855,1,X,09,2023
1,0106,60,5,1220,4658,0,138,1,X,09,2023
1,0106,61,8,1220,3244,0,20,2,X,09,2023
1,0106,62,5,1220,3630,0,3,1,X,09,2023
1,0106,62,5,1220,25873,0,25,2,X,09,2023
1,0106,63,5,1220,14454,0,73,1,X,09,2023
1,0106,63,5,1220,23842,0,2217,2,X,09,2023
1,0106,68,5,1220,857414,0,36348,1,X,09,2023
1,0106,68,5,1220,33761,0,412,2,X,09,2023
1,0106,70,5,1220,433215,0,7482,1,X,09,2023
1,0106,71,5,1220,29727,0,581,1,X,09,2023
1,0106,72,5,1220,879053,0,47665,1,X,09,2023
1,0106,72,5,1220,171616,0,4482,2,X,09,2023
1,0106,72,6,1220,106109,0,2102,1,X,09,2023
1,0106,73,5,1220,5041818,0,315249,1,X,09,2023
1,0106,73,5,1220,378469,0,16883,2,X,09,2023
1,0106,74,5,1220,138178,0,242,1,X,09,2023
1,0106,75,5,1220,134783,0,1181,1,X,09,2023
1,0106,76,5,1220,1099134,0,76396,1,X,09,2023
1,0106,76,5,1220,178974,0,3507,2,X,09,2023
1,0106,78,5,1220,62223,0,635,1,X,09,2023
1,0106,78,5,1220,172874,0,1711,2,X,09,2023
1,0106,80,5,1220,91190,0,143,2,X,09,2023
1,0106,82,5,1220,20563,0,1047,1,X,09,2023
1,0106,83,5,1220,44859,0,1294,1,X,09,2023
1,0106,83,5,1220,12840,0,173,2,X,09,2023
1,0106,84,5,1220,8636621,0,131155,1,X,09,2023
1,0106,84,5,1220,6171938,0,119523,2,X,09,2023
1,0106,85,5,1220,4056730,0,38633,1,X,09,2023
1,0106,85,5,1220,157884,0,3518,2,X,09,2023
1,0106,85,8,1220,5342,0,24,1,X,09,2023
1,0106,86,5,1220,25715,0,818,1,X,09,2023
1,0106,87,5,1220,11462831,0,167815,1,X,09,2023
1,0106,87,5,1220,2421805,0,46107,2,X,09,2023
1,0106,89,5,1220,925962,0,18462,1,X,09,2023
1,0106,89,5,1220,44104,0,469,2,X,09,2023
1,0106,90,5,1220,3579838,0,16939,1,X,09,2023
1,0106,90,5,1220,159207,0,2368,2,X,09,2023
1,0106,93,5,1220,18271,0,882,2,X,09,2023
1,0106,94,5,1220,794473,0,17083,1,X,09,2023
1,0106,94,5,1220,104706,0,3366,2,X,09,2023
1,0106,95,5,1220,2671,0,2,1,X,09,2023
1,0106,95,5,1220,106671,0,4306,2,X,09,2023
1,0106,96,5,1220,529579,0,18577,1,X,09,2023
1,0106,96,5,1220,6866,0,339,2,X,09,2023
1,0107,07,5,1220,208789,0,18624,1,X,09,2023
1,0107,11,5,1220,28225,0,4386,1,X,09,2023
1,0107,20,5,1220,36249,0,710,1,X,09,2023
1,0107,31,5,1220,267708,0,5140,1,X,09,2023
1,0107,39,5,1220,61800,0,1266,1,X,09,2023
1,0107,44,5,1220,351806,0,4689,1,X,09,2023
1,0107,70,5,1220,32466,0,22,1,X,09,2023
1,0107,73,5,1220,13724,0,556,1,X,09,2023
1,0107,84,5,1220,220540,0,3488,1,X,09,2023
1,0107,85,5,1220,10399,0,88,2,X,09,2023
1,0108,07,5,1220,861342,0,77784,1,X,09,2023
1,0108,10,5,1220,89842,0,1947,1,X,09,2023
1,0108,27,5,1220,235377,0,21761,1,X,09,2023
1,0108,39,5,1220,15483,0,337,1,X,09,2023
1,0108,44,5,1220,501321,0,11438,1,X,09,2023
1,0108,44,6,1220,1235324,0,12695,1,X,09,2023
1,0108,48,5,1220,1433416,0,36980,1,X,09,2023
1,0108,61,5,1220,3747,0,57,1,X,09,2023
1,0108,72,5,1220,21385,0,1476,1,X,09,2023
1,0108,73,5,1220,34090,0,1383,1,X,09,2023
1,0108,82,5,1220,18459,0,276,1,X,09,2023
1,0108,84,5,1220,58672,0,2312,1,X,09,2023
1,0108,90,5,1220,3464,0,43,1,X,09,2023
1,0108,98,5,1220,131005,0,2566,1,X,09,2023
1,0109,10,5,1220,2732,0,59,1,X,09,2023
1,0109,39,5,1220,8582,0,245,1,X,09,2023
