TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,18215,0,73,1,X,04,2024
1,0101,73,5,1220,3356,0,131,2,X,04,2024
1,0101,73,6,1220,16414,0,621,1,X,04,2024
1,0101,74,5,1220,3384,0,131,2,X,04,2024
1,0101,84,5,1220,50848,0,365,1,X,04,2024
1,0101,85,5,1220,4871,0,100,1,X,04,2024
1,0101,87,6,1220,9468,0,242,1,X,04,2024
1,0101,87,6,1220,3413,0,87,2,X,04,2024
1,0101,90,5,1220,78856,0,461,1,X,04,2024
1,0102,07,5,1220,60499,0,2332,1,X,04,2024
1,0103,40,5,1220,3829,0,84,1,X,04,2024
1,0103,49,5,1220,4929,0,167,1,X,04,2024
1,0103,62,5,1220,7680,0,250,2,X,04,2024
1,0103,72,5,1220,3320,0,82,1,X,04,2024
1,0103,73,5,1220,25573,0,1037,1,X,04,2024
1,0103,84,5,1220,21770,0,443,1,X,04,2024
1,0103,85,5,1220,50324,0,562,1,X,04,2024
1,0103,87,5,1220,3237,0,53,1,X,04,2024
1,0104,01,5,1220,222993,0,4217,1,X,04,2024
1,0104,07,5,1220,164537,0,6339,1,X,04,2024
1,0104,08,5,1220,42018,0,3290,1,X,04,2024
1,0104,11,5,1220,27220,0,792,1,X,04,2024
1,0104,13,5,1220,8521,0,166,2,X,04,2024
1,0104,17,5,1220,184200,0,9154,1,X,04,2024
1,0104,19,5,1220,22004,0,0,1,X,04,2024
1,0104,21,5,1220,253032,0,251,1,X,04,2024
1,0104,25,5,1220,22123,0,432,1,X,04,2024
1,0104,28,5,1220,25217,0,3290,1,X,04,2024
1,0104,29,5,1220,33201,0,649,1,X,04,2024
1,0104,31,5,1220,109754,0,7608,1,X,04,2024
1,0104,32,5,1220,173588,0,3290,1,X,04,2024
1,0104,32,5,1220,2653,0,92,2,X,04,2024
1,0104,35,5,1220,2736,0,136,1,X,04,2024
1,0104,38,5,1220,125746,0,2231,1,X,04,2024
1,0104,39,5,1220,47338,0,1355,1,X,04,2024
1,0104,39,5,1220,46690,0,2293,2,X,04,2024
1,0104,44,5,1220,4374373,0,74370,1,X,04,2024
1,0104,44,5,1220,44795,0,443,2,X,04,2024
1,0104,47,5,1220,625748,0,12378,1,X,04,2024
1,0104,48,5,1220,7555676,0,488265,1,X,04,2024
1,0104,49,5,1220,7673,0,113,1,X,04,2024
1,0104,54,5,1220,464543,0,5272,1,X,04,2024
1,0104,54,5,1220,4842,0,95,2,X,04,2024
1,0104,55,5,1220,494520,0,5183,1,X,04,2024
1,0104,55,5,1220,2574,0,25,2,X,04,2024
1,0104,56,5,1220,84993,0,943,1,X,04,2024
1,0104,57,5,1220,73674,0,729,1,X,04,2024
1,0104,59,5,1220,21800,0,427,1,X,04,2024
1,0104,68,5,1220,581520,0,27206,1,X,04,2024
1,0104,69,5,1220,18586,0,540,1,X,04,2024
1,0104,71,5,1220,60147,0,595,1,X,04,2024
1,0104,72,5,1220,12132,0,764,1,X,04,2024
1,0104,72,6,1220,672328,0,22399,1,X,04,2024
1,0104,73,5,1220,54294,0,1240,1,X,04,2024
1,0104,73,5,1220,11630,0,228,2,X,04,2024
1,0104,73,6,1220,13797,0,548,1,X,04,2024
1,0104,74,5,1220,144085,0,1330,1,X,04,2024
1,0104,74,6,1220,34833,0,457,1,X,04,2024
1,0104,76,5,1220,222837,0,11274,1,X,04,2024
1,0104,76,6,1220,15737,0,201,1,X,04,2024
1,0104,78,5,1220,2624,0,42,1,X,04,2024
1,0104,82,5,1220,18067,0,354,1,X,04,2024
1,0104,82,5,1220,31573,0,620,2,X,04,2024
1,0104,84,5,1220,493359,0,10444,1,X,04,2024
