TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0708,5,,XO,1220,25279,0,73,2,X,08,2024
1,AK,07XX,3,,XA,1220,11410,36,1006,2,X,08,2024
1,AK,0901,5,,XO,1220,10364,0,224,1,X,08,2024
1,AK,19XX,1,XX,,2010,373355,334410,0,1,0,08,2024
1,AK,20XX,3,,XA,1220,37979,92,306,1,X,08,2024
1,AK,20XX,3,,XA,1220,5248,79,198,2,X,08,2024
1,AK,20XX,3,,XC,1220,678595,48663,13432,1,X,08,2024
1,AK,20XX,3,,XM,1220,6905,73,146,1,X,08,2024
1,AK,20XX,3,,XO,1220,23394,82,416,1,X,08,2024
1,AK,20XX,3,,XQ,1220,7124,126,253,1,X,08,2024
1,AK,20XX,3,,XQ,1220,13663,44,267,2,X,08,2024
1,AK,2304,5,CM,,2010,894816,0,0,2,0,08,2024
1,AK,2304,5,CO,,2010,16917,0,0,1,0,08,2024
1,AK,2304,5,DF,,2010,28886,0,0,1,0,08,2024
1,AK,2304,5,GT,,2010,81460,0,0,1,0,08,2024
1,AK,2304,5,GT,,2010,20585,0,0,2,0,08,2024
1,AK,2304,5,HG,,2010,252174,0,0,1,0,08,2024
1,AK,2304,5,MX,,2010,109564,0,0,1,0,08,2024
1,AK,2304,5,NL,,2010,654799,0,0,1,0,08,2024
1,AK,2304,5,NL,,2010,160371,0,0,2,0,08,2024
1,AK,2304,5,OT,,2010,9866,0,0,1,0,08,2024
1,AK,2304,5,PU,,2010,2940,0,0,1,0,08,2024
1,AK,2304,5,QT,,2010,2928,0,0,1,0,08,2024
1,AK,2304,5,QT,,2010,58686,0,0,2,0,08,2024
1,AK,2304,5,TL,,2010,14953,0,0,1,0,08,2024
1,AK,2304,5,TL,,2010,23472,0,0,2,0,08,2024
1,AK,2305,5,TM,,2010,8500,0,0,1,0,08,2024
1,AK,2507,5,BC,,2010,17754,0,0,1,0,08,2024
1,AK,2604,5,SI,,2010,4758,0,0,2,0,08,2024
1,AK,3004,5,,XC,1220,25748236,0,292640,1,X,08,2024
1,AK,3004,5,,XC,1220,50825,0,503,2,X,08,2024
1,AK,3009,5,,XC,1220,399802,0,2013,1,X,08,2024
1,AK,3019,8,,XC,1220,10070,0,73,1,X,08,2024
1,AK,3023,5,,XC,1220,401611,0,3975,1,X,08,2024
1,AK,30XX,3,,XC,1220,17476,208,737,1,X,08,2024
1,AK,3101,5,,XC,1220,43962,0,960,1,X,08,2024
1,AK,3103,5,,XC,1220,5097387,0,51695,1,X,08,2024
1,AK,3103,5,,XC,1220,10685,0,239,2,X,08,2024
1,AK,3104,5,,XY,1220,536706,0,10681,1,X,08,2024
