TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,CO,,2010,16917,0,0,1,0,08,2024
1,AK,03,5,,XC,1220,9079726,0,127128,1,X,08,2024
1,AK,03,5,,XY,1220,3310481,0,45373,1,X,08,2024
1,AK,05,5,,XC,1220,61722,0,675,1,X,08,2024
1,AK,05,5,,XY,1220,44493,0,717,1,X,08,2024
1,AK,11,5,OT,,2010,9866,0,0,1,0,08,2024
1,AK,15,5,,XC,1220,726869,0,7383,1,X,08,2024
1,AK,16,5,,XC,1220,15812331,0,157366,1,X,08,2024
1,AK,21,5,DF,,2010,28886,0,0,1,0,08,2024
1,AK,22,3,,XC,1220,45328,14110,216,1,X,08,2024
1,AK,23,5,,XC,1220,399802,0,2013,1,X,08,2024
1,AK,25,5,,XA,1220,3173,0,62,1,X,08,2024
1,AK,25,5,,XY,1220,3078,0,15,1,X,08,2024
1,AK,26,1,,XC,1220,73855721,39115476,73231,1,X,08,2024
1,AK,27,5,,XC,1220,5306534,0,54903,1,X,08,2024
1,AK,32,5,,XC,1220,3354,0,117,1,X,08,2024
1,AK,32,5,NL,,2010,2982,0,0,1,0,08,2024
1,AK,38,5,BC,,2010,17754,0,0,1,0,08,2024
1,AK,38,5,NL,,2010,160371,0,0,2,0,08,2024
1,AK,39,5,,XC,1220,9288,0,182,1,X,08,2024
1,AK,39,5,GT,,2010,15491,0,0,2,0,08,2024
1,AK,39,5,MX,,2010,18802,0,0,1,0,08,2024
1,AK,39,5,PU,,2010,2940,0,0,1,0,08,2024
1,AK,39,5,QT,,2010,49000,0,0,2,0,08,2024
1,AK,39,5,TL,,2010,20270,0,0,2,0,08,2024
1,AK,40,3,,XC,1220,8649,25,154,1,X,08,2024
1,AK,44,3,,XC,1220,4136,25679,77,1,X,08,2024
1,AK,44,5,,XC,1220,3247,0,63,1,X,08,2024
1,AK,44,5,,XO,1220,6568,0,128,1,X,08,2024
1,AK,44,8,,XC,1220,3953,0,98,1,X,08,2024
1,AK,54,5,GT,,2010,5094,0,0,2,0,08,2024
1,AK,62,3,,XC,1220,2789,23,275,1,X,08,2024
1,AK,63,3,,XM,1220,3265,68,73,1,X,08,2024
1,AK,63,3,,XO,1220,2523,53,6,1,X,08,2024
1,AK,63,3,,XQ,1220,7554,475,229,1,X,08,2024
1,AK,68,5,,XO,1220,7885,0,200,2,X,08,2024
1,AK,70,5,,XC,1220,7028,0,168,2,X,08,2024
1,AK,72,1,XX,,2010,373355,334410,0,1,0,08,2024
