TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,72,5,1220,4379,0,402,1,X,08,2024
1,0101,72,6,1220,30757,0,1171,1,X,08,2024
1,0101,73,5,1220,7551,0,44,1,X,08,2024
1,0101,73,6,1220,71131,0,2415,1,X,08,2024
1,0101,81,5,1220,5570,0,24,1,X,08,2024
1,0101,84,5,1220,15276,0,355,2,X,08,2024
1,0101,85,5,1220,5599,0,144,1,X,08,2024
1,0101,85,5,1220,2764,0,89,2,X,08,2024
1,0101,87,5,1220,3455,0,51,2,X,08,2024
1,0102,01,5,1220,2823,0,64,1,X,08,2024
1,0103,05,5,1220,9446,0,322,1,X,08,2024
1,0103,39,5,1220,3545,0,120,1,X,08,2024
1,0103,44,5,1220,4199,0,104,1,X,08,2024
1,0103,49,5,1220,2899,0,98,1,X,08,2024
1,0103,83,5,1220,3174,0,62,1,X,08,2024
1,0103,84,5,1220,5019,0,149,1,X,08,2024
1,0104,01,5,1220,259376,0,4974,1,X,08,2024
1,0104,08,5,1220,170453,0,3337,1,X,08,2024
1,0104,11,5,1220,28643,0,830,1,X,08,2024
1,0104,17,5,1220,27521,0,801,1,X,08,2024
1,0104,25,5,1220,101309,0,1977,1,X,08,2024
1,0104,31,5,1220,26134,0,3281,1,X,08,2024
1,0104,32,5,1220,4585,0,90,1,X,08,2024
1,0104,32,5,1220,26984,0,574,2,X,08,2024
1,0104,34,5,1220,3807,0,144,1,X,08,2024
1,0104,38,5,1220,37123,0,564,1,X,08,2024
1,0104,39,5,1220,75845,0,2950,1,X,08,2024
1,0104,39,6,1220,98398,0,1406,1,X,08,2024
1,0104,40,5,1220,155856,0,10947,1,X,08,2024
1,0104,40,5,1220,11184,0,218,2,X,08,2024
1,0104,44,5,1220,7425909,0,194030,1,X,08,2024
1,0104,44,5,1220,97963,0,1010,2,X,08,2024
1,0104,47,5,1220,1336433,0,25624,1,X,08,2024
1,0104,48,5,1220,9660407,0,666138,1,X,08,2024
1,0104,48,6,1220,838262,0,7281,1,X,08,2024
1,0104,54,5,1220,66090,0,697,1,X,08,2024
1,0104,55,5,1220,471386,0,4579,1,X,08,2024
1,0104,56,5,1220,7860,0,123,1,X,08,2024
1,0104,56,5,1220,2702,0,38,2,X,08,2024
1,0104,59,5,1220,20086,0,393,1,X,08,2024
1,0104,63,5,1220,4565,0,45,2,X,08,2024
1,0104,68,5,1220,570533,0,26746,1,X,08,2024
1,0104,69,5,1220,12866,0,373,1,X,08,2024
1,0104,72,5,1220,46608,0,4610,1,X,08,2024
1,0104,72,6,1220,935440,0,26908,1,X,08,2024
1,0104,73,5,1220,189078,0,1879,1,X,08,2024
1,0104,74,5,1220,274132,0,3033,1,X,08,2024
1,0104,76,5,1220,193911,0,9584,1,X,08,2024
1,0104,80,5,1220,2932,0,177,1,X,08,2024
1,0104,82,5,1220,14286,0,289,1,X,08,2024
1,0104,82,5,1220,7455,0,144,2,X,08,2024
1,0104,84,5,1220,201384,0,2271,1,X,08,2024
1,0104,84,5,1220,72790,0,1703,2,X,08,2024
1,0104,85,5,1220,15004,0,189,2,X,08,2024
1,0104,87,5,1220,923874,0,20916,1,X,08,2024
1,0104,87,5,1220,16348,0,131,2,X,08,2024
1,0104,94,5,1220,12083,0,278,1,X,08,2024
1,0104,98,5,1220,299435,0,6503,1,X,08,2024
1,0105,03,5,1220,19846,0,437,1,X,08,2024
1,0105,25,6,1220,1762957,0,142520,2,X,08,2024
1,0105,27,6,1220,268498,0,6590,1,X,08,2024
1,0105,38,6,1220,808741,0,8007,1,X,08,2024
1,0105,44,5,1220,18264,0,358,2,X,08,2024
1,0105,44,6,1220,1099256,0,21608,1,X,08,2024
1,0105,54,5,1220,46178,0,1632,1,X,08,2024
1,0105,68,6,1220,640030,0,30459,1,X,08,2024
1,0105,87,5,1220,104222,0,2927,1,X,08,2024
1,0106,01,5,1220,53071,0,1205,1,X,08,2024
1,0106,03,5,1220,9997267,0,176194,1,X,08,2024
1,0106,03,5,1220,2052287,0,36398,2,X,08,2024
1,0106,04,5,1220,473992,0,2584,1,X,08,2024
1,0106,05,5,1220,1171722,0,58139,1,X,08,2024
1,0106,05,5,1220,134581,0,13094,2,X,08,2024
1,0106,06,5,1220,8851,0,173,1,X,08,2024
1,0106,06,5,1220,2809,0,2,2,X,08,2024
1,0106,07,5,1220,43279,0,7148,1,X,08,2024
1,0106,08,5,1220,47587,0,3792,1,X,08,2024
1,0106,08,5,1220,1383764,0,28506,2,X,08,2024
1,0106,09,5,1220,23545,0,747,2,X,08,2024
1,0106,11,5,1220,85826,0,10635,1,X,08,2024
1,0106,11,5,1220,59385,0,6590,2,X,08,2024
1,0106,12,5,1220,69167,0,3312,1,X,08,2024
1,0106,12,5,1220,28129,0,24,2,X,08,2024
1,0106,15,5,1220,51699,0,1299,1,X,08,2024
1,0106,16,5,1220,209224,0,199,1,X,08,2024
1,0106,16,5,1220,115657,0,1009,2,X,08,2024
1,0106,18,5,1220,140938,0,4545,1,X,08,2024
1,0106,19,5,1220,1173661,0,55113,1,X,08,2024
1,0106,20,5,1220,710001,0,21300,1,X,08,2024
1,0106,21,5,1220,339556,0,6407,1,X,08,2024
1,0106,21,5,1220,3046,0,55,2,X,08,2024
1,0106,22,5,1220,96623,0,4677,1,X,08,2024
1,0106,22,5,1220,151451,0,9189,2,X,08,2024
1,0106,23,5,1220,185799,0,4102,1,X,08,2024
1,0106,25,5,1220,207143,0,7887,1,X,08,2024
1,0106,27,5,1220,1588988,0,33111,1,X,08,2024
1,0106,28,5,1220,730275,0,48498,1,X,08,2024
1,0106,29,5,1220,357131,0,4656,1,X,08,2024
1,0106,29,5,1220,238968,0,9885,2,X,08,2024
1,0106,31,5,1220,143866,0,13724,1,X,08,2024
1,0106,32,5,1220,746466,0,21407,1,X,08,2024
1,0106,32,5,1220,15793,0,155,2,X,08,2024
1,0106,33,5,1220,273681,0,5620,1,X,08,2024
1,0106,33,5,1220,734537,0,13077,2,X,08,2024
1,0106,34,5,1220,295874,0,16184,1,X,08,2024
1,0106,35,5,1220,68740,0,1391,1,X,08,2024
1,0106,38,5,1220,1214905,0,32157,1,X,08,2024
1,0106,38,5,1220,23616,0,2850,2,X,08,2024
1,0106,39,5,1220,4871936,0,182583,1,X,08,2024
1,0106,39,5,1220,440405,0,8528,2,X,08,2024
1,0106,40,5,1220,9176953,0,574865,1,X,08,2024
1,0106,40,5,1220,356110,0,13847,2,X,08,2024
1,0106,42,5,1220,8559,0,127,1,X,08,2024
1,0106,44,5,1220,829142,0,36942,1,X,08,2024
1,0106,44,5,1220,66011,0,1552,2,X,08,2024
1,0106,47,5,1220,149568,0,3760,1,X,08,2024
1,0106,48,5,1220,2254380,0,107114,1,X,08,2024
1,0106,48,5,1220,554274,0,2054,2,X,08,2024
1,0106,49,5,1220,5225,0,177,1,X,08,2024
1,0106,54,5,1220,150930,0,3452,1,X,08,2024
1,0106,54,5,1220,2869,0,28,2,X,08,2024
1,0106,55,5,1220,43220,0,1026,1,X,08,2024
1,0106,56,5,1220,1909078,0,9113,1,X,08,2024
