TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0708,5,,XO,1220,24865,0,74,2,X,01,2024
1,AK,0712,5,,XM,1220,9990,0,1,1,X,01,2024
1,AK,0901,5,,XO,1220,20374,0,392,1,X,01,2024
1,AK,2006,3,,XC,1220,12373,39,236,1,X,01,2024
1,AK,20XX,3,,XA,1220,40263,1822,408,1,X,01,2024
1,AK,20XX,3,,XA,1220,48591,81,902,2,X,01,2024
1,AK,20XX,3,,XC,1220,244593,685,4751,1,X,01,2024
1,AK,20XX,3,,XC,1220,9288,134,74,2,X,01,2024
1,AK,20XX,3,,XM,1220,17510,1271,276,1,X,01,2024
1,AK,20XX,3,,XO,1220,9210,1053,357,1,X,01,2024
1,AK,20XX,3,,XO,1220,4621,5,117,2,X,01,2024
1,AK,20XX,3,,XQ,1220,4030,71,74,1,X,01,2024
1,AK,20XX,8,,XC,1220,33343,0,222,1,X,01,2024
1,AK,2304,5,CM,,2010,3462,0,0,2,0,01,2024
1,AK,2304,5,CO,,2010,24106,0,0,1,0,01,2024
1,AK,2304,5,CO,,2010,67133,0,0,2,0,01,2024
1,AK,2304,5,DG,,2010,16604,0,0,1,0,01,2024
1,AK,2304,5,DG,,2010,3148,0,0,2,0,01,2024
1,AK,2304,5,GT,,2010,164166,0,0,1,0,01,2024
1,AK,2304,5,JA,,2010,181796,0,0,1,0,01,2024
1,AK,2304,5,MX,,2010,44351,0,0,1,0,01,2024
1,AK,2304,5,NL,,2010,106275,0,0,1,0,01,2024
1,AK,2304,5,NL,,2010,788092,0,0,2,0,01,2024
1,AK,2304,5,PU,,2010,29124,0,0,1,0,01,2024
1,AK,2304,5,SL,,2010,8590,0,0,1,0,01,2024
1,AK,2304,5,SL,,2010,2848,0,0,2,0,01,2024
1,AK,2304,5,TM,,2010,7513,0,0,2,0,01,2024
1,AK,2304,5,VE,,2010,31431,0,0,1,0,01,2024
1,AK,2304,6,CO,,2010,55723,0,0,1,0,01,2024
1,AK,2304,8,AG,,2010,5066,0,0,1,X,01,2024
1,AK,2304,8,CO,,2010,14060,0,0,1,X,01,2024
1,AK,2305,5,CO,,2010,12654,0,0,1,0,01,2024
1,AK,2305,5,JA,,2010,37867,0,0,1,0,01,2024
1,AK,2305,5,JA,,2010,10829,0,0,2,0,01,2024
1,AK,2305,5,MX,,2010,3165,0,0,1,0,01,2024
1,AK,2305,5,TB,,2010,24124,0,0,1,1,01,2024
1,AK,2305,5,TM,,2010,42274,0,0,1,0,01,2024
1,AK,2305,5,TM,,2010,54660,0,0,2,0,01,2024
1,AK,2402,5,CH,,2010,3612,0,0,1,0,01,2024
1,AK,3004,5,,XC,1220,650202,0,9852,1,X,01,2024
1,AK,3004,5,,XC,1220,8599,0,148,2,X,01,2024
1,AK,3009,5,,XC,1220,1180998,0,8015,1,X,01,2024
1,AK,3009,5,,XC,1220,283914,0,5592,2,X,01,2024
1,AK,3023,5,,XC,1220,460116,0,4552,1,X,01,2024
1,AK,30XX,3,,XC,1220,1507574,16743,446,1,X,01,2024
1,AK,3103,5,,XC,1220,7413825,0,73407,1,X,01,2024
1,AK,3104,5,,XY,1220,1185985,0,22874,1,X,01,2024
1,AK,3104,5,,XY,1220,78968,0,1006,2,X,01,2024
1,AK,3104,8,,XY,1220,67173,0,744,2,X,01,2024
1,AK,3106,5,,XC,1220,403045,0,7528,1,X,01,2024
1,AK,31XX,3,,XY,1220,205721,880,2036,1,X,01,2024
1,AK,3302,5,,XC,1220,141944,0,2783,2,X,01,2024
1,AK,3310,5,,XA,1220,7273,0,142,1,X,01,2024
1,AK,3310,5,,XA,1220,3313,0,64,2,X,01,2024
1,AK,3401,5,,XM,1220,5178,0,359,1,X,01,2024
1,AK,3501,3,,XM,1220,4548,15,89,1,X,01,2024
1,AK,35XX,3,,XA,1220,15494,13,635,1,X,01,2024
1,AK,35XX,3,,XA,1220,3204,30,137,2,X,01,2024
1,AK,3801,5,,XO,1220,10876,0,508,1,X,01,2024
1,AK,3802,5,,XO,1220,50372,0,987,1,X,01,2024
1,AK,3803,5,,XO,1220,19480,0,19,2,X,01,2024
1,AK,4101,3,,XA,1220,5015,4,108,1,X,01,2024
1,AK,4101,3,,XC,1220,2730,6,53,1,X,01,2024
1,AK,4101,3,,XO,1220,3432,116,0,1,X,01,2024
