TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,518642,0,7588,1,X,01,2024
1,AK,15,5,,XC,1220,805901,0,6468,1,X,01,2024
1,AK,16,5,,XC,1220,70462,0,1041,1,X,01,2024
1,AK,17,5,JA,,2010,158868,0,0,1,0,01,2024
1,AK,23,5,,XC,1220,792588,0,5264,1,X,01,2024
1,AK,25,5,,XC,1220,6507,0,127,1,X,01,2024
1,AK,27,5,,XC,1220,7819620,0,80989,1,X,01,2024
1,AK,28,5,MX,,2010,15176,0,0,1,0,01,2024
1,AK,34,5,TM,,2010,3911,0,0,1,0,01,2024
1,AK,34,5,TM,,2010,13989,0,0,2,0,01,2024
1,AK,38,5,,XC,1220,3609,0,98,1,X,01,2024
1,AK,38,5,TM,,2010,38363,0,0,1,0,01,2024
1,AK,38,5,TM,,2010,8177,0,0,2,0,01,2024
1,AK,39,5,,XC,1220,2613,0,51,1,X,01,2024
1,AK,39,5,CO,,2010,12654,0,0,1,0,01,2024
1,AK,39,5,CO,,2010,59164,0,0,2,0,01,2024
1,AK,39,5,GT,,2010,4342,0,0,1,0,01,2024
1,AK,39,5,PU,,2010,21230,0,0,1,0,01,2024
1,AK,39,5,TM,,2010,22134,0,0,2,0,01,2024
1,AK,40,5,VE,,2010,28535,0,0,1,0,01,2024
1,AK,44,5,,XO,1220,13582,0,554,1,X,01,2024
1,AK,44,6,CO,,2010,55723,0,0,1,0,01,2024
1,AK,48,5,,XC,1220,2681,0,52,1,X,01,2024
1,AK,48,5,JA,,2010,16428,0,0,1,0,01,2024
1,AK,48,5,MX,,2010,4990,0,0,1,0,01,2024
1,AK,49,3,,XO,1220,3432,116,0,1,X,01,2024
1,AK,49,5,CO,,2010,7969,0,0,2,0,01,2024
1,AK,56,5,NL,,2010,465115,0,0,2,0,01,2024
1,AK,63,3,,XM,1220,9742,1114,134,1,X,01,2024
1,AK,63,3,,XO,1220,9210,1053,357,1,X,01,2024
1,AK,63,5,,XM,1220,5178,0,359,1,X,01,2024
1,AK,63,5,TM,,2010,10360,0,0,2,0,01,2024
1,AK,72,5,CO,,2010,24106,0,0,1,0,01,2024
1,AK,72,5,NL,,2010,6363,0,0,1,0,01,2024
1,AK,73,3,,XC,1220,3470,8,96,1,X,01,2024
1,AK,73,5,,XA,1220,3313,0,64,2,X,01,2024
1,AK,73,5,,XC,1220,425858,0,8375,2,X,01,2024
1,AK,73,5,MX,,2010,20639,0,0,1,0,01,2024
1,AK,73,5,PU,,2010,7894,0,0,1,0,01,2024
1,AK,73,5,SL,,2010,8590,0,0,1,0,01,2024
1,AK,76,5,NL,,2010,99912,0,0,1,0,01,2024
1,AK,82,5,,XY,1220,3755,0,73,1,X,01,2024
1,AK,82,5,CH,,2010,3612,0,0,1,0,01,2024
1,AK,82,5,DG,,2010,2700,0,0,1,0,01,2024
1,AK,83,5,CM,,2010,3462,0,0,2,0,01,2024
1,AK,84,3,,XA,1220,3220,8,296,1,X,01,2024
1,AK,84,3,,XA,1220,3204,30,137,2,X,01,2024
1,AK,84,3,,XC,1220,33968,571,727,1,X,01,2024
1,AK,84,3,,XM,1220,2903,155,64,1,X,01,2024
1,AK,84,5,,XO,1220,50372,0,987,1,X,01,2024
1,AK,84,5,,XO,1220,19480,0,19,2,X,01,2024
1,AK,84,5,,XY,1220,921196,0,16129,1,X,01,2024
1,AK,84,5,,XY,1220,58476,0,396,2,X,01,2024
1,AK,84,5,MX,,2010,3165,0,0,1,0,01,2024
1,AK,84,5,NL,,2010,128615,0,0,2,0,01,2024
1,AK,84,5,TB,,2010,3330,0,0,1,1,01,2024
1,AK,85,3,,XA,1220,21348,34,346,1,X,01,2024
1,AK,85,3,,XC,1220,14632,42,283,1,X,01,2024
1,AK,85,5,,XA,1220,7273,0,142,1,X,01,2024
1,AK,85,5,,XO,1220,17668,0,346,1,X,01,2024
1,AK,85,5,,XY,1220,78122,0,3352,1,X,01,2024
1,AK,85,5,DG,,2010,13904,0,0,1,0,01,2024
