TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,40,5,1220,2885,0,70,2,X,01,2024
1,0101,44,5,1220,3442,0,67,1,X,01,2024
1,0101,44,5,1220,4926,0,191,2,X,01,2024
1,0101,63,5,1220,4078,0,91,2,X,01,2024
1,0101,72,6,1220,123502,0,4838,1,X,01,2024
1,0101,73,6,1220,5733,0,409,1,X,01,2024
1,0101,84,5,1220,8708,0,134,2,X,01,2024
1,0101,85,5,1220,12146,0,134,1,X,01,2024
1,0101,85,5,1220,5982,0,170,2,X,01,2024
1,0101,89,8,1220,138117,0,1367,1,X,01,2024
1,0101,90,5,1220,14422,0,256,1,X,01,2024
1,0101,90,5,1220,10496,0,268,2,X,01,2024
1,0101,94,5,1220,3008,0,181,2,X,01,2024
1,0102,72,6,1220,31461,0,297,1,X,01,2024
1,0103,39,5,1220,10312,0,351,1,X,01,2024
1,0103,40,5,1220,15574,0,278,1,X,01,2024
1,0103,73,5,1220,9264,0,69,2,X,01,2024
1,0103,84,5,1220,30949,0,28,1,X,01,2024
1,0103,84,5,1220,56701,0,51,2,X,01,2024
1,0103,85,5,1220,8088,0,6,1,X,01,2024
1,0103,85,5,1220,31759,0,24,2,X,01,2024
1,0103,87,5,1220,64520,0,516,2,X,01,2024
1,0103,90,5,1220,3854,0,3,1,X,01,2024
1,0104,01,5,1220,226640,0,4335,1,X,01,2024
1,0104,10,6,1220,122510,0,2398,1,X,01,2024
1,0104,19,5,1220,317057,0,29828,1,X,01,2024
1,0104,21,5,1220,93060,0,93,1,X,01,2024
1,0104,25,5,1220,9270,0,181,1,X,01,2024
1,0104,31,5,1220,26061,0,3272,1,X,01,2024
1,0104,32,5,1220,3051,0,107,2,X,01,2024
1,0104,34,5,1220,12433,0,469,1,X,01,2024
1,0104,38,5,1220,28302,0,639,1,X,01,2024
1,0104,39,5,1220,31851,0,1000,1,X,01,2024
1,0104,39,5,1220,18990,0,646,2,X,01,2024
1,0104,44,5,1220,11850796,0,423292,1,X,01,2024
1,0104,44,5,1220,92304,0,913,2,X,01,2024
1,0104,44,6,1220,3395,0,74,1,X,01,2024
1,0104,47,5,1220,547769,0,10066,1,X,01,2024
1,0104,48,5,1220,8880911,0,490150,1,X,01,2024
1,0104,54,5,1220,365827,0,4429,1,X,01,2024
1,0104,54,5,1220,24321,0,347,2,X,01,2024
1,0104,55,5,1220,521819,0,5852,1,X,01,2024
1,0104,55,5,1220,12390,0,122,2,X,01,2024
1,0104,56,5,1220,20091,0,268,1,X,01,2024
1,0104,57,5,1220,6043,0,130,1,X,01,2024
1,0104,68,5,1220,486639,0,23152,1,X,01,2024
1,0104,69,5,1220,10045,0,292,1,X,01,2024
1,0104,72,5,1220,35167,0,2255,1,X,01,2024
1,0104,72,6,1220,868779,0,16442,1,X,01,2024
1,0104,73,5,1220,64140,0,3244,1,X,01,2024
1,0104,73,5,1220,11659,0,228,2,X,01,2024
1,0104,73,6,1220,257077,0,8632,1,X,01,2024
1,0104,74,5,1220,116975,0,1194,1,X,01,2024
1,0104,76,5,1220,312371,0,27967,1,X,01,2024
1,0104,82,5,1220,22262,0,503,1,X,01,2024
1,0104,82,5,1220,3140,0,64,2,X,01,2024
1,0104,83,5,1220,20465,0,401,1,X,01,2024
1,0104,84,5,1220,3284,0,97,1,X,01,2024
1,0104,84,5,1220,1193917,0,32237,2,X,01,2024
1,0104,85,5,1220,10061,0,292,1,X,01,2024
1,0104,85,5,1220,22871,0,514,2,X,01,2024
1,0104,86,5,1220,291062,0,297,1,X,01,2024
1,0104,87,5,1220,1239181,0,29584,1,X,01,2024
1,0104,87,5,1220,11183,0,326,2,X,01,2024
1,0104,88,5,1220,61646,0,1208,1,X,01,2024
1,0104,88,5,1220,338451,0,3347,2,X,01,2024
1,0104,90,5,1220,2793,0,71,1,X,01,2024
1,0104,90,5,1220,2923,0,73,2,X,01,2024
1,0104,94,5,1220,54879,0,1649,1,X,01,2024
1,0104,94,5,1220,3591,0,134,2,X,01,2024
1,0104,95,5,1220,17974,0,523,2,X,01,2024
1,0105,25,6,1220,26703,0,222,1,X,01,2024
1,0105,25,6,1220,1337631,0,126302,2,X,01,2024
1,0105,44,6,1220,895467,0,18870,1,X,01,2024
1,0105,54,5,1220,12666,0,528,1,X,01,2024
1,0105,59,5,1220,77452,0,945,1,X,01,2024
1,0105,63,5,1220,3355,0,65,1,X,01,2024
1,0105,73,5,1220,8158,0,1013,1,X,01,2024
1,0106,03,5,1220,690378,0,11116,1,X,01,2024
1,0106,03,5,1220,196232,0,2689,2,X,01,2024
1,0106,05,5,1220,106286,0,7372,1,X,01,2024
1,0106,06,5,1220,77120,0,381,1,X,01,2024
1,0106,06,5,1220,1413620,0,1361,2,X,01,2024
1,0106,07,5,1220,300986,0,12795,1,X,01,2024
1,0106,08,5,1220,137117,0,2688,1,X,01,2024
1,0106,08,5,1220,1849792,0,36010,2,X,01,2024
1,0106,10,5,1220,42492,0,924,1,X,01,2024
1,0106,11,5,1220,103995,0,12466,1,X,01,2024
1,0106,12,5,1220,266684,0,30178,1,X,01,2024
1,0106,12,5,1220,59696,0,53,2,X,01,2024
1,0106,15,5,1220,578802,0,4254,1,X,01,2024
1,0106,15,5,1220,28143,0,3352,2,X,01,2024
1,0106,16,5,1220,108425,0,110,1,X,01,2024
1,0106,16,5,1220,222827,0,3227,2,X,01,2024
1,0106,17,5,1220,45482,0,891,1,X,01,2024
1,0106,17,5,1220,38094,0,37,2,X,01,2024
1,0106,18,5,1220,119514,0,7998,1,X,01,2024
1,0106,19,5,1220,1728977,0,103934,1,X,01,2024
1,0106,20,5,1220,644709,0,46513,1,X,01,2024
1,0106,20,5,1220,70645,0,147,2,X,01,2024
1,0106,21,5,1220,217403,0,5156,1,X,01,2024
1,0106,21,5,1220,23132,0,372,2,X,01,2024
1,0106,22,5,1220,118122,0,5060,1,X,01,2024
1,0106,22,5,1220,8260,0,641,2,X,01,2024
1,0106,23,5,1220,304231,0,4972,1,X,01,2024
1,0106,25,5,1220,91115,0,6435,1,X,01,2024
1,0106,25,5,1220,6194,0,5,2,X,01,2024
1,0106,27,5,1220,1496288,0,27939,1,X,01,2024
1,0106,28,5,1220,710714,0,52329,1,X,01,2024
1,0106,29,5,1220,124074,0,2087,1,X,01,2024
1,0106,29,5,1220,133784,0,7176,2,X,01,2024
1,0106,31,5,1220,25931,0,3256,1,X,01,2024
1,0106,32,5,1220,257441,0,8815,1,X,01,2024
1,0106,32,5,1220,67010,0,1663,2,X,01,2024
1,0106,33,5,1220,505249,0,5010,1,X,01,2024
1,0106,33,5,1220,463419,0,8964,2,X,01,2024
1,0106,34,5,1220,270363,0,13411,1,X,01,2024
1,0106,35,5,1220,5102,0,63,1,X,01,2024
1,0106,38,5,1220,506475,0,13803,1,X,01,2024
1,0106,38,5,1220,14076,0,507,2,X,01,2024
1,0106,39,5,1220,6182621,0,183655,1,X,01,2024
1,0106,39,5,1220,352613,0,11837,2,X,01,2024
1,0106,40,5,1220,8199529,0,481949,1,X,01,2024
1,0106,40,5,1220,247909,0,15293,2,X,01,2024
1,0106,44,5,1220,1785337,0,73412,1,X,01,2024
1,0106,44,5,1220,47370,0,4039,2,X,01,2024
1,0106,47,5,1220,136386,0,2854,1,X,01,2024
1,0106,48,5,1220,4268196,0,152642,1,X,01,2024
1,0106,48,5,1220,254050,0,1579,2,X,01,2024
1,0106,52,5,1220,27106,0,671,1,X,01,2024
1,0106,54,5,1220,31612,0,501,1,X,01,2024
1,0106,54,5,1220,103390,0,175,2,X,01,2024
1,0106,55,5,1220,3180,0,113,2,X,01,2024
1,0106,56,5,1220,854010,0,5576,1,X,01,2024
1,0106,57,5,1220,214139,0,5085,1,X,01,2024
1,0106,58,5,1220,7192,0,215,2,X,01,2024
1,0106,59,5,1220,148244,0,7323,1,X,01,2024
1,0106,62,5,1220,3236,0,2,1,X,01,2024
1,0106,62,5,1220,32692,0,308,2,X,01,2024
1,0106,63,5,1220,52700,0,3382,1,X,01,2024
1,0106,68,5,1220,1358006,0,58325,1,X,01,2024
1,0106,68,5,1220,23314,0,2944,2,X,01,2024
1,0106,68,8,1220,4614,0,74,1,X,01,2024
1,0106,70,5,1220,324145,0,9426,1,X,01,2024
1,0106,70,5,1220,4412,0,76,2,X,01,2024
1,0106,71,5,1220,10677,0,201,1,X,01,2024
1,0106,72,5,1220,812423,0,21158,1,X,01,2024
1,0106,72,5,1220,192059,0,5360,2,X,01,2024
1,0106,73,5,1220,5226093,0,339453,1,X,01,2024
1,0106,73,5,1220,126714,0,1660,2,X,01,2024
1,0106,74,5,1220,45927,0,20,1,X,01,2024
1,0106,76,5,1220,744132,0,66430,1,X,01,2024
1,0106,80,5,1220,95681,0,120,2,X,01,2024
1,0106,82,5,1220,28833,0,644,1,X,01,2024
1,0106,82,5,1220,21314,0,279,2,X,01,2024
1,0106,83,5,1220,80173,0,1866,1,X,01,2024
1,0106,83,5,1220,9302,0,219,2,X,01,2024
1,0106,84,5,1220,6500014,0,127609,1,X,01,2024
1,0106,84,5,1220,5544795,0,107618,2,X,01,2024
1,0106,85,5,1220,3559855,0,48013,1,X,01,2024
1,0106,85,5,1220,239343,0,5517,2,X,01,2024
1,0106,86,5,1220,380672,0,4624,1,X,01,2024
1,0106,87,5,1220,9063993,0,127513,1,X,01,2024
1,0106,87,5,1220,2637879,0,39570,2,X,01,2024
1,0106,89,5,1220,974362,0,8671,1,X,01,2024
1,0106,89,5,1220,472374,0,5264,2,X,01,2024
1,0106,90,5,1220,2861151,0,20326,1,X,01,2024
1,0106,90,5,1220,183912,0,2572,2,X,01,2024
1,0106,93,5,1220,647565,0,74,1,X,01,2024
1,0106,93,5,1220,685116,0,74,2,X,01,2024
1,0106,94,5,1220,930825,0,17649,1,X,01,2024
1,0106,94,5,1220,112889,0,2820,2,X,01,2024
1,0106,95,5,1220,24439,0,616,1,X,01,2024
1,0106,95,5,1220,15342,0,300,2,X,01,2024
1,0106,96,5,1220,421843,0,15681,1,X,01,2024
1,0106,96,5,1220,21195,0,100,2,X,01,2024
1,0107,11,5,1220,69059,0,10732,1,X,01,2024
1,0107,20,5,1220,26198,0,514,1,X,01,2024
1,0107,39,5,1220,29874,0,891,1,X,01,2024
1,0107,44,5,1220,368072,0,3638,1,X,01,2024
1,0107,47,5,1220,2930,0,41,1,X,01,2024
1,0107,73,5,1220,11658,0,472,1,X,01,2024
1,0107,85,5,1220,13858,0,235,1,X,01,2024
1,0108,07,5,1220,10311,0,397,1,X,01,2024
1,0108,20,5,1220,77919,0,1527,1,X,01,2024
1,0108,27,5,1220,730265,0,71406,1,X,01,2024
1,0108,35,5,1220,4116,0,119,1,X,01,2024
1,0108,39,5,1220,74976,0,945,1,X,01,2024
1,0108,44,5,1220,692967,0,13116,1,X,01,2024
1,0108,44,6,1220,1336170,0,12352,1,X,01,2024
1,0108,48,5,1220,1097722,0,30405,1,X,01,2024
1,0108,72,5,1220,34526,0,2976,1,X,01,2024
1,0108,84,5,1220,14050,0,417,1,X,01,2024
1,0108,84,5,1220,51173,0,2044,2,X,01,2024
1,0108,87,5,1220,6068,0,101,1,X,01,2024
1,0108,98,5,1220,47325,0,926,1,X,01,2024
1,0109,28,6,1220,33257,0,3352,1,X,01,2024
1,0109,34,5,1220,4179,0,157,1,X,01,2024
1,0109,39,5,1220,5329,0,178,1,X,01,2024
1,0109,44,5,1220,50480,0,1905,1,X,01,2024
1,0109,48,5,1220,24739,0,720,1,X,01,2024
1,0109,54,5,1220,51135,0,2724,1,X,01,2024
1,0109,84,5,1220,2635,0,78,1,X,01,2024
1,0109,84,5,1220,61694,0,1796,2,X,01,2024
1,0109,85,5,1220,15804,0,372,1,X,01,2024
1,0109,87,5,1220,36015,0,706,1,X,01,2024
1,0109,95,5,1220,3802,0,139,2,X,01,2024
1,0110,38,5,1220,16172,0,575,1,X,01,2024
1,0110,44,5,1220,193218,0,3254,1,X,01,2024
1,0110,47,5,1220,20142,0,330,1,X,01,2024
1,0110,48,5,1220,1512397,0,30491,1,X,01,2024
1,0110,72,5,1220,25932,0,2232,1,X,01,2024
1,0110,84,5,1220,53068,0,3352,1,X,01,2024
1,0110,87,5,1220,4019,0,67,2,X,01,2024
1,0111,32,5,1220,9734,0,26,1,X,01,2024
1,0111,39,5,1220,28707,0,75,1,X,01,2024
1,0111,44,5,1220,23867,0,46,1,X,01,2024
1,0111,84,5,1220,11476,0,131,2,X,01,2024
1,0115,01,5,1220,5060,0,97,1,X,01,2024
1,0115,03,5,1220,5550329,0,144200,1,X,01,2024
1,0115,03,5,1220,82478,0,5331,2,X,01,2024
1,0115,05,5,1220,780362,0,57731,1,X,01,2024
1,0115,07,5,1220,123268,0,4751,1,X,01,2024
1,0115,08,5,1220,94605,0,13751,1,X,01,2024
1,0115,08,5,1220,346451,0,11614,2,X,01,2024
1,0115,09,5,1220,5108,0,81,1,X,01,2024
1,0115,09,5,1220,87027,0,2676,2,X,01,2024
1,0115,11,5,1220,22307,0,3466,1,X,01,2024
1,0115,12,5,1220,36251,0,3359,1,X,01,2024
1,0115,12,5,1220,5825,0,3,2,X,01,2024
1,0115,13,5,1220,12330,0,242,1,X,01,2024
1,0115,13,5,1220,4613,0,71,2,X,01,2024
1,0115,15,5,1220,12300,0,372,1,X,01,2024
1,0115,15,5,1220,3206,0,34,2,X,01,2024
1,0115,16,5,1220,56629,0,55,1,X,01,2024
1,0115,17,5,1220,45537,0,3014,1,X,01,2024
1,0115,17,5,1220,160305,0,3141,2,X,01,2024
1,0115,18,5,1220,148149,0,4576,1,X,01,2024
1,0115,19,5,1220,211267,0,11392,1,X,01,2024
1,0115,20,5,1220,191489,0,21488,1,X,01,2024
1,0115,20,5,1220,11806,0,1415,2,X,01,2024
1,0115,21,5,1220,169787,0,12071,1,X,01,2024
1,0115,22,5,1220,30106,0,2336,1,X,01,2024
1,0115,22,5,1220,15669,0,1048,2,X,01,2024
1,0115,23,5,1220,63376,0,4719,1,X,01,2024
1,0115,25,5,1220,119696,0,999,1,X,01,2024
1,0115,27,5,1220,264164,0,14409,1,X,01,2024
1,0115,27,6,1220,7541046,0,6704,1,X,01,2024
1,0115,27,7,1220,4022559,0,0,1,X,01,2024
1,0115,27,8,1220,3044176,0,0,1,X,01,2024
1,0115,28,5,1220,293724,0,16049,1,X,01,2024
1,0115,28,5,1220,105428,0,3533,2,X,01,2024
1,0115,28,6,1220,55291,0,3352,1,X,01,2024
1,0115,29,5,1220,199453,0,17499,1,X,01,2024
1,0115,29,5,1220,172482,0,8351,2,X,01,2024
1,0115,31,5,1220,53554,0,886,1,X,01,2024
1,0115,32,5,1220,566889,0,22448,1,X,01,2024
1,0115,32,5,1220,67925,0,4116,2,X,01,2024
1,0115,33,5,1220,275517,0,6325,1,X,01,2024
1,0115,33,5,1220,65771,0,2219,2,X,01,2024
1,0115,34,5,1220,249504,0,11658,1,X,01,2024
1,0115,34,5,1220,18364,0,338,2,X,01,2024
1,0115,35,5,1220,174499,0,4551,1,X,01,2024
1,0115,38,5,1220,1147370,0,36711,1,X,01,2024
1,0115,38,5,1220,82897,0,6806,2,X,01,2024
1,0115,38,6,1220,283927,0,3352,1,X,01,2024
1,0115,39,5,1220,2972213,0,103976,1,X,01,2024
1,0115,39,5,1220,285539,0,9512,2,X,01,2024
1,0115,39,6,1220,5808,0,113,2,X,01,2024
1,0115,40,5,1220,955167,0,43986,1,X,01,2024
1,0115,40,5,1220,150107,0,7020,2,X,01,2024
1,0115,41,5,1220,2638,0,52,1,X,01,2024
1,0115,41,5,1220,97896,0,1803,2,X,01,2024
1,0115,42,5,1220,23275,0,456,1,X,01,2024
1,0115,42,5,1220,37361,0,753,2,X,01,2024
1,0115,43,5,1220,7460,0,62,2,X,01,2024
1,0115,44,5,1220,547211,0,22959,1,X,01,2024
1,0115,47,5,1220,556368,0,50510,1,X,01,2024
1,0115,47,6,1220,1446300,0,104272,1,X,01,2024
1,0115,48,5,1220,3107260,0,254224,1,X,01,2024
1,0115,48,5,1220,3568,0,70,2,X,01,2024
1,0115,49,5,1220,135933,0,4127,1,X,01,2024
1,0115,49,5,1220,7820,0,94,2,X,01,2024
1,0115,53,5,1220,2915,0,58,1,X,01,2024
1,0115,54,5,1220,95681,0,2438,1,X,01,2024
1,0115,54,5,1220,29589,0,2693,2,X,01,2024
1,0115,55,5,1220,11847,0,417,2,X,01,2024
1,0115,56,5,1220,187593,0,3884,1,X,01,2024
