TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01,5,,XC,1220,78594,0,3742,2,X,07,2024
1,AK,03,1,,XB,1220,228599,67853,5008,1,X,07,2024
1,AK,03,1,,XC,1220,12968566,1259707,179692,1,X,07,2024
1,AK,03,5,,XC,1220,4361100,0,63047,1,X,07,2024
1,AK,03,5,,XY,1220,7655865,0,104938,1,X,07,2024
1,AK,05,5,,XC,1220,88410,0,1732,1,X,07,2024
1,AK,15,5,,XC,1220,404498,0,3994,1,X,07,2024
1,AK,16,3,,XC,1220,2812,230,55,1,X,07,2024
1,AK,16,5,,XC,1220,506139,0,5105,1,X,07,2024
1,AK,22,3,,XC,1220,30009,11268,144,1,X,07,2024
1,AK,23,5,,XC,1220,592718,0,3300,1,X,07,2024
1,AK,26,1,,XC,1220,74177872,39332668,145834,1,X,07,2024
1,AK,27,5,,XC,1220,5257506,0,62391,1,X,07,2024
1,AK,27,5,,XY,1220,66177,0,655,1,X,07,2024
1,AK,29,5,MX,,2010,42300,0,0,2,0,07,2024
1,AK,32,5,MX,,2010,3165,0,0,1,0,07,2024
1,AK,32,5,MX,,2010,15140,0,0,2,0,07,2024
1,AK,34,5,,XY,1220,31347,0,614,1,X,07,2024
1,AK,38,5,,XS,1220,182063,0,1802,1,X,07,2024
1,AK,38,5,BC,,2010,8877,0,0,1,0,07,2024
1,AK,38,5,NL,,2010,160828,0,0,2,0,07,2024
1,AK,38,6,NL,,2010,323346,0,0,2,0,07,2024
1,AK,39,5,,XC,1220,45052,0,446,1,X,07,2024
1,AK,39,5,,XY,1220,3460,0,134,1,X,07,2024
1,AK,39,5,GT,,2010,38178,0,0,2,0,07,2024
1,AK,39,5,JA,,2010,9352,0,0,1,0,07,2024
1,AK,39,5,MX,,2010,146319,0,0,1,0,07,2024
1,AK,39,5,SL,,2010,246029,0,0,1,0,07,2024
1,AK,39,5,TL,,2010,16733,0,0,2,0,07,2024
1,AK,40,5,DF,,2010,2867,0,0,2,0,07,2024
1,AK,44,1,,XC,1220,250625,1576140,2481,1,X,07,2024
1,AK,44,5,,XC,1220,95004,0,1144,1,X,07,2024
1,AK,47,5,MX,,2010,15794,0,0,1,0,07,2024
1,AK,49,3,,XC,1220,5025,12,98,1,X,07,2024
1,AK,59,5,GT,,2010,22682,0,0,1,0,07,2024
1,AK,63,3,,XO,1220,5137,351,154,1,X,07,2024
1,AK,63,5,,XA,1220,22923,0,446,1,X,07,2024
1,AK,63,5,,XY,1220,47503,0,2044,1,X,07,2024
1,AK,72,5,AG,,2010,35261,0,0,1,0,07,2024
1,AK,72,5,BC,,2010,6468,0,0,1,0,07,2024
1,AK,73,3,XX,,2010,4029,303,0,1,0,07,2024
1,AK,73,5,,XA,1220,4230,0,88,1,X,07,2024
1,AK,73,5,,XC,1220,155632,0,1540,1,X,07,2024
1,AK,73,5,,XC,1220,539083,0,5335,2,X,07,2024
1,AK,73,5,,XO,1220,51332,0,1093,1,X,07,2024
1,AK,73,5,,XY,1220,81788,0,1701,1,X,07,2024
1,AK,73,5,TL,,2010,9057,0,0,1,0,07,2024
1,AK,73,5,TL,,2010,5821,0,0,2,0,07,2024
1,AK,74,5,DF,,2010,6768,0,0,1,0,07,2024
1,AK,76,5,NL,,2010,166464,0,0,1,0,07,2024
1,AK,82,3,,XC,1220,10144,83,200,1,X,07,2024
1,AK,82,5,CH,,2010,5445,0,0,1,0,07,2024
1,AK,83,3,,XC,1220,9974,9,190,1,X,07,2024
1,AK,84,3,,XA,1220,44292,250,868,1,X,07,2024
1,AK,84,3,,XC,1220,48874,52,958,1,X,07,2024
1,AK,84,3,,XO,1220,5736,36,126,1,X,07,2024
1,AK,84,3,,XQ,1220,5706,7,111,2,X,07,2024
1,AK,84,5,,XA,1220,66227,0,72,1,X,07,2024
1,AK,84,5,,XC,1220,3066,0,59,1,X,07,2024
1,AK,84,5,,XO,1220,125603,0,527,2,X,07,2024
1,AK,84,5,,XY,1220,754949,0,13820,1,X,07,2024
1,AK,84,5,,XY,1220,327427,0,5231,2,X,07,2024
1,AK,84,5,CM,,2010,94709,0,0,2,0,07,2024
1,AK,84,5,DG,,2010,43402,0,0,2,0,07,2024
1,AK,84,5,GT,,2010,4163,0,0,1,0,07,2024
