TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,1,,XC,1220,38277,17041,750,1,X,06,2024
1,AK,03,5,,XC,1220,779152,0,11623,1,X,06,2024
1,AK,03,5,,XY,1220,4765842,0,65367,1,X,06,2024
1,AK,05,5,,XC,1220,315534,0,4925,1,X,06,2024
1,AK,15,5,,XC,1220,242256,0,2397,1,X,06,2024
1,AK,23,5,,XC,1220,197664,0,1229,1,X,06,2024
1,AK,27,5,,XC,1220,5881582,0,67633,1,X,06,2024
1,AK,34,5,PU,,2010,4401,0,0,1,0,06,2024
1,AK,38,5,NL,,2010,641689,0,0,2,0,06,2024
1,AK,39,3,,XQ,1220,18459,119,218,2,X,06,2024
1,AK,39,5,MX,,2010,27366,0,0,1,0,06,2024
1,AK,39,5,NL,,2010,12202,0,0,2,0,06,2024
1,AK,40,3,,XC,1220,7642,8,147,1,X,06,2024
1,AK,44,1,,XC,1220,2680468,9071848,26538,1,X,06,2024
1,AK,48,3,,XQ,1220,3078,499,80,1,X,06,2024
1,AK,48,5,GT,,2010,38054,0,0,1,0,06,2024
1,AK,48,5,QT,,2010,8451,0,0,1,0,06,2024
1,AK,54,5,GT,,2010,5094,0,0,2,0,06,2024
1,AK,60,5,CO,,2010,126621,0,0,1,0,06,2024
1,AK,63,3,,XA,1220,9714,833,355,1,X,06,2024
1,AK,63,3,,XC,1220,3200,92,62,1,X,06,2024
1,AK,63,3,,XQ,1220,6125,701,119,1,X,06,2024
1,AK,70,3,,XQ,1220,4313,37,65,1,X,06,2024
1,AK,70,5,,XC,1220,6890,0,164,2,X,06,2024
1,AK,72,5,CO,,2010,34194,0,0,1,0,06,2024
1,AK,73,5,,XC,1220,311468,0,3082,1,X,06,2024
1,AK,73,5,,XC,1220,406078,0,4019,2,X,06,2024
1,AK,73,5,,XY,1220,5993,0,117,1,X,06,2024
1,AK,73,5,TL,,2010,11483,0,0,1,0,06,2024
1,AK,73,5,TL,,2010,5519,0,0,2,0,06,2024
1,AK,76,5,,XC,1220,3823,0,75,1,X,06,2024
1,AK,82,3,,XA,1220,3840,114,75,1,X,06,2024
1,AK,82,5,CH,,2010,9000,0,0,1,0,06,2024
1,AK,83,3,,XA,1220,3114,3,72,1,X,06,2024
1,AK,83,5,,XC,1220,9227,0,182,1,X,06,2024
1,AK,84,3,,XA,1220,8157,40,159,1,X,06,2024
1,AK,84,3,,XC,1220,15441,56,574,1,X,06,2024
1,AK,84,3,,XO,1220,19252,113,519,1,X,06,2024
1,AK,84,3,,XQ,1220,34544,15,611,1,X,06,2024
1,AK,84,3,,XQ,1220,14741,51,149,2,X,06,2024
1,AK,84,3,XX,,2010,2625,1,0,1,0,06,2024
1,AK,84,5,,XA,1220,4498,0,21,2,X,06,2024
1,AK,84,5,,XC,1220,5058,0,36,2,X,06,2024
1,AK,84,5,,XO,1220,59597,0,72,2,X,06,2024
1,AK,84,5,,XY,1220,2091297,0,31097,1,X,06,2024
1,AK,84,5,,XY,1220,162554,0,2127,2,X,06,2024
1,AK,84,5,CM,,2010,28446,0,0,2,0,06,2024
1,AK,84,5,JA,,2010,17977,0,0,2,0,06,2024
1,AK,84,5,NL,,2010,12637,0,0,1,0,06,2024
1,AK,84,5,NL,,2010,25000,0,0,1,1,06,2024
1,AK,84,5,NL,,2010,158999,0,0,2,0,06,2024
1,AK,84,5,PU,,2010,39276,0,0,2,0,06,2024
1,AK,84,5,TM,,2010,4999,0,0,1,0,06,2024
1,AK,85,3,,XA,1220,3214,5,72,2,X,06,2024
1,AK,85,3,,XC,1220,83865,44,1646,1,X,06,2024
1,AK,85,3,,XC,1220,6047,33,87,2,X,06,2024
1,AK,85,3,,XQ,1220,8965,41,601,1,X,06,2024
1,AK,85,5,,XO,1220,6992,0,137,2,X,06,2024
1,AK,85,5,,XY,1220,53897,0,1110,1,X,06,2024
1,AK,85,5,,XY,1220,6135,0,52,2,X,06,2024
1,AK,85,5,QT,,2010,9160,0,0,2,0,06,2024
1,AK,85,5,TL,,2010,16939,0,0,1,0,06,2024
1,AK,86,5,,XY,1220,7068,0,51,1,X,06,2024
1,AK,87,5,,XC,1220,15695,0,155,1,X,06,2024
1,AK,87,5,,XY,1220,9220,0,324,1,X,06,2024
1,AK,87,5,,XY,1220,301488,0,2422,2,X,06,2024
1,AK,87,5,GT,,2010,80737,0,0,1,0,06,2024
1,AK,87,8,TM,,2010,40000,0,0,1,X,06,2024
1,AK,88,3,,XA,1220,68583,249,1212,1,X,06,2024
1,AK,88,3,,XA,1220,649077,260,12725,2,X,06,2024
1,AK,88,3,,XC,1220,58852,165,990,1,X,06,2024
1,AK,88,3,,XM,1220,21683,751,79,1,X,06,2024
1,AK,88,3,,XO,1220,2927,45,72,1,X,06,2024
1,AK,88,3,,XQ,1220,2602,9,110,1,X,06,2024
1,AK,88,5,,XA,1220,32210,0,729,1,X,06,2024
1,AK,88,5,,XC,1220,53394,0,967,1,X,06,2024
1,AK,88,5,,XC,1220,30225,0,592,2,X,06,2024
1,AK,88,5,,XM,1220,5437,0,106,1,X,06,2024
1,AK,88,5,,XY,1220,124635,0,3000,1,X,06,2024
1,AK,89,5,,XC,1220,124609,0,1233,2,X,06,2024
1,AK,90,3,,XA,1220,17565,69,344,2,X,06,2024
1,AK,90,3,,XC,1220,32661,16,637,1,X,06,2024
1,AK,90,3,,XQ,1220,31980,133,626,1,X,06,2024
1,AK,90,3,,XQ,1220,36807,56,324,2,X,06,2024
