TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XY,1220,10290,0,306,1,X,03,2024
1,AK,0901,5,,XO,1220,11957,0,262,2,X,03,2024
1,AK,09XX,3,,XC,1220,355574,1072,8052,1,X,03,2024
1,AK,19XX,1,XX,,2010,18550,13070,0,1,0,03,2024
1,AK,20XX,3,,XA,1220,47636,225,944,1,X,03,2024
1,AK,20XX,3,,XA,1220,133316,814,2508,2,X,03,2024
1,AK,20XX,3,,XC,1220,122236,324,2377,1,X,03,2024
1,AK,20XX,3,,XC,1220,3581,11,88,2,X,03,2024
1,AK,20XX,3,,XM,1220,10045,1000,73,1,X,03,2024
1,AK,20XX,3,,XO,1220,29961,203,424,1,X,03,2024
1,AK,20XX,3,,XO,1220,11130,29,22,2,X,03,2024
1,AK,20XX,3,,XQ,1220,7148,2,139,1,X,03,2024
1,AK,2303,5,MX,,2010,198900,0,0,1,0,03,2024
1,AK,2303,5,MX,,2010,29618,0,0,2,0,03,2024
1,AK,2304,5,CM,,2010,13304,0,0,2,0,03,2024
1,AK,2304,5,CO,,2010,45292,0,0,1,0,03,2024
1,AK,2304,5,CO,,2010,259044,0,0,2,0,03,2024
1,AK,2304,5,DF,,2010,17542,0,0,2,0,03,2024
1,AK,2304,5,GT,,2010,55513,0,0,1,0,03,2024
1,AK,2304,5,JA,,2010,45952,0,0,1,0,03,2024
1,AK,2304,5,MO,,2010,24446,0,0,1,0,03,2024
1,AK,2304,5,MX,,2010,280556,0,0,1,0,03,2024
1,AK,2304,5,NL,,2010,120943,0,0,1,0,03,2024
1,AK,2304,5,NL,,2010,262182,0,0,2,0,03,2024
1,AK,2304,5,TM,,2010,3818,0,0,1,0,03,2024
1,AK,2304,6,NL,,2010,283783,0,0,1,0,03,2024
1,AK,2305,5,JA,,2010,8940,0,0,1,0,03,2024
1,AK,2305,5,JA,,2010,74065,0,0,2,0,03,2024
1,AK,2305,5,TB,,2010,26248,0,0,1,1,03,2024
1,AK,2305,5,TM,,2010,34980,0,0,1,0,03,2024
1,AK,2305,8,TM,,2010,32000,0,0,1,X,03,2024
1,AK,2408,5,CH,,2010,26285,0,0,1,0,03,2024
1,AK,2604,5,SO,,2010,10105,0,0,1,0,03,2024
1,AK,3001,5,,XO,1220,3887,0,1,1,X,03,2024
1,AK,3004,5,,XC,1220,775387,0,12738,1,X,03,2024
1,AK,3004,5,,XC,1220,66304,0,844,2,X,03,2024
1,AK,3004,5,,XO,1220,3887,0,1,1,X,03,2024
1,AK,3009,5,,XC,1220,746656,0,5739,1,X,03,2024
1,AK,3023,5,,XC,1220,652620,0,5623,1,X,03,2024
1,AK,30XX,1,,XC,1220,86903,1099284,860,1,X,03,2024
1,AK,30XX,3,,XC,1220,20801,534,727,1,X,03,2024
1,AK,30XX,3,,XC,1220,10172,75,220,2,X,03,2024
1,AK,3103,5,,XC,1220,5910275,0,58878,1,X,03,2024
1,AK,3104,5,,XY,1220,1284486,0,18983,1,X,03,2024
1,AK,3104,5,,XY,1220,341718,0,3690,2,X,03,2024
1,AK,3106,5,,XC,1220,129696,0,2542,1,X,03,2024
1,AK,3126,5,,XY,1220,875745,0,12472,1,X,03,2024
1,AK,3302,5,,XC,1220,31180,0,611,1,X,03,2024
1,AK,3310,5,,XA,1220,40525,0,40,1,X,03,2024
1,AK,3401,5,,XM,1220,89374,0,1642,1,X,03,2024
1,AK,3403,5,,XS,1220,2743,0,2,1,X,03,2024
1,AK,3501,3,,XA,1220,8568,50,167,1,X,03,2024
1,AK,35XX,3,,XA,1220,7316,66,388,1,X,03,2024
1,AK,3801,5,,XO,1220,9962,0,1,1,X,03,2024
1,AK,3802,5,,XM,1220,6154,0,183,2,X,03,2024
