TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01,5,,XY,1220,119410,0,2340,1,X,05,2024
1,AK,03,5,,XC,1220,1913322,0,28665,1,X,05,2024
1,AK,03,5,,XY,1220,2535942,0,34755,1,X,05,2024
1,AK,05,5,,XC,1220,90111,0,1174,1,X,05,2024
1,AK,15,5,,XC,1220,400692,0,3965,1,X,05,2024
1,AK,22,5,,XA,1220,3791,0,24,1,X,05,2024
1,AK,23,5,,XC,1220,596575,0,2737,1,X,05,2024
1,AK,27,5,,XC,1220,5870792,0,66604,1,X,05,2024
1,AK,28,5,,XY,1220,6522,0,62,1,X,05,2024
1,AK,39,3,,XC,1220,3199,21,75,1,X,05,2024
1,AK,39,5,MX,,2010,3195,0,0,2,0,05,2024
1,AK,39,5,NL,,2010,10446,0,0,2,0,05,2024
1,AK,39,5,TL,,2010,18153,0,0,2,0,05,2024
1,AK,44,5,,XO,1220,4768,0,93,1,X,05,2024
1,AK,54,5,GT,,2010,5094,0,0,2,0,05,2024
1,AK,63,3,,XA,1220,3221,368,113,1,X,05,2024
1,AK,63,3,,XM,1220,3418,83,70,1,X,05,2024
1,AK,63,3,,XO,1220,12952,518,553,1,X,05,2024
1,AK,63,3,,XQ,1220,5087,487,99,1,X,05,2024
1,AK,70,5,,XO,1220,22891,0,448,1,X,05,2024
1,AK,72,1,XX,,2010,2243957,2253960,0,1,0,05,2024
1,AK,72,5,CO,,2010,29258,0,0,1,0,05,2024
1,AK,72,5,SO,,2010,32671,0,0,1,0,05,2024
1,AK,72,6,CO,,2010,105001,0,0,1,0,05,2024
1,AK,73,3,,XC,1220,6038,14,185,1,X,05,2024
1,AK,73,5,,XC,1220,468504,0,4638,1,X,05,2024
1,AK,73,5,,XC,1220,422075,0,4232,2,X,05,2024
1,AK,73,5,QT,,2010,9372,0,0,1,0,05,2024
1,AK,73,5,SL,,2010,20545,0,0,1,0,05,2024
1,AK,82,5,,XY,1220,4329,0,84,1,X,05,2024
1,AK,82,5,TB,,2010,4770,0,0,1,0,05,2024
1,AK,83,3,,XC,1220,6808,12,130,1,X,05,2024
1,AK,84,3,,XA,1220,63610,90,1246,2,X,05,2024
1,AK,84,3,,XC,1220,66754,442,1317,1,X,05,2024
1,AK,84,3,,XQ,1220,11211,65,219,1,X,05,2024
1,AK,84,3,,XQ,1220,8178,113,160,2,X,05,2024
1,AK,84,3,,XT,1220,2891,9,62,1,X,05,2024
1,AK,84,5,,XA,1220,40468,0,792,1,X,05,2024
1,AK,84,5,,XC,1220,17943,0,351,1,X,05,2024
1,AK,84,5,,XO,1220,37489,0,146,1,X,05,2024
1,AK,84,5,,XY,1220,578350,0,9986,1,X,05,2024
1,AK,84,5,,XY,1220,882288,0,17200,2,X,05,2024
1,AK,84,5,CM,,2010,111175,0,0,2,0,05,2024
1,AK,84,5,MX,,2010,169303,0,0,1,0,05,2024
1,AK,84,5,NL,,2010,3769,0,0,1,0,05,2024
1,AK,84,5,NL,,2010,58515,0,0,2,0,05,2024
1,AK,85,3,,XA,1220,113420,141,2483,1,X,05,2024
1,AK,85,3,,XC,1220,3883,6,70,1,X,05,2024
1,AK,85,5,,XC,1220,28182,0,552,1,X,05,2024
1,AK,85,5,,XC,1220,3030,0,42,2,X,05,2024
1,AK,85,5,,XY,1220,199403,0,5155,1,X,05,2024
