TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,8161,0,160,2,X,05,2024
1,0101,29,5,1220,7973,0,965,1,X,05,2024
1,0101,40,5,1220,19670,0,252,2,X,05,2024
1,0101,69,5,1220,7745,0,123,2,X,05,2024
1,0101,72,6,1220,81485,0,1938,1,X,05,2024
1,0101,73,5,1220,3082,0,131,2,X,05,2024
1,0101,74,5,1220,3632,0,131,1,X,05,2024
1,0101,84,5,1220,9830,0,229,1,X,05,2024
1,0101,84,5,1220,25925,0,204,2,X,05,2024
1,0101,85,5,1220,2710,0,131,1,X,05,2024
1,0101,88,5,1220,7045,0,84,1,X,05,2024
1,0101,89,8,1220,90072,0,891,1,X,05,2024
1,0102,72,5,1220,8306,0,438,1,X,05,2024
1,0102,72,6,1220,45428,0,584,1,X,05,2024
1,0102,73,6,1220,81685,0,1095,1,X,05,2024
1,0102,73,8,1220,15373,0,167,1,X,05,2024
1,0102,89,8,1220,75461,0,747,2,X,05,2024
1,0103,05,5,1220,40117,0,1366,1,X,05,2024
1,0103,14,5,1220,14272,0,768,2,X,05,2024
1,0103,38,5,1220,3069,0,2,2,X,05,2024
1,0103,39,5,1220,24815,0,498,1,X,05,2024
1,0103,84,5,1220,14603,0,14,1,X,05,2024
1,0103,87,5,1220,2971,0,49,1,X,05,2024
1,0104,01,5,1220,210184,0,3491,1,X,05,2024
1,0104,07,5,1220,8835,0,340,1,X,05,2024
1,0104,11,5,1220,36996,0,1075,1,X,05,2024
1,0104,19,5,1220,27785,0,4651,1,X,05,2024
1,0104,21,5,1220,179521,0,179,1,X,05,2024
1,0104,25,6,1220,35126,0,3317,1,X,05,2024
1,0104,28,5,1220,25382,0,3292,1,X,05,2024
1,0104,31,5,1220,26021,0,3267,1,X,05,2024
1,0104,32,5,1220,27775,0,374,1,X,05,2024
1,0104,32,5,1220,68805,0,678,2,X,05,2024
1,0104,34,5,1220,16379,0,619,1,X,05,2024
1,0104,38,5,1220,41416,0,720,1,X,05,2024
1,0104,39,5,1220,30857,0,561,1,X,05,2024
1,0104,39,6,1220,111402,0,1592,1,X,05,2024
1,0104,40,5,1220,150553,0,11289,1,X,05,2024
1,0104,44,5,1220,4144872,0,60274,1,X,05,2024
1,0104,44,5,1220,91328,0,904,2,X,05,2024
1,0104,47,5,1220,650724,0,13170,1,X,05,2024
1,0104,47,6,1220,227819,0,3363,1,X,05,2024
1,0104,48,5,1220,6201693,0,376979,1,X,05,2024
1,0104,54,5,1220,433468,0,4304,1,X,05,2024
1,0104,54,5,1220,26457,0,378,2,X,05,2024
1,0104,55,5,1220,265174,0,2600,1,X,05,2024
1,0104,55,5,1220,4582,0,45,2,X,05,2024
1,0104,56,5,1220,69752,0,1008,1,X,05,2024
1,0104,56,5,1220,7504,0,106,2,X,05,2024
1,0104,59,5,1220,16937,0,331,1,X,05,2024
1,0104,63,5,1220,43089,0,848,1,X,05,2024
1,0104,68,5,1220,530780,0,25255,1,X,05,2024
1,0104,69,5,1220,12064,0,350,1,X,05,2024
1,0104,70,5,1220,2642,0,120,1,X,05,2024
1,0104,72,5,1220,11220,0,424,1,X,05,2024
1,0104,72,6,1220,648309,0,30445,1,X,05,2024
1,0104,73,5,1220,155480,0,3048,2,X,05,2024
1,0104,73,6,1220,13116,0,548,1,X,05,2024
1,0104,74,5,1220,214165,0,2138,1,X,05,2024
1,0104,75,5,1220,9479,0,99,1,X,05,2024
1,0104,76,5,1220,322698,0,21473,1,X,05,2024
1,0104,82,5,1220,14000,0,275,2,X,05,2024
1,0104,84,5,1220,130885,0,2733,1,X,05,2024
1,0104,84,5,1220,403676,0,11954,2,X,05,2024
1,0104,85,5,1220,5952,0,146,1,X,05,2024
1,0104,85,5,1220,10718,0,250,2,X,05,2024
1,0104,87,5,1220,1818130,0,36648,1,X,05,2024
1,0104,90,5,1220,220244,0,5852,2,X,05,2024
1,0104,94,5,1220,3474,0,253,1,X,05,2024
1,0104,95,5,1220,8303,0,163,2,X,05,2024
1,0105,25,6,1220,8610,0,73,1,X,05,2024
1,0105,25,6,1220,1172813,0,99335,2,X,05,2024
1,0105,27,6,1220,244546,0,6584,1,X,05,2024
1,0105,44,6,1220,832970,0,18250,1,X,05,2024
1,0105,58,5,1220,14046,0,275,1,X,05,2024
1,0105,68,6,1220,499797,0,23776,1,X,05,2024
1,0105,76,5,1220,12543,0,1581,1,X,05,2024
1,0105,87,8,1220,51789,0,2297,1,X,05,2024
1,0106,01,5,1220,231268,0,2528,1,X,05,2024
1,0106,03,5,1220,673750,0,13054,1,X,05,2024
1,0106,03,5,1220,509493,0,17047,2,X,05,2024
1,0106,04,5,1220,162347,0,1096,1,X,05,2024
1,0106,05,5,1220,636504,0,51890,1,X,05,2024
1,0106,06,5,1220,499627,0,3369,1,X,05,2024
1,0106,06,5,1220,3045,0,2,2,X,05,2024
1,0106,07,5,1220,1230484,0,103127,1,X,05,2024
1,0106,08,5,1220,472982,0,12664,1,X,05,2024
1,0106,08,5,1220,1452965,0,28274,2,X,05,2024
1,0106,09,5,1220,17593,0,640,2,X,05,2024
1,0106,11,5,1220,83493,0,7480,1,X,05,2024
1,0106,12,5,1220,211766,0,23176,1,X,05,2024
1,0106,12,5,1220,25750,0,871,2,X,05,2024
1,0106,15,5,1220,227333,0,3024,1,X,05,2024
1,0106,15,5,1220,23046,0,2681,2,X,05,2024
1,0106,16,5,1220,296721,0,3170,1,X,05,2024
1,0106,17,5,1220,31388,0,3292,2,X,05,2024
1,0106,18,5,1220,143207,0,4096,1,X,05,2024
1,0106,19,5,1220,1982841,0,96916,1,X,05,2024
1,0106,20,5,1220,880906,0,30655,1,X,05,2024
1,0106,20,5,1220,49813,0,49,2,X,05,2024
1,0106,21,5,1220,135216,0,4565,1,X,05,2024
1,0106,21,5,1220,3135,0,56,2,X,05,2024
1,0106,22,5,1220,221980,0,15332,1,X,05,2024
1,0106,22,5,1220,204880,0,4767,2,X,05,2024
1,0106,23,5,1220,130075,0,1906,1,X,05,2024
1,0106,25,5,1220,450062,0,12355,1,X,05,2024
1,0106,25,5,1220,2927,0,57,2,X,05,2024
1,0106,26,6,1220,10632,0,1418,1,X,05,2024
1,0106,27,5,1220,1614262,0,36412,1,X,05,2024
1,0106,27,5,1220,3381,0,330,2,X,05,2024
1,0106,28,5,1220,633562,0,38656,1,X,05,2024
1,0106,29,5,1220,370686,0,3543,1,X,05,2024
1,0106,29,5,1220,215350,0,10454,2,X,05,2024
1,0106,30,5,1220,40600,0,401,1,X,05,2024
1,0106,30,5,1220,34630,0,343,2,X,05,2024
1,0106,31,5,1220,80577,0,6614,1,X,05,2024
1,0106,31,5,1220,60755,0,1191,2,X,05,2024
1,0106,32,5,1220,910673,0,21028,1,X,05,2024
1,0106,33,5,1220,217399,0,1185,1,X,05,2024
1,0106,33,5,1220,855252,0,10757,2,X,05,2024
1,0106,34,5,1220,570350,0,20494,1,X,05,2024
1,0106,35,5,1220,28727,0,122,1,X,05,2024
1,0106,38,5,1220,686764,0,15256,1,X,05,2024
1,0106,38,5,1220,306188,0,12069,2,X,05,2024
1,0106,39,5,1220,5253188,0,162011,1,X,05,2024
1,0106,39,5,1220,640141,0,10491,2,X,05,2024
1,0106,40,5,1220,6716620,0,365103,1,X,05,2024
1,0106,40,5,1220,363565,0,12451,2,X,05,2024
1,0106,42,5,1220,4948,0,24,1,X,05,2024
1,0106,44,5,1220,1728184,0,71933,1,X,05,2024
1,0106,44,5,1220,111448,0,1398,2,X,05,2024
1,0106,47,5,1220,98067,0,3960,1,X,05,2024
1,0106,48,5,1220,2981326,0,80715,1,X,05,2024
1,0106,48,5,1220,818009,0,2471,2,X,05,2024
1,0106,49,5,1220,93853,0,2783,1,X,05,2024
1,0106,54,5,1220,148164,0,2752,1,X,05,2024
1,0106,54,5,1220,106257,0,212,2,X,05,2024
1,0106,55,5,1220,4506,0,212,1,X,05,2024
1,0106,56,5,1220,1403539,0,4587,1,X,05,2024
1,0106,57,5,1220,93549,0,2963,1,X,05,2024
1,0106,58,5,1220,6059,0,323,2,X,05,2024
1,0106,59,5,1220,601870,0,23660,1,X,05,2024
1,0106,60,5,1220,49695,0,1492,1,X,05,2024
1,0106,62,5,1220,2979,0,2,1,X,05,2024
1,0106,62,5,1220,38478,0,36,2,X,05,2024
1,0106,63,5,1220,7055,0,320,1,X,05,2024
1,0106,63,5,1220,5100,0,193,2,X,05,2024
1,0106,65,5,1220,3807,0,3,1,X,05,2024
1,0106,68,5,1220,756905,0,32152,1,X,05,2024
1,0106,69,5,1220,45143,0,5653,1,X,05,2024
1,0106,69,5,1220,9821,0,346,2,X,05,2024
1,0106,70,5,1220,583195,0,12142,1,X,05,2024
1,0106,72,5,1220,937812,0,26907,1,X,05,2024
1,0106,73,5,1220,5564810,0,368269,1,X,05,2024
1,0106,73,5,1220,59913,0,2832,2,X,05,2024
1,0106,74,5,1220,167443,0,977,1,X,05,2024
1,0106,76,5,1220,844780,0,66025,1,X,05,2024
1,0106,76,5,1220,207599,0,1651,2,X,05,2024
1,0106,80,5,1220,114033,0,177,1,X,05,2024
1,0106,82,5,1220,95448,0,2532,1,X,05,2024
1,0106,82,5,1220,24100,0,259,2,X,05,2024
1,0106,83,5,1220,33159,0,821,1,X,05,2024
1,0106,83,5,1220,8520,0,4,2,X,05,2024
1,0106,84,5,1220,8881003,0,161459,1,X,05,2024
1,0106,84,5,1220,9587866,0,250117,2,X,05,2024
1,0106,85,5,1220,913685,0,25556,1,X,05,2024
1,0106,85,5,1220,85786,0,2014,2,X,05,2024
1,0106,86,5,1220,1048003,0,823,1,X,05,2024
1,0106,87,5,1220,18266962,0,272002,1,X,05,2024
1,0106,87,5,1220,1451955,0,24427,2,X,05,2024
1,0106,89,5,1220,3693185,0,41366,1,X,05,2024
1,0106,89,5,1220,78059,0,770,2,X,05,2024
1,0106,90,5,1220,2785019,0,8770,1,X,05,2024
1,0106,90,5,1220,506185,0,7388,2,X,05,2024
1,0106,93,5,1220,23784,0,41,2,X,05,2024
1,0106,94,5,1220,384942,0,9489,1,X,05,2024
1,0106,94,5,1220,120277,0,5507,2,X,05,2024
1,0106,95,5,1220,305841,0,7882,1,X,05,2024
1,0106,96,5,1220,179621,0,6119,1,X,05,2024
1,0106,96,5,1220,2693,0,147,2,X,05,2024
1,0107,07,5,1220,479231,0,45096,1,X,05,2024
1,0107,11,5,1220,39889,0,6198,1,X,05,2024
1,0107,20,5,1220,52995,0,1037,1,X,05,2024
1,0107,31,5,1220,11223,0,220,1,X,05,2024
1,0107,39,5,1220,25041,0,629,1,X,05,2024
1,0107,44,5,1220,460248,0,3737,1,X,05,2024
1,0107,47,5,1220,11997,0,170,1,X,05,2024
1,0107,73,5,1220,44288,0,1794,1,X,05,2024
1,0107,76,5,1220,2893,0,62,2,X,05,2024
1,0107,84,5,1220,59941,0,1733,1,X,05,2024
1,0108,07,5,1220,57858,0,2592,1,X,05,2024
1,0108,10,5,1220,43716,0,955,1,X,05,2024
1,0108,27,5,1220,164030,0,16037,1,X,05,2024
1,0108,32,5,1220,8619,0,54,1,X,05,2024
1,0108,35,5,1220,5701,0,187,1,X,05,2024
1,0108,39,5,1220,35262,0,214,1,X,05,2024
1,0108,44,5,1220,338084,0,9802,1,X,05,2024
1,0108,44,6,1220,1250898,0,10632,1,X,05,2024
1,0108,48,5,1220,1253137,0,36351,1,X,05,2024
1,0108,48,6,1220,20785,0,407,1,X,05,2024
1,0108,72,5,1220,112445,0,9490,1,X,05,2024
1,0108,76,5,1220,35040,0,324,1,X,05,2024
1,0108,84,5,1220,173785,0,4504,1,X,05,2024
1,0108,84,5,1220,220220,0,1827,2,X,05,2024
1,0108,87,5,1220,70334,0,3125,1,X,05,2024
1,0108,88,5,1220,478223,0,10386,1,X,05,2024
1,0108,90,5,1220,2992,0,98,1,X,05,2024
1,0108,94,5,1220,4491,0,174,1,X,05,2024
1,0108,95,5,1220,3296,0,43,1,X,05,2024
1,0108,96,5,1220,61924,0,1480,1,X,05,2024
1,0108,98,5,1220,470312,0,141,1,X,05,2024
1,0108,98,5,1220,10895,0,236,2,X,05,2024
1,0109,39,5,1220,14486,0,342,1,X,05,2024
1,0109,48,5,1220,35376,0,704,1,X,05,2024
1,0109,54,5,1220,61448,0,2340,1,X,05,2024
1,0109,73,5,1220,39684,0,1610,1,X,05,2024
1,0109,84,5,1220,16972,0,494,1,X,05,2024
1,0109,84,5,1220,168945,0,2749,2,X,05,2024
1,0109,85,5,1220,14660,0,434,1,X,05,2024
1,0109,85,5,1220,2667,0,86,2,X,05,2024
1,0109,87,5,1220,54645,0,540,1,X,05,2024
1,0109,90,5,1220,7627,0,131,1,X,05,2024
1,0109,94,5,1220,5645,0,464,2,X,05,2024
1,0110,01,5,1220,99169,0,1982,1,X,05,2024
1,0110,07,5,1220,35803,0,1379,1,X,05,2024
1,0110,25,5,1220,3772,0,356,1,X,05,2024
1,0110,28,5,1220,13207,0,1975,1,X,05,2024
1,0110,44,5,1220,251844,0,5952,1,X,05,2024
1,0110,47,5,1220,55669,0,1077,1,X,05,2024
1,0110,48,5,1220,1056345,0,24008,1,X,05,2024
1,0110,72,5,1220,14438,0,1438,1,X,05,2024
1,0110,84,5,1220,9026,0,136,1,X,05,2024
1,0110,87,5,1220,5616,0,94,1,X,05,2024
1,0110,87,5,1220,3043,0,51,2,X,05,2024
1,0115,03,5,1220,5012141,0,126174,1,X,05,2024
1,0115,03,5,1220,334565,0,6249,2,X,05,2024
1,0115,05,5,1220,652879,0,11989,1,X,05,2024
1,0115,06,5,1220,515379,0,8390,1,X,05,2024
1,0115,07,5,1220,14388,0,552,1,X,05,2024
1,0115,08,5,1220,2745631,0,78388,1,X,05,2024
1,0115,08,5,1220,686468,0,37788,2,X,05,2024
1,0115,09,5,1220,41698,0,1675,1,X,05,2024
1,0115,09,5,1220,31284,0,1153,2,X,05,2024
1,0115,11,5,1220,137226,0,8783,1,X,05,2024
1,0115,12,5,1220,285295,0,13192,1,X,05,2024
1,0115,13,5,1220,37329,0,731,1,X,05,2024
1,0115,15,5,1220,42326,0,419,1,X,05,2024
1,0115,15,5,1220,24998,0,1530,2,X,05,2024
1,0115,17,5,1220,44803,0,3435,1,X,05,2024
1,0115,17,5,1220,10103,0,10,2,X,05,2024
1,0115,18,5,1220,308867,0,11177,1,X,05,2024
1,0115,19,5,1220,166123,0,1558,1,X,05,2024
1,0115,20,5,1220,131931,0,17467,1,X,05,2024
1,0115,21,5,1220,255786,0,7388,1,X,05,2024
1,0115,22,5,1220,171795,0,12995,1,X,05,2024
1,0115,22,5,1220,4306,0,110,2,X,05,2024
1,0115,23,5,1220,148318,0,5490,1,X,05,2024
1,0115,25,5,1220,226996,0,7819,1,X,05,2024
1,0115,27,5,1220,631976,0,16082,1,X,05,2024
1,0115,27,6,1220,121461,0,3292,1,X,05,2024
1,0115,27,7,1220,33226067,0,0,1,X,05,2024
1,0115,28,5,1220,577278,0,35986,1,X,05,2024
1,0115,29,5,1220,155159,0,3240,1,X,05,2024
1,0115,29,5,1220,44286,0,2832,2,X,05,2024
1,0115,30,5,1220,3779,0,81,1,X,05,2024
1,0115,31,5,1220,9974,0,201,1,X,05,2024
1,0115,32,5,1220,1115458,0,34373,1,X,05,2024
1,0115,32,5,1220,79569,0,2505,2,X,05,2024
1,0115,33,5,1220,262087,0,8006,1,X,05,2024
1,0115,33,5,1220,37112,0,588,2,X,05,2024
1,0115,34,5,1220,374750,0,14586,1,X,05,2024
1,0115,34,5,1220,7946,0,638,2,X,05,2024
1,0115,34,6,1220,2772,0,128,2,X,05,2024
1,0115,35,5,1220,157893,0,6837,1,X,05,2024
1,0115,35,5,1220,129248,0,1857,2,X,05,2024
1,0115,38,5,1220,987649,0,51297,1,X,05,2024
1,0115,38,5,1220,169451,0,11054,2,X,05,2024
1,0115,38,6,1220,335663,0,3292,1,X,05,2024
1,0115,39,5,1220,4019907,0,138853,1,X,05,2024
1,0115,39,5,1220,562200,0,21040,2,X,05,2024
1,0115,40,5,1220,671502,0,27035,1,X,05,2024
1,0115,40,5,1220,210214,0,9315,2,X,05,2024
1,0115,41,5,1220,7126,0,146,1,X,05,2024
1,0115,41,5,1220,3729,0,81,2,X,05,2024
1,0115,42,5,1220,13409,0,151,1,X,05,2024
1,0115,42,5,1220,78215,0,2338,2,X,05,2024
1,0115,44,5,1220,1164360,0,39745,1,X,05,2024
1,0115,44,5,1220,87231,0,4284,2,X,05,2024
1,0115,45,5,1220,5946,0,98,1,X,05,2024
1,0115,47,5,1220,685625,0,63675,1,X,05,2024
1,0115,47,6,1220,1250517,0,69648,1,X,05,2024
1,0115,48,5,1220,3095149,0,234261,1,X,05,2024
1,0115,48,5,1220,34675,0,661,2,X,05,2024
1,0115,49,5,1220,351220,0,9672,1,X,05,2024
1,0115,49,5,1220,2584,0,50,2,X,05,2024
1,0115,51,5,1220,8806,0,199,1,X,05,2024
1,0115,52,5,1220,21087,0,310,2,X,05,2024
1,0115,53,5,1220,2889,0,133,1,X,05,2024
1,0115,54,5,1220,93681,0,2263,1,X,05,2024
