TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,680793,0,14915,1,X,09,2024
1,AK,01XX,1,,XB,1220,83377,66318,2842,1,X,09,2024
1,AK,07XX,3,,XO,1220,93057,74,2772,1,X,09,2024
1,AK,0901,6,,XO,1220,70218,0,695,1,X,09,2024
1,AK,2006,3,,XM,1220,10397,33,0,1,X,09,2024
1,AK,20XX,3,,XA,1220,84170,226,285,1,X,09,2024
1,AK,20XX,3,,XC,1220,219739,5726,3632,1,X,09,2024
1,AK,20XX,3,,XM,1220,3647,10,60,1,X,09,2024
1,AK,20XX,3,,XO,1220,2581,295,99,1,X,09,2024
1,AK,20XX,3,,XQ,1220,2622,16,73,1,X,09,2024
1,AK,2303,6,CO,,2010,124974,0,0,1,0,09,2024
1,AK,2304,5,CM,,2010,71776,0,0,1,0,09,2024
1,AK,2304,5,CM,,2010,69964,0,0,2,0,09,2024
1,AK,2304,5,CO,,2010,162762,0,0,1,0,09,2024
1,AK,2304,5,CO,,2010,140164,0,0,2,0,09,2024
1,AK,2304,5,DF,,2010,42115,0,0,1,0,09,2024
1,AK,2304,5,GT,,2010,42076,0,0,1,0,09,2024
1,AK,2304,5,JA,,2010,7853,0,0,2,0,09,2024
1,AK,2304,5,MX,,2010,173381,0,0,1,0,09,2024
1,AK,2304,5,MX,,2010,12607,0,0,2,0,09,2024
1,AK,2304,5,NL,,2010,343140,0,0,1,0,09,2024
1,AK,2304,5,NL,,2010,249475,0,0,2,0,09,2024
1,AK,2304,5,QT,,2010,9954,0,0,1,0,09,2024
1,AK,2304,5,TL,,2010,7478,0,0,2,0,09,2024
1,AK,2304,5,TM,,2010,15344,0,0,1,0,09,2024
1,AK,2304,5,TM,,2010,4484,0,0,2,0,09,2024
1,AK,3004,5,,XC,1220,5447335,0,62378,1,X,09,2024
1,AK,3004,5,,XC,1220,7427,0,145,2,X,09,2024
1,AK,3009,5,,XC,1220,197422,0,1090,1,X,09,2024
1,AK,3023,5,,XC,1220,236421,0,2330,1,X,09,2024
1,AK,30XX,1,,XC,1220,98577,1136280,975,1,X,09,2024
1,AK,30XX,3,,XC,1220,16086,2611,640,1,X,09,2024
1,AK,3101,5,,XC,1220,27459,0,599,1,X,09,2024
1,AK,3103,5,,XC,1220,5922369,0,62500,1,X,09,2024
1,AK,3103,5,,XC,1220,53883,0,1086,2,X,09,2024
1,AK,3104,5,,XY,1220,1779972,0,26951,1,X,09,2024
1,AK,3104,5,,XY,1220,1922690,0,33903,2,X,09,2024
1,AK,3104,8,,XY,1220,8360,0,371,1,X,09,2024
1,AK,3106,5,,XC,1220,991558,0,15791,1,X,09,2024
1,AK,3126,5,,XY,1220,2159806,0,29599,1,X,09,2024
1,AK,3310,5,,XA,1220,12402,0,0,1,X,09,2024
1,AK,3310,5,,XA,1220,2748,0,53,2,X,09,2024
1,AK,3310,5,,XY,1220,25080,0,738,1,X,09,2024
1,AK,3401,5,,XM,1220,13786,0,1238,1,X,09,2024
1,AK,3403,5,,XS,1220,64227,0,0,2,X,09,2024
1,AK,3501,3,,XM,1220,2628,17,121,1,X,09,2024
1,AK,3801,5,,XO,1220,3011,0,0,2,X,09,2024
1,AK,3802,5,,XO,1220,7203,0,143,1,X,09,2024
1,AK,4101,3,,XQ,1220,3191,30,62,1,X,09,2024
1,AK,41XX,3,XX,,2010,4886,2,0,2,0,09,2024
1,AK,70XX,5,,XC,1220,7435,0,262,1,X,09,2024
1,AK,70XX,8,,XA,1220,47,0,0,1,X,09,2024
1,AK,70XX,8,,XC,1220,7113,0,171,1,X,09,2024
1,AL,0106,5,,XB,1220,198509,0,7138,1,X,09,2024
1,AL,0106,5,,XB,1220,70115,0,1374,2,X,09,2024
1,AL,0115,5,,XB,1220,283892,0,8815,1,X,09,2024
1,AL,0115,5,,XB,1220,11931,0,492,2,X,09,2024
1,AL,0115,5,,XM,1220,116377,0,2730,1,X,09,2024
1,AL,0206,5,,XQ,1220,21248,0,345,1,X,09,2024
1,AL,0209,5,,XQ,1220,33020,0,487,1,X,09,2024
1,AL,0701,5,,XO,1220,35982,0,776,1,X,09,2024
1,AL,0701,5,,XQ,1220,307393,0,3296,2,X,09,2024
1,AL,0704,5,,XO,1220,154417,0,1240,1,X,09,2024
1,AL,0708,5,,XO,1220,7540341,0,79703,1,X,09,2024
1,AL,0708,5,,XO,1220,377448,0,7213,2,X,09,2024
1,AL,0708,5,,XQ,1220,256267,0,10469,1,X,09,2024
1,AL,0708,5,,XQ,1220,207690,0,6049,2,X,09,2024
1,AL,0712,5,,XA,1220,10429,0,1205,1,X,09,2024
1,AL,0712,5,,XA,1220,3520,0,437,2,X,09,2024
1,AL,0712,5,,XB,1220,74425,0,736,1,X,09,2024
1,AL,0712,5,,XB,1220,2793,0,56,2,X,09,2024
1,AL,0712,5,,XM,1220,19985,0,1427,1,X,09,2024
1,AL,0712,5,,XO,1220,573858,0,10429,1,X,09,2024
1,AL,0712,5,,XO,1220,10583,0,831,2,X,09,2024
1,AL,0712,5,,XQ,1220,3692866,0,53601,1,X,09,2024
1,AL,0712,5,,XQ,1220,801064,0,16526,2,X,09,2024
1,AL,0712,6,,XO,1220,244442,0,11638,1,X,09,2024
1,AL,07XX,3,,XQ,1220,7418,4,169,1,X,09,2024
1,AL,07XX,3,,XQ,1220,27586,2,264,2,X,09,2024
1,AL,0901,5,,XC,1220,18399,0,359,1,X,09,2024
1,AL,0901,5,,XO,1220,71112353,0,724823,1,X,09,2024
1,AL,0901,5,,XO,1220,2667713,0,63402,2,X,09,2024
1,AL,0901,5,,XQ,1220,9379,0,183,2,X,09,2024
1,AL,0901,6,,XA,1220,147914,0,5112,1,X,09,2024
1,AL,0901,6,,XO,1220,812095,0,10501,1,X,09,2024
1,AL,09XX,3,,XO,1220,80208,703,2922,1,X,09,2024
1,AL,09XX,3,,XQ,1220,78406,118,869,1,X,09,2024
1,AL,09XX,3,,XQ,1220,134007,231,172,2,X,09,2024
1,AL,17XX,1,XX,,2010,11816861,559980,0,1,0,09,2024
1,AL,17XX,3,XX,,2010,188650,739,0,2,0,09,2024
1,AL,18XX,1,XX,,2010,366517,827734,0,1,0,09,2024
1,AL,19XX,1,,XW,1220,11880336,18589237,146,1,X,09,2024
1,AL,19XX,1,XX,,2010,64840360,53364459,0,1,0,09,2024
1,AL,19XX,3,XX,,2010,21262,93,0,1,0,09,2024
1,AL,19XX,3,XX,,2010,6845,7,0,2,0,09,2024
1,AL,19XX,8,,XQ,1220,140665,0,1393,1,X,09,2024
1,AL,20XX,1,XX,,2010,151021,175035,0,1,1,09,2024
1,AL,20XX,3,,XA,1220,779798,6009,10300,1,X,09,2024
1,AL,20XX,3,,XA,1220,6468,70,73,2,X,09,2024
1,AL,20XX,3,,XC,1220,129711,502,1806,1,X,09,2024
1,AL,20XX,3,,XC,1220,85962,147,404,2,X,09,2024
1,AL,20XX,3,,XM,1220,6757,10,149,1,X,09,2024
1,AL,20XX,3,,XM,1220,12020,42,0,2,X,09,2024
1,AL,20XX,3,,XO,1220,1906353,4612,11854,1,X,09,2024
1,AL,20XX,3,,XO,1220,170497,709,2407,2,X,09,2024
1,AL,20XX,3,,XQ,1220,2910930,6252,11914,1,X,09,2024
1,AL,20XX,3,,XQ,1220,357606,1592,2062,2,X,09,2024
1,AL,20XX,3,XX,,2010,1342044,16449,0,1,0,09,2024
1,AL,20XX,3,XX,,2010,85207,1020,0,2,0,09,2024
1,AL,20XX,8,,XC,1220,43779,0,73,1,X,09,2024
1,AL,2301,5,CO,,2010,116274,0,0,1,0,09,2024
1,AL,2301,5,HG,,2010,141780,0,0,1,0,09,2024
1,AL,2301,5,MX,,2010,11529,0,0,1,0,09,2024
