TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XB,1220,680793,0,14915,1,X,09,2024
1,AK,03,5,,XC,1220,1636965,0,23509,1,X,09,2024
1,AK,03,5,,XY,1220,2159806,0,29599,1,X,09,2024
1,AK,05,1,,XB,1220,83377,66318,2842,1,X,09,2024
1,AK,05,5,,XC,1220,21764,0,369,1,X,09,2024
1,AK,15,5,,XC,1220,1335068,0,13202,1,X,09,2024
1,AK,16,5,,XC,1220,2892383,0,27998,1,X,09,2024
1,AK,22,3,,XC,1220,14993,5122,73,1,X,09,2024
1,AK,23,5,,XC,1220,197422,0,1090,1,X,09,2024
1,AK,27,5,,XC,1220,6461514,0,73033,1,X,09,2024
1,AK,28,3,,XC,1220,15123,86,73,1,X,09,2024
1,AK,28,5,DF,,2010,42115,0,0,1,0,09,2024
1,AK,39,5,,XC,1220,9126,0,196,1,X,09,2024
1,AK,39,5,CO,,2010,74868,0,0,1,0,09,2024
1,AK,39,5,CO,,2010,15744,0,0,2,0,09,2024
1,AK,39,5,JA,,2010,7853,0,0,2,0,09,2024
1,AK,39,5,MX,,2010,22894,0,0,1,0,09,2024
1,AK,39,5,MX,,2010,12607,0,0,2,0,09,2024
1,AK,39,5,NL,,2010,40850,0,0,1,0,09,2024
1,AK,39,5,TL,,2010,7478,0,0,2,0,09,2024
1,AK,39,5,TM,,2010,15344,0,0,1,0,09,2024
1,AK,40,5,,XY,1220,4117,0,90,1,X,09,2024
1,AK,44,1,,XC,1220,98577,1136280,975,1,X,09,2024
1,AK,44,5,,XY,1220,7366,0,144,1,X,09,2024
1,AK,47,6,,XO,1220,70218,0,695,1,X,09,2024
1,AK,48,5,QT,,2010,9954,0,0,1,0,09,2024
1,AK,49,3,,XC,1220,5179,48,107,1,X,09,2024
1,AK,59,3,,XC,1220,8149,2539,425,1,X,09,2024
1,AK,59,5,GT,,2010,27975,0,0,1,0,09,2024
1,AK,63,3,,XC,1220,2841,44,135,1,X,09,2024
1,AK,63,3,,XO,1220,2581,295,99,1,X,09,2024
1,AK,63,3,,XQ,1220,3191,30,62,1,X,09,2024
1,AK,63,5,,XO,1220,7203,0,143,1,X,09,2024
1,AK,68,3,,XM,1220,2628,17,121,1,X,09,2024
1,AK,70,5,,XC,1220,7332,0,175,1,X,09,2024
1,AK,70,5,,XC,1220,6933,0,166,2,X,09,2024
1,AK,72,6,CO,,2010,124974,0,0,1,0,09,2024
1,AK,73,5,,XC,1220,15318,0,300,2,X,09,2024
1,AK,73,5,,XS,1220,64227,0,0,2,X,09,2024
1,AK,73,5,,XY,1220,17426,0,360,1,X,09,2024
1,AK,76,3,,XC,1220,6650,8,130,1,X,09,2024
1,AK,76,5,NL,,2010,302290,0,0,1,0,09,2024
1,AK,83,3,,XC,1220,6744,7,140,1,X,09,2024
1,AK,84,3,,XO,1220,93057,74,2772,1,X,09,2024
1,AK,84,3,XX,,2010,4886,2,0,2,0,09,2024
1,AK,84,5,,XC,1220,7427,0,145,2,X,09,2024
1,AK,84,5,,XY,1220,1195549,0,15671,1,X,09,2024
1,AK,84,5,,XY,1220,1408716,0,27683,2,X,09,2024
1,AK,84,5,CM,,2010,71776,0,0,1,0,09,2024
1,AK,84,5,CM,,2010,65139,0,0,2,0,09,2024
1,AK,84,5,CO,,2010,87894,0,0,1,0,09,2024
1,AK,84,5,CO,,2010,124420,0,0,2,0,09,2024
1,AK,84,5,MX,,2010,124555,0,0,1,0,09,2024
1,AK,85,3,,XC,1220,16589,169,318,1,X,09,2024
1,AK,85,3,,XM,1220,14044,43,60,1,X,09,2024
1,AK,85,5,,XY,1220,224924,0,4372,1,X,09,2024
1,AK,85,5,,XY,1220,195762,0,4,2,X,09,2024
1,AK,85,5,CM,,2010,4825,0,0,2,0,09,2024
1,AK,85,5,MX,,2010,16582,0,0,1,0,09,2024
1,AK,85,5,TM,,2010,4484,0,0,2,0,09,2024
1,AK,87,5,,XA,1220,12402,0,0,1,X,09,2024
1,AK,87,5,,XC,1220,13307,0,260,1,X,09,2024
1,AK,87,5,,XY,1220,8052,0,108,1,X,09,2024
1,AK,87,5,NL,,2010,249475,0,0,2,0,09,2024
1,AK,87,8,,XY,1220,8360,0,371,1,X,09,2024
1,AK,88,3,,XA,1220,62141,158,212,1,X,09,2024
1,AK,88,3,,XC,1220,133121,217,2554,1,X,09,2024
1,AK,88,3,,XQ,1220,2622,16,73,1,X,09,2024
1,AK,88,5,,XC,1220,247683,0,4856,1,X,09,2024
1,AK,88,5,,XM,1220,13786,0,1238,1,X,09,2024
1,AK,88,5,,XY,1220,315518,0,6360,1,X,09,2024
1,AK,88,5,,XY,1220,285999,0,5607,2,X,09,2024
1,AK,89,5,,XC,1220,31632,0,620,2,X,09,2024
1,AK,90,3,,XA,1220,22029,68,73,1,X,09,2024
1,AK,90,3,,XC,1220,21340,69,237,1,X,09,2024
1,AK,90,5,,XA,1220,2748,0,53,2,X,09,2024
1,AK,90,5,,XO,1220,3011,0,0,2,X,09,2024
1,AK,90,5,,XY,1220,32100,0,584,1,X,09,2024
1,AK,90,5,,XY,1220,32213,0,609,2,X,09,2024
1,AK,90,5,MX,,2010,9350,0,0,1,0,09,2024
1,AK,92,3,,XC,1220,5096,28,80,1,X,09,2024
1,AK,94,5,GT,,2010,14101,0,0,1,0,09,2024
1,AK,98,5,,XC,1220,7435,0,262,1,X,09,2024
1,AK,98,8,,XA,1220,47,0,0,1,X,09,2024
1,AK,98,8,,XC,1220,7113,0,171,1,X,09,2024
1,AL,01,3,XX,,2010,2426454,3209,0,1,0,09,2024
1,AL,01,5,,XM,1220,126488,0,22,1,X,09,2024
1,AL,01,5,,XO,1220,186845,0,733,1,X,09,2024
1,AL,02,5,,XA,1220,55220,0,147,1,X,09,2024
1,AL,02,5,,XM,1220,55667,0,147,1,X,09,2024
1,AL,02,5,,XO,1220,1478250,0,15411,1,X,09,2024
1,AL,02,5,JA,,2010,17600,0,0,1,0,09,2024
1,AL,02,5,MX,,2010,43861,0,0,1,0,09,2024
1,AL,02,5,ZA,,2010,23608,0,0,1,0,09,2024
1,AL,02,8,SI,,2010,71632,0,0,1,X,09,2024
1,AL,03,5,,XO,1220,14627,0,215,1,X,09,2024
1,AL,04,3,XX,,2010,148465,3094,0,1,0,09,2024
1,AL,04,5,,XC,1220,1187108,0,1871,1,X,09,2024
1,AL,04,5,,XO,1220,1206786,0,3815,1,X,09,2024
