TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,40,6,1220,113346,0,1912,1,X,09,2024
1,0101,40,6,1220,45489,0,766,2,X,09,2024
1,0101,72,6,1220,58729,0,1955,1,X,09,2024
1,0101,73,5,1220,16872,0,355,2,X,09,2024
1,0101,84,5,1220,3007,0,69,2,X,09,2024
1,0101,90,5,1220,28326,0,321,1,X,09,2024
1,0101,90,5,1220,5600,0,132,2,X,09,2024
1,0102,72,5,1220,12308,0,663,1,X,09,2024
1,0102,72,6,1220,13248,0,369,1,X,09,2024
1,0102,74,5,1220,67792,0,183,1,X,09,2024
1,0102,76,5,1220,9673,0,25,1,X,09,2024
1,0103,03,5,1220,61947,0,848,1,X,09,2024
1,0103,14,5,1220,19351,0,1041,2,X,09,2024
1,0103,32,5,1220,36351,0,713,1,X,09,2024
1,0103,44,5,1220,10350,0,257,1,X,09,2024
1,0103,49,5,1220,2672,0,90,1,X,09,2024
1,0103,73,5,1220,2907,0,118,1,X,09,2024
1,0103,83,5,1220,3101,0,76,1,X,09,2024
1,0103,84,5,1220,15049,0,295,2,X,09,2024
1,0103,87,5,1220,4435,0,71,1,X,09,2024
1,0104,01,5,1220,219094,0,4181,1,X,09,2024
1,0104,11,5,1220,19086,0,530,1,X,09,2024
1,0104,21,5,1220,137257,0,137,1,X,09,2024
1,0104,25,5,1220,75835,0,1481,1,X,09,2024
1,0104,27,5,1220,14746,0,288,1,X,09,2024
1,0104,29,5,1220,39531,0,770,1,X,09,2024
1,0104,31,5,1220,31983,0,4016,1,X,09,2024
1,0104,38,5,1220,100153,0,1328,1,X,09,2024
1,0104,39,5,1220,142244,0,4435,1,X,09,2024
1,0104,39,5,1220,4851,0,165,2,X,09,2024
1,0104,40,5,1220,115385,0,10177,1,X,09,2024
1,0104,44,5,1220,8739675,0,227851,1,X,09,2024
1,0104,47,5,1220,953919,0,18182,1,X,09,2024
1,0104,48,5,1220,7862697,0,492346,1,X,09,2024
1,0104,48,6,1220,428197,0,4856,1,X,09,2024
1,0104,54,5,1220,42700,0,439,1,X,09,2024
1,0104,55,5,1220,250056,0,2716,1,X,09,2024
1,0104,56,5,1220,25294,0,366,1,X,09,2024
1,0104,56,5,1220,4887,0,69,2,X,09,2024
1,0104,59,5,1220,7716,0,151,1,X,09,2024
1,0104,68,5,1220,534366,0,25429,1,X,09,2024
1,0104,69,5,1220,14839,0,431,1,X,09,2024
1,0104,70,5,1220,2569,0,61,2,X,09,2024
1,0104,71,5,1220,121073,0,1495,1,X,09,2024
1,0104,72,5,1220,49482,0,5809,1,X,09,2024
1,0104,72,6,1220,866160,0,34509,1,X,09,2024
1,0104,74,5,1220,92702,0,932,1,X,09,2024
1,0104,74,5,1220,5335,0,118,2,X,09,2024
1,0104,76,5,1220,152502,0,10987,1,X,09,2024
1,0104,82,5,1220,3121,0,59,2,X,09,2024
1,0104,84,5,1220,175030,0,2702,1,X,09,2024
1,0104,84,5,1220,15275,0,299,2,X,09,2024
1,0104,85,5,1220,21425,0,623,1,X,09,2024
1,0104,85,5,1220,3495,0,76,2,X,09,2024
1,0104,87,5,1220,1195751,0,25312,1,X,09,2024
1,0104,94,5,1220,4570,0,89,1,X,09,2024
1,0104,95,5,1220,10670,0,310,2,X,09,2024
1,0105,10,5,1220,2715,0,59,1,X,09,2024
1,0105,25,6,1220,1238074,0,97596,2,X,09,2024
1,0105,27,6,1220,543870,0,11461,1,X,09,2024
1,0105,38,6,1220,789526,0,7816,1,X,09,2024
1,0105,44,6,1220,807864,0,16352,1,X,09,2024
1,0105,59,5,1220,29410,0,450,1,X,09,2024
1,0105,68,6,1220,637705,0,30350,1,X,09,2024
1,0105,84,5,1220,33828,0,1333,1,X,09,2024
1,0105,84,5,1220,5023,0,239,2,X,09,2024
1,0106,01,5,1220,28382,0,561,1,X,09,2024
1,0106,03,5,1220,10379729,0,189802,1,X,09,2024
1,0106,03,5,1220,1075614,0,17241,2,X,09,2024
1,0106,04,5,1220,414810,0,6641,1,X,09,2024
1,0106,05,5,1220,754176,0,35328,1,X,09,2024
1,0106,06,5,1220,29054,0,574,1,X,09,2024
1,0106,07,5,1220,89919,0,3464,1,X,09,2024
1,0106,08,5,1220,84826,0,1659,1,X,09,2024
1,0106,08,5,1220,1201536,0,23524,2,X,09,2024
1,0106,09,5,1220,4393,0,369,2,X,09,2024
1,0106,11,5,1220,126095,0,9829,1,X,09,2024
1,0106,12,5,1220,164022,0,14932,1,X,09,2024
1,0106,12,5,1220,143891,0,131,2,X,09,2024
1,0106,15,5,1220,565790,0,8469,1,X,09,2024
1,0106,16,5,1220,9075,0,10,1,X,09,2024
1,0106,17,5,1220,42376,0,419,2,X,09,2024
1,0106,19,5,1220,1558955,0,72919,1,X,09,2024
1,0106,20,5,1220,586584,0,27376,1,X,09,2024
1,0106,20,6,1220,32194,0,318,1,X,09,2024
1,0106,21,5,1220,203355,0,2381,1,X,09,2024
1,0106,22,5,1220,331018,0,17054,1,X,09,2024
1,0106,22,5,1220,173262,0,2469,2,X,09,2024
1,0106,23,5,1220,80795,0,1582,1,X,09,2024
1,0106,25,5,1220,245548,0,8834,1,X,09,2024
1,0106,27,5,1220,1088256,0,22626,1,X,09,2024
1,0106,28,5,1220,815327,0,38188,1,X,09,2024
1,0106,29,5,1220,18456,0,320,1,X,09,2024
1,0106,29,5,1220,79119,0,3322,2,X,09,2024
1,0106,31,5,1220,259755,0,18812,1,X,09,2024
1,0106,32,5,1220,696609,0,18330,1,X,09,2024
1,0106,33,5,1220,8424,0,112,1,X,09,2024
1,0106,33,5,1220,500958,0,9110,2,X,09,2024
1,0106,34,5,1220,242816,0,9134,1,X,09,2024
1,0106,35,5,1220,60636,0,3213,1,X,09,2024
1,0106,38,5,1220,781530,0,20473,1,X,09,2024
1,0106,38,5,1220,84944,0,3600,2,X,09,2024
1,0106,39,5,1220,4759365,0,173533,1,X,09,2024
1,0106,39,5,1220,295605,0,6116,2,X,09,2024
1,0106,40,5,1220,6136199,0,325264,1,X,09,2024
1,0106,40,5,1220,312254,0,9554,2,X,09,2024
1,0106,42,5,1220,4078,0,19,2,X,09,2024
1,0106,44,5,1220,892936,0,40233,1,X,09,2024
1,0106,44,5,1220,45435,0,45,2,X,09,2024
1,0106,47,5,1220,100300,0,3399,1,X,09,2024
1,0106,48,5,1220,2558306,0,115358,1,X,09,2024
1,0106,48,5,1220,485611,0,1397,2,X,09,2024
1,0106,49,5,1220,866129,0,8780,1,X,09,2024
1,0106,49,5,1220,32844,0,55,2,X,09,2024
1,0106,55,5,1220,18548,0,472,1,X,09,2024
1,0106,56,5,1220,1422196,0,7613,1,X,09,2024
1,0106,57,5,1220,70295,0,1904,1,X,09,2024
1,0106,58,5,1220,25817,0,25,1,X,09,2024
1,0106,58,5,1220,70115,0,1374,2,X,09,2024
1,0106,59,5,1220,224496,0,11670,1,X,09,2024
1,0106,63,5,1220,14885,0,438,1,X,09,2024
1,0106,63,5,1220,21372,0,2214,2,X,09,2024
1,0106,65,5,1220,3111,0,2,1,X,09,2024
1,0106,68,5,1220,973262,0,35036,1,X,09,2024
1,0106,68,5,1220,51212,0,3322,2,X,09,2024
1,0106,69,5,1220,74793,0,8935,1,X,09,2024
1,0106,70,5,1220,516485,0,17173,1,X,09,2024
1,0106,70,5,1220,11683,0,743,2,X,09,2024
1,0106,71,5,1220,3425,0,42,2,X,09,2024
1,0106,72,5,1220,378654,0,24122,1,X,09,2024
1,0106,72,5,1220,653047,0,6456,2,X,09,2024
1,0106,72,6,1220,43378,0,738,1,X,09,2024
1,0106,73,5,1220,4531345,0,288792,1,X,09,2024
1,0106,73,5,1220,151665,0,2754,2,X,09,2024
1,0106,74,5,1220,165246,0,314,1,X,09,2024
1,0106,76,5,1220,856643,0,51101,1,X,09,2024
1,0106,79,5,1220,21579,0,423,2,X,09,2024
1,0106,80,5,1220,116589,0,180,2,X,09,2024
1,0106,82,5,1220,2674,0,90,1,X,09,2024
1,0106,82,5,1220,2887,0,87,2,X,09,2024
1,0106,83,5,1220,34555,0,321,1,X,09,2024
1,0106,83,5,1220,26354,0,378,2,X,09,2024
1,0106,84,5,1220,8833729,0,148463,1,X,09,2024
1,0106,84,5,1220,8913006,0,148390,2,X,09,2024
1,0106,85,5,1220,788670,0,18613,1,X,09,2024
1,0106,85,5,1220,457145,0,2623,2,X,09,2024
1,0106,86,5,1220,5517,0,250,1,X,09,2024
1,0106,86,5,1220,19171,0,195,2,X,09,2024
1,0106,87,5,1220,11267832,0,170334,1,X,09,2024
1,0106,87,5,1220,915970,0,10691,2,X,09,2024
1,0106,89,5,1220,355323,0,5220,1,X,09,2024
1,0106,89,5,1220,140481,0,1389,2,X,09,2024
1,0106,90,5,1220,742844,0,3979,1,X,09,2024
1,0106,90,5,1220,406826,0,3805,2,X,09,2024
1,0106,94,5,1220,739215,0,22398,1,X,09,2024
1,0106,94,5,1220,76381,0,1637,2,X,09,2024
1,0106,95,5,1220,124999,0,2451,1,X,09,2024
1,0106,95,5,1220,50034,0,1685,2,X,09,2024
1,0106,96,5,1220,513412,0,15669,1,X,09,2024
1,0106,98,5,1220,19763,0,19,1,X,09,2024
1,0107,07,5,1220,110387,0,4254,1,X,09,2024
1,0107,11,5,1220,49389,0,7520,1,X,09,2024
1,0107,29,5,1220,5433,0,134,1,X,09,2024
1,0107,39,5,1220,57976,0,3293,1,X,09,2024
1,0107,44,5,1220,384251,0,4085,1,X,09,2024
1,0107,47,5,1220,3532,0,50,1,X,09,2024
1,0107,61,5,1220,2857,0,294,2,X,09,2024
1,0107,62,5,1220,2959,0,292,2,X,09,2024
1,0107,72,5,1220,4198,0,104,1,X,09,2024
1,0107,73,5,1220,57290,0,2322,1,X,09,2024
1,0107,76,5,1220,2689,0,58,1,X,09,2024
1,0107,84,5,1220,52195,0,1553,1,X,09,2024
1,0107,87,5,1220,3842,0,64,1,X,09,2024
1,0108,07,5,1220,365718,0,20294,1,X,09,2024
1,0108,10,5,1220,64347,0,1403,1,X,09,2024
1,0108,27,5,1220,30883,0,3019,1,X,09,2024
1,0108,39,5,1220,51815,0,480,1,X,09,2024
1,0108,44,5,1220,164030,0,3558,1,X,09,2024
1,0108,44,6,1220,474906,0,3723,1,X,09,2024
1,0108,47,5,1220,10989,0,180,1,X,09,2024
1,0108,48,5,1220,66694,0,1306,1,X,09,2024
1,0108,56,5,1220,26580,0,686,1,X,09,2024
1,0108,68,5,1220,4790,0,95,1,X,09,2024
1,0108,72,5,1220,78745,0,6825,1,X,09,2024
1,0108,73,5,1220,3653,0,148,1,X,09,2024
1,0108,84,5,1220,83497,0,2440,1,X,09,2024
1,0108,84,5,1220,18006,0,536,2,X,09,2024
1,0108,85,5,1220,18289,0,398,1,X,09,2024
1,0108,87,5,1220,148361,0,4630,1,X,09,2024
1,0108,98,5,1220,8865,0,192,2,X,09,2024
1,0109,07,5,1220,21964,0,846,1,X,09,2024
1,0109,11,5,1220,13683,0,397,1,X,09,2024
1,0109,27,5,1220,160241,0,15667,1,X,09,2024
1,0109,39,5,1220,18365,0,254,1,X,09,2024
1,0109,44,5,1220,15508,0,108,1,X,09,2024
1,0109,47,5,1220,50878,0,990,1,X,09,2024
1,0109,48,5,1220,2362100,0,62142,1,X,09,2024
1,0109,84,5,1220,48092,0,1222,1,X,09,2024
1,0109,84,5,1220,253726,0,3321,2,X,09,2024
1,0109,85,5,1220,3039,0,66,2,X,09,2024
1,0110,07,5,1220,30651,0,3012,1,X,09,2024
1,0110,28,6,1220,78188,0,3322,1,X,09,2024
1,0110,44,5,1220,222237,0,4175,1,X,09,2024
1,0110,48,5,1220,108846,0,2119,1,X,09,2024
1,0110,87,5,1220,7275,0,122,2,X,09,2024
1,0111,39,5,1220,9556,0,155,1,X,09,2024
1,0111,44,5,1220,45385,0,583,1,X,09,2024
1,0111,84,5,1220,5921,0,210,2,X,09,2024
1,0112,90,5,1220,2801,0,73,1,X,09,2024
1,0115,01,5,1220,13179,0,259,1,X,09,2024
1,0115,03,5,1220,45813125,0,699790,1,X,09,2024
1,0115,03,5,1220,490871,0,7453,2,X,09,2024
1,0115,05,5,1220,391754,0,17111,1,X,09,2024
1,0115,06,5,1220,28505,0,2516,1,X,09,2024
1,0115,07,5,1220,2849,0,109,1,X,09,2024
1,0115,08,5,1220,971816,0,23989,1,X,09,2024
1,0115,08,5,1220,173321,0,3390,2,X,09,2024
1,0115,09,5,1220,28633,0,584,1,X,09,2024
1,0115,09,5,1220,58507,0,1135,2,X,09,2024
1,0115,11,5,1220,74337,0,8342,1,X,09,2024
1,0115,12,5,1220,316309,0,20333,1,X,09,2024
1,0115,12,5,1220,3512,0,91,2,X,09,2024
1,0115,13,5,1220,12116,0,188,1,X,09,2024
1,0115,13,5,1220,5231,0,238,2,X,09,2024
1,0115,15,5,1220,55172,0,1127,1,X,09,2024
1,0115,15,5,1220,59443,0,2236,2,X,09,2024
1,0115,17,5,1220,52363,0,3841,1,X,09,2024
1,0115,17,5,1220,6234,0,4,2,X,09,2024
1,0115,18,5,1220,503161,0,9850,1,X,09,2024
1,0115,18,5,1220,6473,0,114,2,X,09,2024
1,0115,19,5,1220,243996,0,2890,1,X,09,2024
1,0115,20,5,1220,50940,0,5367,1,X,09,2024
1,0115,20,5,1220,14486,0,2312,2,X,09,2024
1,0115,21,5,1220,60437,0,1083,1,X,09,2024
1,0115,22,5,1220,3529,0,69,1,X,09,2024
1,0115,22,6,1220,190418,0,9067,1,X,09,2024
1,0115,23,5,1220,107514,0,1899,1,X,09,2024
1,0115,25,5,1220,76371,0,1218,1,X,09,2024
1,0115,27,5,1220,322129,0,12585,1,X,09,2024
1,0115,27,6,1220,49957,0,2974,1,X,09,2024
1,0115,27,7,1220,12491960,0,0,1,X,09,2024
1,0115,28,5,1220,319004,0,23806,1,X,09,2024
1,0115,28,5,1220,2889,0,2,2,X,09,2024
1,0115,28,6,1220,544184,0,23254,1,X,09,2024
1,0115,29,5,1220,189350,0,5972,1,X,09,2024
1,0115,29,5,1220,33514,0,900,2,X,09,2024
1,0115,30,5,1220,6343,0,206,1,X,09,2024
1,0115,31,5,1220,12666,0,247,1,X,09,2024
1,0115,32,5,1220,1099612,0,32108,1,X,09,2024
1,0115,32,5,1220,62666,0,2265,2,X,09,2024
1,0115,33,5,1220,202736,0,4668,1,X,09,2024
1,0115,33,5,1220,86864,0,1570,2,X,09,2024
1,0115,34,5,1220,288653,0,9295,1,X,09,2024
1,0115,34,5,1220,3216,0,41,2,X,09,2024
1,0115,35,5,1220,128670,0,5292,1,X,09,2024
1,0115,35,5,1220,4571,0,175,2,X,09,2024
1,0115,37,5,1220,5440,0,57,1,X,09,2024
1,0115,38,5,1220,914740,0,21775,1,X,09,2024
1,0115,38,5,1220,112621,0,7053,2,X,09,2024
1,0115,39,5,1220,3904343,0,133510,1,X,09,2024
1,0115,39,5,1220,472629,0,17647,2,X,09,2024
1,0115,40,5,1220,705175,0,23843,1,X,09,2024
1,0115,40,5,1220,96303,0,4714,2,X,09,2024
1,0115,41,5,1220,4401,0,108,1,X,09,2024
1,0115,41,5,1220,26555,0,412,2,X,09,2024
1,0115,42,5,1220,6921,0,180,1,X,09,2024
1,0115,42,5,1220,82966,0,2158,2,X,09,2024
